TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20080101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.253,29.869,2.316,35.47,4.452,33.253,0.0,29.869,2.316,0.0,35.47,4.452,0.0,516.539,-9999,-9999,359.443,359.443,0.0,-9999,-9999,391.646,391.646,0.0,-9999,-9999,416.38,416.38,0.0,-9999,-9999,41.633,41.633,0.0,100.126,100.126,0.0,0.0,0.0,0.0,2.7,2.7,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,42.577,-9999,-9999,-9999,-9999,18.2072,0.0,23.4839,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,-0.158664,0.0,-9999,-9999,-0.158664,0.0,-9999,-9999,-0.104301,0.0,0.0356854,-0.24748,-0.23208,-0.213991,-0.129097,-0.0850691,-0.00735949,0.0424175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.772141,0.812989,0.816177,0.88514,0.931514,1.01804,1.13484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.974721,-0.960967,-0.912519,-0.842426,-0.750245,-0.699568,-0.656603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45314,3.45314,3.29108,0.0539523,2.81415,3.02799,3.05146,3.19546,3.45314,3.60428,3.80763,3.39289,3.61181,3.39538,0.0482234,2.8215,3.05727,3.20203,3.33675,3.61181,3.76593,3.85176,10.9029,9.29002,12.7684,0.865129,6.48437,6.9932,8.91571,9.65432,19.0245,19.2134,19.5166,0.170727,0.0853008,1.38859,0.248055,0.0326187,0.0386782,0.0589169,0.0933228,3.23561,3.26605,3.30825,-9999,-9999
20080102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.541,25.315,2.368,29.0,4.708,27.541,0.0,25.315,2.368,0.0,29.0,4.708,0.0,516.133,-9999,-9999,359.876,359.876,0.0,-9999,-9999,364.014,364.014,0.0,-9999,-9999,386.921,386.921,0.0,-9999,-9999,25.26,25.26,0.0,100.376,100.376,0.0,0.0,0.0,0.0,3.478,3.478,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,38.3904,0.0,50.6853,-9999,-9999,-9999,-9999,11.2712,0.0,14.6581,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,0.222446,0.0,-9999,-9999,0.222446,0.0,-9999,-9999,0.298087,0.0,0.0376891,0.168863,0.181883,0.202657,0.240296,0.307448,0.379199,0.443794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857135,0.489957,0.0,-9999,-9999,-0.206769,1.01448,0.0,-9999,-9999,0.857135,0.489957,0.0,-9999,-9999,-0.206769,1.01448,0.0,-9999,-9999,0.766346,0.813731,0.81692,0.88544,1.01496,1.11912,1.18744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.310653,-0.265956,-0.211985,-0.19285,-0.176651,-0.113141,-0.0835006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89207,2.89207,2.77756,0.0426764,2.43992,2.56151,2.60624,2.68812,2.89207,3.02286,3.14763,2.45857,2.66963,2.47947,0.0364892,2.06072,2.2586,2.27131,2.45857,2.65269,2.75728,2.854,7.41023,6.31404,8.76455,0.573464,4.76834,5.10144,6.05964,6.56164,12.9301,13.0586,13.2646,0.763981,0.563141,1.71133,0.224672,0.422849,0.439545,0.49737,0.582524,3.24151,3.30184,3.31428,-9999,-9999
20080103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.024,23.252,4.415,26.184,5.927,25.024,0.0,23.252,4.415,0.0,26.184,5.927,0.0,515.679,-9999,-9999,363.939,363.939,0.0,-9999,-9999,346.554,346.554,0.0,-9999,-9999,368.306,368.306,0.0,-9999,-9999,21.295,21.295,0.0,100.407,100.407,0.0,0.0,0.0,0.0,2.607,2.607,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.1483,0.0,49.4149,-9999,-9999,-9999,-9999,8.47644,0.0,11.1078,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,-0.0233986,0.0,-9999,-9999,-0.0233986,0.0,-9999,-9999,0.045234,0.0,0.0317513,-0.120734,-0.0870569,-0.0557336,-0.0233986,0.0750411,0.247307,0.270129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19496,0.731435,0.0,-9999,-9999,-0.820226,1.45701,0.0,-9999,-9999,1.19496,0.731435,0.0,-9999,-9999,-0.820226,1.45701,0.0,-9999,-9999,1.12941,1.16449,1.16523,1.20781,1.26905,1.47875,1.51014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07578,-0.955512,-0.930178,-0.811382,-0.772979,-0.645641,-0.558548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6556,2.6556,2.55919,0.038279,2.27505,2.3544,2.41057,2.47874,2.6556,2.77737,2.87405,2.47784,2.679,2.51396,0.0403903,2.00492,2.26919,2.33136,2.47664,2.679,2.81556,2.89811,6.28091,5.35178,7.45863,0.481638,4.1555,4.41167,5.30912,5.56164,10.9596,11.0684,11.2431,1.06878,0.844774,1.89817,0.213615,0.687917,0.707707,0.778503,0.867323,3.24377,3.30413,3.31658,-9999,-9999
20080104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.372,25.941,4.643,31.62,4.531,29.372,0.0,25.941,4.643,0.0,31.62,4.531,0.0,515.179,-9999,-9999,358.662,358.662,0.0,-9999,-9999,377.605,377.605,0.0,-9999,-9999,401.41,401.41,0.0,-9999,-9999,29.978,29.978,0.0,99.987,99.987,0.0,0.0,0.0,0.0,2.731,2.731,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,43.5709,-9999,-9999,-9999,-9999,18.2072,0.0,24.0458,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,-0.158664,0.0,-9999,-9999,-0.158664,0.0,-9999,-9999,-0.104301,0.0,0.0356854,-0.24748,-0.23208,-0.213991,-0.129097,-0.0850691,-0.00735949,0.0424175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.772141,0.812989,0.816177,0.88514,0.931514,1.01804,1.13484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.974721,-0.960967,-0.912519,-0.842426,-0.750245,-0.699568,-0.656603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0729,3.0729,2.94295,0.046275,2.5601,2.71938,2.7418,2.849,3.0729,3.21022,3.36058,3.04028,3.23156,3.04725,0.0411091,2.56746,2.76639,2.88406,2.99304,3.23156,3.37765,3.4577,8.54575,7.28158,10.0661,0.668035,5.32582,5.74618,6.9882,7.56712,14.9115,15.0596,15.2973,0.4347,0.272238,1.52258,0.239905,0.15774,0.171079,0.217409,0.288226,3.23723,3.29751,3.30993,-9999,-9999
20080105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.896,28.13,2.726,32.708,4.248,30.896,0.0,28.13,2.726,0.0,32.708,4.248,0.0,514.635,-9999,-9999,318.375,318.375,0.0,-9999,-9999,389.372,389.372,0.0,-9999,-9999,413.956,413.956,0.0,-9999,-9999,33.723,33.723,0.0,99.727,99.727,0.0,0.0,0.0,0.0,1.821,1.821,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,38.3904,0.0,51.7469,-9999,-9999,-9999,-9999,11.2712,0.0,14.9977,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,0.222446,0.0,-9999,-9999,0.222446,0.0,-9999,-9999,0.298087,0.0,0.0376891,0.168863,0.181883,0.202657,0.240296,0.307448,0.379199,0.443794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857135,0.489957,0.0,-9999,-9999,-0.206769,1.01448,0.0,-9999,-9999,0.857135,0.489957,0.0,-9999,-9999,-0.206769,1.01448,0.0,-9999,-9999,0.766346,0.813731,0.81692,0.88544,1.01496,1.11912,1.18744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.310653,-0.265956,-0.211985,-0.19285,-0.176651,-0.113141,-0.0835006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21942,3.21942,3.07767,0.0491419,2.66011,2.84752,2.85396,2.98275,3.21942,3.36219,3.53144,2.76197,2.99697,2.77958,0.0420704,2.28091,2.51055,2.60149,2.76197,2.97816,3.09161,3.19333,9.34051,7.95877,10.9812,0.733713,5.73688,6.21483,7.6381,8.27087,16.2983,16.4602,16.7199,0.338411,0.19967,1.45593,0.239853,0.104353,0.115465,0.154071,0.213313,3.19941,3.22982,3.27154,-9999,-9999
20080106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.95,22.748,1.963,26.393,3.52,24.95,0.0,22.748,1.963,0.0,26.393,3.52,0.0,514.043,-9999,-9999,359.287,359.287,0.0,-9999,-9999,349.804,349.804,0.0,-9999,-9999,371.771,371.771,0.0,-9999,-9999,19.65,19.65,0.0,100.051,100.051,0.0,0.0,0.0,0.0,3.49,3.49,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.1483,0.0,50.3608,-9999,-9999,-9999,-9999,8.47644,0.0,11.3448,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,-0.0233986,0.0,-9999,-9999,-0.0233986,0.0,-9999,-9999,0.045234,0.0,0.0317513,-0.120734,-0.0870569,-0.0557336,-0.0233986,0.0750411,0.247307,0.270129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19496,0.731435,0.0,-9999,-9999,-0.820226,1.45701,0.0,-9999,-9999,1.19496,0.731435,0.0,-9999,-9999,-0.820226,1.45701,0.0,-9999,-9999,1.12941,1.16449,1.16523,1.20781,1.26905,1.47875,1.51014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07578,-0.955512,-0.930178,-0.811382,-0.772979,-0.645641,-0.558548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6417,2.6417,2.54751,0.0379089,2.26964,2.34258,2.40061,2.47128,2.6417,2.7632,2.85528,2.46457,2.6651,2.50228,0.0399246,1.99951,2.2613,2.32258,2.46503,2.6651,2.80152,2.88394,6.03203,5.13971,7.17834,0.460337,4.05823,4.29084,5.09874,5.36204,10.5253,10.6299,10.7976,1.0526,0.806209,1.86469,0.21655,0.619644,0.64336,0.725036,0.831294,3.23133,3.29151,3.3039,-9999,-9999
20080107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.63,19.089,3.687,23.295,5.301,21.63,0.0,19.089,3.687,0.0,23.295,5.301,0.0,513.405,-9999,-9999,370.414,370.414,0.0,-9999,-9999,314.877,314.877,0.0,-9999,-9999,334.534,334.534,0.0,-9999,-9999,17.585,17.585,0.0,100.699,100.699,0.0,0.0,0.0,0.0,2.816,2.816,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,44.328,-9999,-9999,-9999,-9999,18.2072,0.0,24.5152,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,-0.158664,0.0,-9999,-9999,-0.158664,0.0,-9999,-9999,-0.104301,0.0,0.0356854,-0.24748,-0.23208,-0.213991,-0.129097,-0.0850691,-0.00735949,0.0424175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.772141,0.812989,0.816177,0.88514,0.931514,1.01804,1.13484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.974721,-0.960967,-0.912519,-0.842426,-0.750245,-0.699568,-0.656603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33767,2.33767,2.26557,0.0325367,2.05324,2.07595,2.12821,2.20173,2.33767,2.44732,2.50631,2.36004,2.49633,2.36987,0.029792,2.0606,2.18083,2.21898,2.32456,2.49633,2.62624,2.6948,4.75645,4.05283,5.69619,0.358521,3.33067,3.50419,4.02052,4.23937,8.29954,8.38199,8.51425,1.22775,0.995801,1.99471,0.207566,0.835556,0.860024,0.932589,1.01965,3.23956,3.29983,3.31227,-9999,-9999
20080108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.759,20.365,4.067,24.327,5.335,22.759,0.0,20.365,4.067,0.0,24.327,5.335,0.0,512.723,-9999,-9999,367.781,367.781,0.0,-9999,-9999,325.009,325.009,0.0,-9999,-9999,345.336,345.336,0.0,-9999,-9999,18.311,18.311,0.0,100.882,100.882,0.0,0.0,0.0,0.0,2.695,2.695,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,38.3904,0.0,52.725,-9999,-9999,-9999,-9999,11.2712,0.0,15.2638,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,0.222446,0.0,-9999,-9999,0.222446,0.0,-9999,-9999,0.298087,0.0,0.0376891,0.168863,0.181883,0.202657,0.240296,0.307448,0.379199,0.443794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857135,0.489957,0.0,-9999,-9999,-0.206769,1.01448,0.0,-9999,-9999,0.857135,0.489957,0.0,-9999,-9999,-0.206769,1.01448,0.0,-9999,-9999,0.766346,0.813731,0.81692,0.88544,1.01496,1.11912,1.18744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.310653,-0.265956,-0.211985,-0.19285,-0.176651,-0.113141,-0.0835006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44225,2.44225,2.36234,0.0343822,2.12692,2.1676,2.22481,2.29928,2.44225,2.55593,2.62682,2.04268,2.2198,2.06426,0.0302937,1.74772,1.86412,1.91149,2.04268,2.204,2.29744,2.38707,5.22672,4.45353,6.24116,0.396157,3.59162,3.77465,4.41803,4.65852,9.12012,9.21071,9.35605,1.18566,0.953988,1.96496,0.208926,0.792238,0.815146,0.888629,0.977742,3.23355,3.29372,3.30612,-9999,-9999
20080109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.212,22.21,3.925,27.179,5.584,25.212,0.0,22.21,3.925,0.0,27.179,5.584,0.0,511.993,-9999,-9999,366.463,366.463,0.0,-9999,-9999,338.335,338.335,0.0,-9999,-9999,359.544,359.544,0.0,-9999,-9999,22.035,22.035,0.0,100.632,100.632,0.0,0.0,0.0,0.0,1.446,1.446,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.1483,0.0,51.1272,-9999,-9999,-9999,-9999,8.47644,0.0,11.5449,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,-0.0233986,0.0,-9999,-9999,-0.0233986,0.0,-9999,-9999,0.045234,0.0,0.0317513,-0.120734,-0.0870569,-0.0557336,-0.0233986,0.0750411,0.247307,0.270129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19496,0.731435,0.0,-9999,-9999,-0.820226,1.45701,0.0,-9999,-9999,1.19496,0.731435,0.0,-9999,-9999,-0.820226,1.45701,0.0,-9999,-9999,1.12941,1.16449,1.16523,1.20781,1.26905,1.47875,1.51014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07578,-0.955512,-0.930178,-0.811382,-0.772979,-0.645641,-0.558548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67337,2.67337,2.57558,0.0386089,2.28736,2.36996,2.42562,2.49343,2.67337,2.79582,2.89468,2.49428,2.69677,2.53035,0.0407056,2.01723,2.28312,2.34677,2.49281,2.69677,2.83373,2.91656,6.37163,5.42908,7.56327,0.489042,4.2033,4.46587,5.38581,5.64198,11.1179,11.2283,11.4055,0.913329,0.699593,1.79649,0.217849,0.552509,0.569912,0.63139,0.720198,3.22906,3.28915,3.30154,-9999,-9999
20080110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.186,26.022,6.384,32.915,6.457,30.186,0.0,26.022,6.384,0.0,32.915,6.457,0.0,511.219,-9999,-9999,353.506,353.506,0.0,-9999,-9999,378.65,378.65,0.0,-9999,-9999,402.524,402.524,0.0,-9999,-9999,34.669,34.669,0.0,100.102,100.102,0.0,0.0,0.0,0.0,2.104,2.104,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.5118,0.0,44.746,-9999,-9999,-9999,-9999,18.2072,0.0,24.9397,-9999,-9999,-9999,-9999,11.0,3,19,29,0,0,-0.158664,0.0,-9999,-9999,-0.158664,0.0,-9999,-9999,-0.104301,0.0,0.0356854,-0.24748,-0.23208,-0.213991,-0.129097,-0.0850691,-0.00735949,0.0424175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.86293,0.485908,0.0,-9999,-9999,-0.818437,1.41186,0.0,-9999,-9999,0.772141,0.812989,0.816177,0.88514,0.931514,1.01804,1.13484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.974721,-0.960967,-0.912519,-0.842426,-0.750245,-0.699568,-0.656603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15902,3.15902,3.02054,0.0481493,2.61305,2.7942,2.80254,2.92693,3.15902,3.29918,3.46483,3.1206,3.31768,3.12485,0.0429289,2.62041,2.82938,2.95407,3.06973,3.31768,3.4654,3.54666,9.31613,7.938,10.9412,0.733744,5.66282,6.13052,7.61817,8.24928,16.2557,16.4172,16.6763,0.334326,0.212815,1.46255,0.238249,0.13448,0.143306,0.173289,0.22377,3.2116,3.24185,3.28374,-9999,-9999
