TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20090101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.494,3.729,0.462,5.566,1.6,4.494,0.0,3.729,0.462,0.0,5.566,1.6,0.0,182.787,-9999,-9999,89.109,89.109,0.0,-9999,-9999,300.593,300.593,0.0,-9999,-9999,264.603,264.603,0.0,-9999,-9999,4.459,4.459,0.0,78.384,78.384,0.0,0.535,0.535,0.0,2.93,2.93,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,27.8435,0.0,-9999,-9999,-9999,-9999,-9999,104.251,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.341455,0.0,-9999,-9999,0.328371,0.0,-9999,-9999,0.345862,0.0,0.00325995,0.312737,0.328371,0.328371,0.348886,0.360379,0.366424,0.370209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119101,0.305662,0.0,-9999,-9999,0.622958,0.685393,0.0,-9999,-9999,0.10097,0.264015,0.0,-9999,-9999,0.618083,0.682646,0.0,-9999,-9999,0.10097,0.10097,0.119101,0.131378,0.150364,0.163831,0.169682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544332,0.617827,0.618083,0.618083,0.622958,0.622958,0.622958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084159,0.0711622,0.0843005,0.00593034,0.0580505,0.0616465,0.0625159,0.0711622,0.0887647,0.0899399,0.197668,-0.266391,-0.257209,-0.261562,0.00506694,-0.292777,-0.284757,-0.281767,-0.270657,-0.261969,-0.224216,-0.193861,0.495185,0.49175,0.564548,0.0312352,0.399476,0.445968,0.447084,0.495185,0.653749,0.660413,0.689386,0.0,0.162145,0.0944478,0.0120869,0.0,0.0,0.0,0.126892,0.149748,0.161105,0.164102,-9999,-9999
20090102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.406,3.92,1.241,5.086,0.884,4.406,0.0,3.92,1.241,0.0,5.086,0.884,0.0,183.409,-9999,-9999,17.642,17.642,0.0,-9999,-9999,342.788,342.788,0.0,-9999,-9999,290.967,290.967,0.0,-9999,-9999,3.985,3.985,0.0,78.185,78.185,0.0,9.508,9.508,0.0,3.865,3.865,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,21.9572,0.0,-9999,-9999,-9999,-9999,-9999,90.5004,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.45359,0.0,-9999,-9999,0.415704,0.0,-9999,-9999,0.439943,0.0,0.00518322,0.387712,0.415704,0.415704,0.428927,0.459811,0.466707,0.492261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139107,0.249434,0.0,-9999,-9999,0.854292,0.747065,0.0,-9999,-9999,0.0843447,0.237908,0.0,-9999,-9999,0.843339,0.751528,0.0,-9999,-9999,0.0790138,0.0843447,0.0843447,0.106188,0.149384,0.160775,0.204782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786064,0.842387,0.843339,0.843339,0.854292,0.854292,0.854292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836532,0.0708916,0.0838678,0.00591545,0.0577646,0.0612483,0.062129,0.0708916,0.0884336,0.0896245,0.196871,-0.354118,-0.344813,-0.356075,0.00561687,-0.397763,-0.394113,-0.393281,-0.354118,-0.336609,-0.316543,-0.29539,0.490156,0.48665,0.562052,0.0312259,0.397572,0.443935,0.446344,0.490156,0.650634,0.657265,0.688244,0.0,0.0322399,0.018782,0.00240452,0.0,0.0,0.0,0.0252271,0.0297786,0.0320325,0.0326255,-9999,-9999
20090103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.83,4.388,0.839,5.45,0.359,4.83,0.0,4.388,0.839,0.0,5.45,0.359,0.0,184.088,-9999,-9999,61.588,61.588,0.0,-9999,-9999,326.121,326.121,0.0,-9999,-9999,280.553,280.553,0.0,-9999,-9999,4.029,4.029,0.0,77.792,77.792,0.0,6.829,6.829,0.0,6.102,6.102,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.3283,0.0,-9999,-9999,-9999,-9999,-9999,87.1344,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,-0.102282,0.0,-9999,-9999,-0.1223,0.0,-9999,-9999,-0.109379,0.0,0.00260971,-0.127976,-0.1223,-0.1223,-0.115301,-0.102282,-0.0832017,-0.0798255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167725,0.303529,0.0,-9999,-9999,-0.471368,0.921952,0.0,-9999,-9999,0.139017,0.230856,0.0,-9999,-9999,-0.477473,0.913499,0.0,-9999,-9999,0.100761,0.123086,0.139017,0.143881,0.167725,0.199245,0.204822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.482769,-0.477473,-0.477473,-0.471368,-0.471368,-0.457958,-0.424949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859051,0.0721813,0.0858237,0.00599337,0.0590798,0.0629979,0.0638421,0.0721813,0.090015,0.0912675,0.200642,0.185622,0.194481,0.195203,0.00722133,0.147911,0.152953,0.163374,0.191473,0.205995,0.211755,0.328618,0.510056,0.506715,0.572979,0.0313589,0.406375,0.449098,0.450533,0.510056,0.660472,0.671821,0.694077,0.0,0.112226,0.0653737,0.00836717,0.0,0.0,0.0,0.0878224,0.10365,0.111506,0.113577,-9999,-9999
20090104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.452,2.671,0.642,4.545,1.012,3.452,0.0,2.671,0.642,0.0,4.545,1.012,0.0,184.824,-9999,-9999,79.015,79.015,0.0,-9999,-9999,300.108,300.108,0.0,-9999,-9999,264.3,264.3,0.0,-9999,-9999,4.262,4.262,0.0,77.711,77.711,0.0,3.647,3.647,0.0,4.281,4.281,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,27.8435,0.0,-9999,-9999,-9999,-9999,-9999,104.251,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.341455,0.0,-9999,-9999,0.328371,0.0,-9999,-9999,0.345862,0.0,0.00325995,0.312737,0.328371,0.328371,0.348886,0.360379,0.366424,0.370209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119101,0.305662,0.0,-9999,-9999,0.622958,0.685393,0.0,-9999,-9999,0.10097,0.264015,0.0,-9999,-9999,0.618083,0.682646,0.0,-9999,-9999,0.10097,0.10097,0.119101,0.131378,0.150364,0.163831,0.169682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544332,0.617827,0.618083,0.618083,0.622958,0.622958,0.622958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785673,0.0679935,0.0794556,0.00574371,0.0548015,0.0572918,0.0582582,0.0674016,0.0847561,0.0856911,0.188392,-0.270709,-0.260378,-0.266407,0.00494648,-0.297152,-0.290618,-0.286332,-0.274122,-0.264808,-0.228514,-0.202198,0.444774,0.440873,0.537342,0.0310667,0.377746,0.435405,0.437888,0.454646,0.618191,0.63999,0.675206,0.0,0.143849,0.083792,0.0107237,0.0,0.0,0.0,0.112572,0.132853,0.142926,0.145583,-9999,-9999
20090105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.203,1.226,0.624,3.571,1.184,2.203,0.0,1.226,0.624,0.0,3.571,1.184,0.0,185.618,-9999,-9999,90.879,90.879,0.0,-9999,-9999,279.042,279.042,0.0,-9999,-9999,251.137,251.137,0.0,-9999,-9999,4.3,4.3,0.0,77.834,77.834,0.0,2.028,2.028,0.0,3.378,3.378,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,21.9572,0.0,-9999,-9999,-9999,-9999,-9999,90.5004,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.45359,0.0,-9999,-9999,0.415704,0.0,-9999,-9999,0.439943,0.0,0.00518322,0.387712,0.415704,0.415704,0.428927,0.459811,0.466707,0.492261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139107,0.249434,0.0,-9999,-9999,0.854292,0.747065,0.0,-9999,-9999,0.0843447,0.237908,0.0,-9999,-9999,0.843339,0.751528,0.0,-9999,-9999,0.0790138,0.0843447,0.0843447,0.106188,0.149384,0.160775,0.204782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786064,0.842387,0.843339,0.843339,0.854292,0.854292,0.854292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721538,0.064225,0.0738486,0.005516,0.0499751,0.0523323,0.0533885,0.0634782,0.0789784,0.0802561,0.177404,-0.362967,-0.351479,-0.366094,0.00545081,-0.405997,-0.405143,-0.401687,-0.362967,-0.349948,-0.329023,-0.305944,0.390339,0.386091,0.506264,0.030986,0.352319,0.390339,0.395257,0.426902,0.57658,0.62337,0.657672,0.0,0.16536,0.0963205,0.0123265,0.0,0.0,0.0,0.129408,0.152718,0.164299,0.167356,-9999,-9999
20090106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.344,0.371,0.919,2.706,0.772,1.344,0.0,0.371,0.919,0.0,2.706,0.772,0.0,186.468,-9999,-9999,84.207,84.207,0.0,-9999,-9999,279.228,279.228,0.0,-9999,-9999,251.254,251.254,0.0,-9999,-9999,4.546,4.546,0.0,77.314,77.314,0.0,0.0,0.0,0.0,4.997,4.997,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.3283,0.0,-9999,-9999,-9999,-9999,-9999,87.1344,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,-0.102282,0.0,-9999,-9999,-0.1223,0.0,-9999,-9999,-0.109379,0.0,0.00260971,-0.127976,-0.1223,-0.1223,-0.115301,-0.102282,-0.0832017,-0.0798255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167725,0.303529,0.0,-9999,-9999,-0.471368,0.921952,0.0,-9999,-9999,0.139017,0.230856,0.0,-9999,-9999,-0.477473,0.913499,0.0,-9999,-9999,0.100761,0.123086,0.139017,0.143881,0.167725,0.199245,0.204822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.482769,-0.477473,-0.477473,-0.471368,-0.471368,-0.457958,-0.424949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678388,0.0616429,0.070058,0.00535922,0.0465398,0.0490067,0.0501164,0.0608407,0.0750547,0.077283,0.16989,0.171732,0.183942,0.179437,0.00668977,0.133439,0.135382,0.148822,0.176453,0.190564,0.195543,0.297867,0.354727,0.350298,0.48535,0.0310161,0.335041,0.354727,0.360751,0.418943,0.548306,0.611749,0.645411,0.0,0.153258,0.0892718,0.0114247,0.0,0.0,0.0,0.119936,0.141542,0.152275,0.155107,-9999,-9999
20090107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.394,-1.534,1.464,1.203,1.909,-0.394,0.0,-1.534,1.464,0.0,1.203,1.909,0.0,187.376,-9999,-9999,120.288,120.288,0.0,-9999,-9999,226.012,226.012,0.0,-9999,-9999,218.004,218.004,0.0,-9999,-9999,4.723,4.723,0.0,77.274,77.274,0.0,0.284,0.284,0.0,2.99,2.99,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,27.8435,0.0,-9999,-9999,-9999,-9999,-9999,104.251,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.341455,0.0,-9999,-9999,0.328371,0.0,-9999,-9999,0.345862,0.0,0.00325995,0.312737,0.328371,0.328371,0.348886,0.360379,0.366424,0.370209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119101,0.305662,0.0,-9999,-9999,0.622958,0.685393,0.0,-9999,-9999,0.10097,0.264015,0.0,-9999,-9999,0.618083,0.682646,0.0,-9999,-9999,0.10097,0.10097,0.119101,0.131378,0.150364,0.163831,0.169682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544332,0.617827,0.618083,0.618083,0.622958,0.622958,0.622958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596703,0.0564983,0.0627812,0.00503258,0.040189,0.0432225,0.0439467,0.0547444,0.0674269,0.0722524,0.155003,-0.285149,-0.271873,-0.283081,0.00450287,-0.312165,-0.310079,-0.304017,-0.286487,-0.275514,-0.244349,-0.226662,0.292776,0.288283,0.445692,0.031015,0.288283,0.292776,0.296574,0.402191,0.493246,0.587287,0.619603,0.0,0.21851,0.127273,0.0162853,0.0,0.0,0.0,0.171011,0.201795,0.21711,0.221157,-9999,-9999
20090108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.32,-2.218,0.937,-0.063,1.25,-1.32,0.0,-2.218,0.937,0.0,-0.063,1.25,0.0,188.339,-9999,-9999,74.317,74.317,0.0,-9999,-9999,244.509,244.509,0.0,-9999,-9999,229.561,229.561,0.0,-9999,-9999,4.381,4.381,0.0,77.444,77.444,0.0,2.074,2.074,0.0,3.72,3.72,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,21.9572,0.0,-9999,-9999,-9999,-9999,-9999,90.5004,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.45359,0.0,-9999,-9999,0.415704,0.0,-9999,-9999,0.439943,0.0,0.00518322,0.387712,0.415704,0.415704,0.428927,0.459811,0.466707,0.492261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139107,0.249434,0.0,-9999,-9999,0.854292,0.747065,0.0,-9999,-9999,0.0843447,0.237908,0.0,-9999,-9999,0.843339,0.751528,0.0,-9999,-9999,0.0790138,0.0843447,0.0843447,0.106188,0.149384,0.160775,0.204782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786064,0.842387,0.843339,0.843339,0.854292,0.854292,0.854292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552309,0.0537437,0.0588427,0.00486446,0.0367135,0.0398402,0.0406347,0.0500628,0.0633133,0.0692994,0.147019,-0.375864,-0.361961,-0.3811,0.00521653,-0.421503,-0.419176,-0.414703,-0.375963,-0.362473,-0.346886,-0.320343,0.258263,0.253693,0.424159,0.0311991,0.253693,0.258263,0.260763,0.39336,0.463568,0.574392,0.605999,0.0,0.13536,0.0788484,0.0100914,0.0,0.0,0.0,0.105927,0.125015,0.134491,0.13699,-9999,-9999
20090109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.067,-2.178,0.821,0.489,1.673,-1.067,0.0,-2.178,0.821,0.0,0.489,1.673,0.0,189.358,-9999,-9999,115.783,115.783,0.0,-9999,-9999,219.547,219.547,0.0,-9999,-9999,213.964,213.964,0.0,-9999,-9999,4.546,4.546,0.0,77.794,77.794,0.0,1.255,1.255,0.0,3.641,3.641,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.3283,0.0,-9999,-9999,-9999,-9999,-9999,87.1344,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,-0.102282,0.0,-9999,-9999,-0.1223,0.0,-9999,-9999,-0.109379,0.0,0.00260971,-0.127976,-0.1223,-0.1223,-0.115301,-0.102282,-0.0832017,-0.0798255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167725,0.303529,0.0,-9999,-9999,-0.471368,0.921952,0.0,-9999,-9999,0.139017,0.230856,0.0,-9999,-9999,-0.477473,0.913499,0.0,-9999,-9999,0.100761,0.123086,0.139017,0.143881,0.167725,0.199245,0.204822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.482769,-0.477473,-0.477473,-0.471368,-0.471368,-0.457958,-0.424949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0564603,0.0544991,0.0599305,0.00490968,0.0376804,0.0407782,0.0415201,0.0513648,0.0644468,0.0701973,0.149211,0.163078,0.176799,0.16931,0.00630734,0.12287,0.125032,0.139963,0.164627,0.183799,0.184935,0.277187,0.267979,0.263439,0.430121,0.0311284,0.263439,0.267979,0.270856,0.395758,0.471743,0.577893,0.609693,0.0,0.210384,0.122541,0.0156802,0.0,0.0,0.0,0.16465,0.194292,0.209036,0.212931,-9999,-9999
20090110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.781,-3.309,1.229,0.359,2.117,-1.781,0.0,-3.309,1.229,0.0,0.359,2.117,0.0,190.431,-9999,-9999,115.625,115.625,0.0,-9999,-9999,215.675,215.675,0.0,-9999,-9999,211.545,211.545,0.0,-9999,-9999,4.79,4.79,0.0,77.989,77.989,0.0,0.199,0.199,0.0,3.282,3.282,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,27.8435,0.0,-9999,-9999,-9999,-9999,-9999,104.251,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.341455,0.0,-9999,-9999,0.328371,0.0,-9999,-9999,0.345862,0.0,0.00325995,0.312737,0.328371,0.328371,0.348886,0.360379,0.366424,0.370209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119101,0.305662,0.0,-9999,-9999,0.622958,0.685393,0.0,-9999,-9999,0.10097,0.264015,0.0,-9999,-9999,0.618083,0.682646,0.0,-9999,-9999,0.10097,0.10097,0.119101,0.131378,0.150364,0.163831,0.169682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544332,0.617827,0.618083,0.618083,0.622958,0.622958,0.622958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534737,0.0524481,0.0572001,0.00476918,0.0354514,0.0385372,0.039284,0.0483508,0.0615289,0.0677217,0.143331,-0.289834,-0.275923,-0.288663,0.00434721,-0.31752,-0.315196,-0.309392,-0.29245,-0.279434,-0.249798,-0.231302,0.248437,0.244017,0.415413,0.0310193,0.244017,0.248437,0.250809,0.388446,0.450621,0.567216,0.598428,0.0,0.210092,0.122371,0.0156584,0.0,0.0,0.0,0.164422,0.194023,0.208746,0.212636,-9999,-9999
