TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20080101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.627,1.627,0.936,-9999,-9999,1.627,0.0,1.627,0.936,0.0,-9999,-9999,-9999,0.0,0.0,1.0,0.0,0.0,1.0,312.683,1.0,293.426,312.683,1.0,-9999,-9999,264.525,264.525,0.0,-9999,-9999,1.062,1.062,0.0,100.751,100.825,0.958333,9.059,9.059,0.0,8.33,12.045,0.916667,-9999,0.0,0.461739130435,0.958333333333,318.284875,1.0,0.0,1.0,0.586,-0.837,-0.999,-0.6,-0.178,-9999,1.0,1.0,1.0,1.0,1.0,-9999,6.222,1.0,1.19867,1.0,-1.1751,0.0,-9999,-9999,-9999,-9999,-9999,-23.6345,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.059197,0.0,-9999,-9999,0.059197,0.0,-9999,-9999,0.0519244,0.0,0.0020149,0.0215049,0.0330416,0.055019,0.0569379,0.059197,0.059197,0.060096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057045,0.00306157,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.057045,0.00306157,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0207231,0.0318404,0.0530189,0.054868,0.057045,0.057045,0.0579114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.000147261,0.000147251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0569376,-0.0591965,-0.0517768,0.00204544,-0.0605651,-0.0600958,-0.0591965,-0.0569376,-0.0569375,-0.0330412,-0.0218328,0.177155,0.177155,0.176394,0.0021096,0.155623,0.174146,0.176943,0.177155,0.177155,0.177155,0.177155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.261,2.261,2.361,-9999,-9999,2.261,0.0,2.261,2.361,0.0,-9999,-9999,-9999,0.0,0.006,1.0,0.0,0.006,1.0,311.783,1.0,297.608,311.783,1.0,-9999,-9999,269.668,269.668,0.0,-9999,-9999,0.975,0.975,0.0,99.933,100.045,1.0,11.048,11.048,0.0,8.347,9.976,0.916667,-9999,0.0,0.72625,1.0,317.126916667,1.0,0.0,1.0,0.338,-0.407,-0.939,-0.621,-0.177,-9999,1.0,1.0,1.0,1.0,1.0,-9999,6.842,1.0,-2.16521,1.0,-1.16395,0.0,-9999,-9999,-9999,-9999,-9999,-23.635,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.0785188,0.0,-9999,-9999,0.0785188,0.0,-9999,-9999,0.0725457,0.0,0.00160887,0.0478396,0.0556683,0.0761618,0.0761618,0.0785188,0.0785188,0.0795105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756644,0.00321958,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0756644,0.00321958,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0461005,0.0536446,0.073393,0.073393,0.0756644,0.0756644,0.0766201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.000155037,0.000154994,0.0,0.0,0.0,0.0,0.0,0.0,2.59431e-07,-0.0761616,-0.0785187,-0.0723904,0.00166141,-0.0804198,-0.0795102,-0.0785187,-0.0761616,-0.0761613,-0.0621293,-0.0478393,0.17944,0.17944,0.178669,0.00213681,0.15763,0.176392,0.179225,0.17944,0.17944,0.17944,0.17944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.323,-12.323,3.499,-9999,-9999,-12.323,0.0,-12.323,3.499,0.0,-9999,-9999,-9999,0.0,0.253,1.0,0.0,0.253,1.0,252.104,1.0,222.611,252.104,1.0,-9999,-9999,177.449,177.449,0.0,-9999,-9999,0.954,0.954,0.0,101.076,101.358,1.0,1.524,1.524,0.0,7.07,7.605,1.0,-9999,0.0,0.625,1.0,271.6555,1.0,0.0,1.0,-10.033,-0.3,-0.78,-0.622,-0.195,-9999,1.0,1.0,1.0,1.0,1.0,-9999,7.207,1.0,-21.173,1.0,-1.97118,0.0,-9999,-9999,-9999,-9999,-9999,-26.6772,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.0948641,0.0,-9999,-9999,0.0948641,0.0,-9999,-9999,0.0909958,0.0,0.00104583,0.0738375,0.0794637,0.0907169,0.0934926,0.0948641,0.0948641,0.095412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914155,0.0630366,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0914155,0.0630366,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0711532,0.076575,0.0874191,0.0900938,0.0914155,0.0914155,0.0919435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,3.68198e-05,3.68198e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0934924,-0.0948638,-0.0909589,0.00105095,-0.0957505,-0.095412,-0.0948638,-0.0934924,-0.0934924,-0.0845544,-0.0754767,0.114282,0.114282,0.113791,0.00136089,0.100391,0.11234,0.114145,0.114282,0.114282,0.114282,0.114282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.529,-7.529,5.791,-9999,-9999,-7.529,0.0,-7.529,5.791,0.0,-9999,-9999,-9999,0.0,0.631,1.0,0.0,0.631,1.0,270.937,1.0,259.925,270.937,1.0,-9999,-9999,223.332,223.332,0.0,-9999,-9999,1.005,1.005,0.0,102.075,102.146,1.0,2.753,2.753,0.0,3.335,4.099,1.0,-9999,0.0,0.62,1.0,283.619125,1.0,0.0,1.0,-7.362,-0.281,-0.68,-0.615,-0.212,-1.018,1.0,1.0,1.0,1.0,1.0,0.0,7.234,1.0,12.5496,1.0,-2.83477,0.0,-9999,-9999,-9999,-9999,-9999,-26.2566,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.00893852,0.0,-9999,-9999,0.00893852,0.0,-9999,-9999,0.0122458,0.0,0.00225767,0.00390886,0.00893852,0.00893852,0.00893852,0.00893852,0.00893852,0.061337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00861358,0.0536824,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.00861358,0.0536824,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.00376676,0.00861358,0.00861358,0.00861358,0.00861358,0.00861358,0.0591072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,7.0589e-05,7.0589e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00893848,-0.00893848,-0.0121752,0.00221898,-0.0613368,-0.00893848,-0.00893848,-0.00893848,-0.00893848,-0.00893848,-0.00390889,0.1367,0.1367,0.136113,0.00162786,0.120085,0.134378,0.136537,0.1367,0.1367,0.1367,0.1367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.537,-0.537,0.852,-9999,-9999,-0.537,0.0,-0.537,0.852,0.0,-9999,-9999,-9999,0.0,0.066,1.0,0.0,0.066,1.0,274.657,1.0,267.553,274.657,1.0,-9999,-9999,232.711,232.711,0.0,-9999,-9999,1.064,1.064,0.0,101.096,101.027,1.0,0.928,0.928,0.0,4.086,5.203,1.0,-9999,0.0,0.05625,1.0,302.593,1.0,0.0,1.0,-2.774,-0.301,-0.643,-0.629,-0.21,-0.981,1.0,1.0,1.0,1.0,1.0,0.0,7.236,1.0,1.17833,1.0,-1.74663,0.0,-9999,-9999,-9999,-9999,-9999,-27.0363,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,-0.00364004,0.0,-9999,-9999,-0.00364004,0.0,-9999,-9999,-0.00587407,0.0,0.00132666,-0.026909,-0.00404104,-0.00404104,-0.00404104,-0.00364004,-0.00364004,0.00533816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00350772,0.00878021,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-0.00350772,0.00878021,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-0.0259307,-0.00389413,-0.00389413,-0.00389413,-0.00350772,-0.00350772,0.0051441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.00012452,0.00012452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404125,0.00364021,0.00599879,0.00129936,-0.00533745,0.00364016,0.00364021,0.00404125,0.00404125,0.00404133,0.0267892,0.168528,0.168528,0.167805,0.00200688,0.148044,0.165666,0.168327,0.168528,0.168528,0.168528,0.168528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.393,-1.393,0.509,-9999,-9999,-1.393,0.0,-1.393,0.509,0.0,-9999,-9999,-9999,0.0,0.144,1.0,0.0,0.144,1.0,235.455,1.0,277.798,235.455,1.0,-9999,-9999,245.309,245.309,0.0,-9999,-9999,1.054,1.054,0.0,100.842,100.826,1.0,0.564,0.564,0.0,1.253,2.167,1.0,-9999,0.0,-0.10875,1.0,274.646958333,1.0,0.0,1.0,-9.233,-0.332,-0.604,-0.612,-0.228,-0.987,1.0,1.0,1.0,1.0,1.0,0.0,7.122,1.0,-14.997,1.0,-1.37637,0.0,-9999,-9999,-9999,-9999,-9999,-25.5936,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.0367857,0.0,-9999,-9999,0.0367857,0.0,-9999,-9999,0.0297087,0.0,0.0019767,-0.00607541,0.0136064,0.0343765,0.0343765,0.0367857,0.0372555,0.0372555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0354484,0.00497029,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0354484,0.00497029,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-0.00585455,0.0131118,0.0331268,0.0331268,0.0354484,0.0359012,0.0359012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.000115934,0.000115934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0343767,-0.0367856,-0.0295927,0.0020015,-0.0372551,-0.0372551,-0.0367856,-0.0343767,-0.034376,-0.0136058,-0.00382838,0.165029,0.165029,0.164321,0.00196521,0.144971,0.162226,0.164832,0.165029,0.165029,0.165029,0.165029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.433,-4.433,1.1,-9999,-9999,-4.433,0.0,-4.433,1.1,0.0,-9999,-9999,-9999,0.0,0.084,1.0,0.0,0.084,1.0,218.883,1.0,256.074,218.883,1.0,-9999,-9999,218.597,218.597,0.0,-9999,-9999,0.969,0.969,0.0,100.949,100.969,1.0,0.1,0.1,0.0,1.752,2.129,1.0,-9999,-9999,-0.160833333333,1.0,259.006916667,1.0,0.0,1.0,-13.045,-0.432,-0.558,-0.593,-0.246,-1.001,1.0,1.0,1.0,1.0,1.0,0.0,6.849,1.0,-4.79954,1.0,-1.26023,0.0,-9999,-9999,-9999,-9999,-9999,-24.3146,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.0616045,0.0,-9999,-9999,0.0616045,0.0,-9999,-9999,0.0533986,0.0,0.00224089,0.0161915,0.0337016,0.0587428,0.0587428,0.0616045,0.0616045,0.0625836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059365,0.00526345,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.059365,0.00526345,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0156029,0.0324764,0.0566073,0.0566073,0.059365,0.059365,0.0603085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,8.82617e-05,8.82617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0587428,-0.0616045,-0.0533102,0.00226101,-0.0630278,-0.0625833,-0.0616045,-0.0587428,-0.0587428,-0.0337011,-0.0233565,0.152013,0.152013,0.15136,0.0018102,0.133536,0.149431,0.151831,0.152013,0.152013,0.152013,0.152013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.871,-5.871,1.554,-9999,-9999,-5.871,0.0,-5.871,1.554,0.0,-9999,-9999,-9999,0.0,0.467,1.0,0.0,0.467,1.0,254.157,1.0,259.03,254.157,1.0,-9999,-9999,222.23,222.23,0.0,-9999,-9999,1.013,1.013,0.0,101.012,101.054,1.0,0.567,0.567,0.0,2.536,3.145,0.583333,-9999,0.0,0.0733333333333,1.0,283.888928571,0.583333333333,0.0,1.0,-8.503,-0.645,-0.567,-0.592,-0.251,-1.015,1.0,1.0,1.0,1.0,1.0,0.0,6.527,1.0,2.16716,1.0,-1.1718,0.0,-9999,-9999,-9999,-9999,-9999,-23.5724,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.0594663,0.0,-9999,-9999,0.0594663,0.0,-9999,-9999,0.0520836,0.0,0.00202599,0.0215049,0.0330416,0.055019,0.0572032,0.0594663,0.0594663,0.060096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573045,0.00301926,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0573045,0.00301926,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0207231,0.0318404,0.0530189,0.0551237,0.0573045,0.0573045,0.0579114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,7.66684e-05,7.66684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0572031,-0.0594661,-0.0520068,0.0020407,-0.0605652,-0.0600959,-0.0594661,-0.0572031,-0.057203,-0.0353074,-0.0218329,0.145553,0.145553,0.144928,0.00173328,0.127862,0.143081,0.145379,0.145553,0.145553,0.145553,0.145553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.058,-12.058,1.265,-9999,-9999,-12.058,0.0,-12.058,1.265,0.0,-9999,-9999,-9999,0.0,0.0,1.0,0.0,0.0,1.0,190.781,1.0,220.028,190.781,1.0,-9999,-9999,174.273,174.273,0.0,-9999,-9999,0.98,0.98,0.0,101.125,101.147,1.0,0.044,0.044,0.0,3.106,2.891,0.583333,-9999,0.0,-0.139583333333,1.0,238.377357143,0.583333333333,0.0,1.0,-15.108,-0.803,-0.583,-0.573,-0.266,-1.03,1.0,1.0,1.0,1.0,1.0,0.0,6.352,1.0,-11.6177,1.0,-1.16395,0.0,-9999,-9999,-9999,-9999,-9999,-23.635,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.0785188,0.0,-9999,-9999,0.0785188,0.0,-9999,-9999,0.0725457,0.0,0.00160887,0.0478396,0.0556683,0.0761618,0.0761618,0.0785188,0.0785188,0.0795105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756644,0.00321958,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0756644,0.00321958,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0461005,0.0536446,0.073393,0.073393,0.0756644,0.0756644,0.0766201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,3.58955e-05,3.58955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0761617,-0.0785188,-0.0725097,0.00161987,-0.0804199,-0.0795103,-0.0785188,-0.0761617,-0.0761617,-0.0621296,-0.0522145,0.116026,0.116026,0.115528,0.00138167,0.101924,0.114055,0.115887,0.116026,0.116026,0.116026,0.116026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-13.113,-13.113,0.583,-9999,-9999,-13.113,0.0,-13.113,0.583,0.0,-9999,-9999,-9999,0.0,0.364,1.0,0.0,0.364,1.0,217.463,1.0,218.865,217.463,1.0,-9999,-9999,172.843,172.843,0.0,-9999,-9999,0.966,0.966,0.0,100.982,100.987,1.0,0.0,0.0,0.0,2.816,1.935,1.0,-9999,0.0,0.0475,1.0,245.518125,1.0,0.0,1.0,-16.583,-1.016,-0.628,-0.566,-0.277,-1.047,1.0,1.0,1.0,1.0,1.0,0.0,6.116,1.0,-8.67938,1.0,-1.96891,0.0,-9999,-9999,-9999,-9999,-9999,-26.5865,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24,0,0,0,0.0949976,0.0,-9999,-9999,0.0949976,0.0,-9999,-9999,0.0908927,0.0,0.0010819,0.0732901,0.0790054,0.0906905,0.0936253,0.0949976,0.0949976,0.0951098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0915441,0.0629616,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0915441,0.0629616,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.0706257,0.0761333,0.0873936,0.0902217,0.0915441,0.0915441,0.0916523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,3.04161e-05,3.04161e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0936254,-0.0949974,-0.0908623,0.00108634,-0.0954418,-0.0951098,-0.0949974,-0.0936254,-0.0936254,-0.0841007,-0.0749367,0.110725,0.110725,0.110249,0.00131854,0.0972667,0.108844,0.110592,0.110725,0.110725,0.110725,0.110725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
