TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20020101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.921,-16.13,2.099,-12.906,2.022,-14.921,0.0,-16.13,2.099,0.0,-12.906,2.022,0.0,113.376,48.183,0.666667,57.747,57.599,0.666667,-9999,-9999,193.288,193.288,0.0,-9999,-9999,162.738,162.738,0.0,-9999,-9999,0.029,0.029,0.0,98.963,98.963,0.0,0.062,0.062,0.0,1.329,1.329,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,16.7827,0.0,-9999,-9999,-9999,-9999,-9999,10.5628,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.59102,0.0,-9999,-9999,-1.5856,0.0,-9999,-9999,-1.6079,0.0,0.0239782,-2.2166,-1.66905,-1.5856,-1.5856,-1.54442,-1.54401,-1.48096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.195869,4.29149,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.187508,4.2918,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.573557,-0.31617,-0.187508,-0.187508,-0.124016,-0.123386,-0.0261736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.74012,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61941,0.620729,0.590773,0.00520219,0.518415,0.561835,0.56283,0.604314,0.619867,0.620335,0.620729,2.20501,2.20633,2.19867,0.0254777,2.05137,2.08527,2.10625,2.20501,2.20624,2.27476,2.33451,0.0586292,0.0422408,0.0872058,0.0297294,0.0422408,0.0468514,0.0526069,0.0586292,0.0613522,0.0680577,0.0817957,0.600096,0.5827,0.607292,0.0113319,0.5827,0.586492,0.587677,0.597004,0.600096,0.606995,0.620891,-9999,-9999
20020102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.351,-18.029,2.909,-16.221,2.909,-17.351,0.0,-18.029,2.909,0.0,-16.221,2.909,0.0,113.993,82.245,0.666667,62.94,62.718,0.666667,-9999,-9999,169.295,169.295,0.0,-9999,-9999,132.845,132.845,0.0,-9999,-9999,0.005,0.005,0.0,98.828,98.828,0.0,0.0,0.0,0.0,1.843,1.843,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.5051,0.0,-9999,-9999,-9999,-9999,-9999,28.3336,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.30478,0.0,-9999,-9999,-1.30478,0.0,-9999,-9999,-1.32091,0.0,0.0050198,-1.42421,-1.33985,-1.33985,-1.30478,-1.30478,-1.29441,-1.28202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307593,1.58506,0.0,-9999,-9999,-3.86557,3.14976,0.0,-9999,-9999,0.307593,1.58506,0.0,-9999,-9999,-3.86557,3.14976,0.0,-9999,-9999,0.252468,0.253509,0.253509,0.307593,0.307593,0.323579,0.342675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.24288,-3.86557,-3.86557,-3.86557,-3.86557,-3.86557,-3.86557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419361,0.422309,0.391146,0.00593454,0.324626,0.350017,0.352175,0.413013,0.420772,0.422119,0.42709,1.72414,1.72708,1.71205,0.00673217,1.64788,1.67367,1.68987,1.7076,1.7262,1.72787,1.77052,0.0481892,0.0347187,0.0617408,0.0144525,0.0347187,0.0383799,0.043238,0.0481892,0.0502756,0.0565008,0.067752,0.625889,0.60866,0.633333,0.011436,0.60866,0.612461,0.613544,0.622825,0.625889,0.632757,0.647627,-9999,-9999
20020103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.673,-12.828,4.35,-12.414,3.618,-12.673,0.0,-12.828,4.35,0.0,-12.414,3.618,0.0,114.667,56.272,0.666667,61.072,60.885,0.666667,-9999,-9999,203.461,203.461,0.0,-9999,-9999,175.412,175.412,0.0,-9999,-9999,0.208,0.208,0.0,97.81,97.81,0.0,0.0,0.0,0.0,2.555,2.555,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.7994,0.0,-9999,-9999,-9999,-9999,-9999,24.25,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-3.29084,0.0,-9999,-9999,-3.29084,0.0,-9999,-9999,-3.2524,0.0,0.0133421,-3.48154,-3.33852,-3.29084,-3.29084,-3.18171,-3.17146,-3.15969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05456,5.16673,0.0,-9999,-9999,-6.69896,8.87829,0.0,-9999,-9999,-1.05456,5.16673,0.0,-9999,-9999,-6.69896,8.87829,0.0,-9999,-9999,-1.21442,-1.12807,-1.05456,-1.05456,-0.886294,-0.870487,-0.852343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.92257,-6.69896,-6.69896,-6.69896,-6.69896,-6.69896,-6.69896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915198,0.910905,0.906665,0.00528688,0.827723,0.860825,0.886248,0.913129,0.930741,0.935678,0.940548,4.20604,4.20175,4.15907,0.0114539,4.02096,4.08077,4.11245,4.19727,4.20454,4.20615,4.22477,0.0688223,0.0495848,0.142641,0.0752423,0.0495848,0.0551783,0.0617544,0.0688223,0.0722326,0.0791171,0.0952962,0.615487,0.598283,0.622843,0.0113732,0.598283,0.602065,0.603173,0.612428,0.615487,0.622336,0.63685,-9999,-9999
20020104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.177,-8.201,1.133,-8.138,2.464,-8.177,0.0,-8.201,1.133,0.0,-8.138,2.464,0.0,115.401,48.183,0.666667,58.166,58.046,0.666667,-9999,-9999,237.303,237.303,0.0,-9999,-9999,217.575,217.575,0.0,-9999,-9999,0.179,0.179,0.0,97.027,97.027,0.0,0.065,0.065,0.0,1.71,1.71,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,16.7827,0.0,-9999,-9999,-9999,-9999,-9999,10.5628,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.59102,0.0,-9999,-9999,-1.5856,0.0,-9999,-9999,-1.6079,0.0,0.0239782,-2.2166,-1.66905,-1.5856,-1.5856,-1.54442,-1.54401,-1.48096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.195869,4.29149,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.187508,4.2918,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.573557,-0.31617,-0.187508,-0.187508,-0.124016,-0.123386,-0.0261736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.74012,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49523,1.4801,1.5256,0.0185839,1.27644,1.42459,1.47614,1.48995,1.64841,1.665,1.68134,3.08083,3.0657,3.1335,0.0186994,2.90555,3.06174,3.06666,3.08121,3.20323,3.21224,3.22576,0.0891606,0.0642386,0.253751,0.166589,0.0642386,0.0717877,0.0796068,0.0891606,0.0939356,0.101207,0.122255,0.594971,0.578041,0.602136,0.0111537,0.578041,0.581746,0.582867,0.59196,0.594971,0.601701,0.615605,-9999,-9999
20020105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.413,-6.289,2.496,-3.953,2.278,-5.413,0.0,-6.289,2.496,0.0,-3.953,2.278,0.0,116.192,82.245,0.666667,46.306,46.209,0.666667,-9999,-9999,267.454,267.454,0.0,-9999,-9999,255.139,255.139,0.0,-9999,-9999,0.274,0.274,0.0,97.164,97.164,0.0,0.112,0.112,0.0,1.918,1.918,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.5051,0.0,-9999,-9999,-9999,-9999,-9999,28.3336,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.30478,0.0,-9999,-9999,-1.30478,0.0,-9999,-9999,-1.32091,0.0,0.0050198,-1.42421,-1.33985,-1.33985,-1.30478,-1.30478,-1.29441,-1.28202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307593,1.58506,0.0,-9999,-9999,-3.86557,3.14976,0.0,-9999,-9999,0.307593,1.58506,0.0,-9999,-9999,-3.86557,3.14976,0.0,-9999,-9999,0.252468,0.253509,0.253509,0.307593,0.307593,0.323579,0.342675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.24288,-3.86557,-3.86557,-3.86557,-3.86557,-3.86557,-3.86557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0122,1.98255,2.11614,0.0402575,1.63882,1.89997,1.97482,2.00184,2.3905,2.42607,2.46127,3.31698,3.28733,3.43705,0.0404377,3.06031,3.21253,3.2796,3.30679,3.73036,3.76593,3.80112,0.101747,0.0733071,0.416881,0.317514,0.0733071,0.0821281,0.0902916,0.101747,0.107439,0.114635,0.13871,0.535576,0.517914,0.542151,0.0110192,0.517914,0.521656,0.52307,0.532439,0.535576,0.542499,0.554018,-9999,-9999
20020106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-13.188,-13.494,4.571,-12.679,0.275,-13.188,0.0,-13.494,4.571,0.0,-12.679,0.275,0.0,117.043,56.272,0.666667,55.452,55.178,0.666667,-9999,-9999,207.692,207.692,0.0,-9999,-9999,180.684,180.684,0.0,-9999,-9999,0.045,0.045,0.0,98.058,98.058,0.0,0.196,0.196,0.0,2.117,2.117,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.7994,0.0,-9999,-9999,-9999,-9999,-9999,24.25,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-3.29084,0.0,-9999,-9999,-3.29084,0.0,-9999,-9999,-3.2524,0.0,0.0133421,-3.48154,-3.33852,-3.29084,-3.29084,-3.18171,-3.17146,-3.15969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05456,5.16673,0.0,-9999,-9999,-6.69896,8.87829,0.0,-9999,-9999,-1.05456,5.16673,0.0,-9999,-9999,-6.69896,8.87829,0.0,-9999,-9999,-1.21442,-1.12807,-1.05456,-1.05456,-0.886294,-0.870487,-0.852343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.92257,-6.69896,-6.69896,-6.69896,-6.69896,-6.69896,-6.69896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836536,0.834046,0.820381,0.00402185,0.763774,0.788891,0.811869,0.832769,0.835336,0.835666,0.836598,4.12738,4.12489,4.07278,0.0132929,3.92391,3.97962,4.00878,4.12424,4.12653,4.12744,4.1506,0.0664875,0.0479026,0.125382,0.0602539,0.0479026,0.0532667,0.0596591,0.0664875,0.0697354,0.0766003,0.0922192,0.589647,0.571996,0.596733,0.0113468,0.571996,0.575816,0.577074,0.586511,0.589647,0.596624,0.610049,-9999,-9999
20020107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.194,-12.876,6.584,-11.058,4.097,-12.194,0.0,-12.876,6.584,0.0,-11.058,4.097,0.0,117.951,48.183,0.666667,68.353,68.022,0.666667,-9999,-9999,198.456,198.456,0.0,-9999,-9999,169.177,169.177,0.0,-9999,-9999,0.278,0.278,0.0,97.428,97.428,0.0,0.0,0.0,0.0,2.554,2.554,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,16.7827,0.0,-9999,-9999,-9999,-9999,-9999,10.5628,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.59102,0.0,-9999,-9999,-1.5856,0.0,-9999,-9999,-1.6079,0.0,0.0239782,-2.2166,-1.66905,-1.5856,-1.5856,-1.54442,-1.54401,-1.48096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.195869,4.29149,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.187508,4.2918,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.573557,-0.31617,-0.187508,-0.187508,-0.124016,-0.123386,-0.0261736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.74012,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05844,1.04969,1.07209,0.0108528,0.923887,1.01213,1.04057,1.05538,1.14202,1.15247,1.16279,2.64404,2.63528,2.67999,0.0188805,2.49309,2.63159,2.63584,2.64426,2.69357,2.70721,2.7432,0.0712734,0.051351,0.184611,0.114841,0.051351,0.0572169,0.0639547,0.0712734,0.0748916,0.0816331,0.0984072,0.651388,0.634434,0.65909,0.011512,0.634434,0.638226,0.63919,0.648371,0.651388,0.658189,0.674065,-9999,-9999
20020108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.646,-1.334,4.015,0.502,3.708,-0.646,0.0,-1.334,4.015,0.0,0.502,3.708,0.0,118.918,82.245,0.666667,56.716,56.482,0.666667,-9999,-9999,267.294,267.294,0.0,-9999,-9999,254.94,254.94,0.0,-9999,-9999,0.712,0.712,0.0,96.073,96.073,0.0,0.454,0.454,0.0,2.556,2.556,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.5051,0.0,-9999,-9999,-9999,-9999,-9999,28.3336,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.30478,0.0,-9999,-9999,-1.30478,0.0,-9999,-9999,-1.32091,0.0,0.0050198,-1.42421,-1.33985,-1.33985,-1.30478,-1.30478,-1.29441,-1.28202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307593,1.58506,0.0,-9999,-9999,-3.86557,3.14976,0.0,-9999,-9999,0.307593,1.58506,0.0,-9999,-9999,-3.86557,3.14976,0.0,-9999,-9999,0.252468,0.253509,0.253509,0.307593,0.307593,0.323579,0.342675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.24288,-3.86557,-3.86557,-3.86557,-3.86557,-3.86557,-3.86557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06913,3.00418,3.37845,0.0977788,2.33977,2.86163,2.98731,3.04638,4.04737,4.13483,4.22198,4.37391,4.30895,4.69935,0.0980917,3.75845,4.18783,4.29209,4.35115,5.38722,5.47468,5.56183,0.12294,0.0885766,0.900035,0.780144,0.0885766,0.0995907,0.108154,0.12294,0.130237,0.137048,0.166228,0.596006,0.578438,0.603173,0.0113769,0.578438,0.582253,0.583478,0.592884,0.596006,0.602962,0.616643,-9999,-9999
20020109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.453,0.771,0.582,2.59,1.125,1.453,0.0,0.771,0.582,0.0,2.59,1.125,0.0,119.942,56.272,0.666667,65.003,64.739,0.666667,-9999,-9999,277.724,277.724,0.0,-9999,-9999,267.935,267.935,0.0,-9999,-9999,0.843,0.843,0.0,96.154,96.154,0.0,0.779,0.779,0.0,3.112,3.112,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,23.7994,0.0,-9999,-9999,-9999,-9999,-9999,24.25,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-3.29084,0.0,-9999,-9999,-3.29084,0.0,-9999,-9999,-3.2524,0.0,0.0133421,-3.48154,-3.33852,-3.29084,-3.29084,-3.18171,-3.17146,-3.15969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05456,5.16673,0.0,-9999,-9999,-6.69896,8.87829,0.0,-9999,-9999,-1.05456,5.16673,0.0,-9999,-9999,-6.69896,8.87829,0.0,-9999,-9999,-1.21442,-1.12807,-1.05456,-1.05456,-0.886294,-0.870487,-0.852343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.92257,-6.69896,-6.69896,-6.69896,-6.69896,-6.69896,-6.69896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5239,3.4443,3.9152,0.12123,2.64492,3.27639,3.42365,3.49601,4.74451,4.85269,4.96052,6.81475,6.73514,7.16761,0.110227,6.11974,6.57957,6.71449,6.78685,7.92622,8.0344,8.14223,0.132359,0.0953635,1.08276,0.953749,0.0953635,0.10735,0.116098,0.132359,0.140367,0.147019,0.178468,0.633577,0.616557,0.641119,0.0114351,0.616557,0.620333,0.621359,0.630548,0.633577,0.640382,0.655605,-9999,-9999
20020110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.983,-2.391,1.864,-1.304,0.229,-1.983,0.0,-2.391,1.864,0.0,-1.304,0.229,0.0,121.024,48.183,0.666667,14.659,14.52,0.666667,-9999,-9999,300.163,300.163,0.0,-9999,-9999,295.89,295.89,0.0,-9999,-9999,0.223,0.223,0.0,97.288,97.288,0.0,0.592,0.592,0.0,2.342,2.342,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,16.7827,0.0,-9999,-9999,-9999,-9999,-9999,10.5628,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.59102,0.0,-9999,-9999,-1.5856,0.0,-9999,-9999,-1.6079,0.0,0.0239782,-2.2166,-1.66905,-1.5856,-1.5856,-1.54442,-1.54401,-1.48096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.195869,4.29149,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.187508,4.2918,0.0,-9999,-9999,-3.76204,3.62288,0.0,-9999,-9999,-0.573557,-0.31617,-0.187508,-0.187508,-0.124016,-0.123386,-0.0261736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.74012,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,-3.76204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70874,2.65787,2.92723,0.0734404,2.115,2.53744,2.64464,2.69094,3.42992,3.49465,3.55893,4.29434,4.24347,4.53513,0.0630815,4.0184,4.23511,4.2467,4.29434,4.97434,5.03376,5.10335,0.117241,0.084471,0.672979,0.5586,0.084471,0.094876,0.103399,0.117241,0.124084,0.131096,0.1589,0.264184,0.249473,0.268612,0.00873513,0.249473,0.2523,0.253985,0.261554,0.264184,0.267568,0.272945,-9999,-9999
