,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040101,1.4411666669999998,-16.91672917,60.16,0.4,68.90958333,140.788125,27.84241667,0.19779798,0.07922457200000001,21.95079665,0.2,-0.0076,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
1,20040102,0.919708333,-20.76,60.30854167,0.1,68.59291667,140.075,17.43247917,0.041242873,-0.10007787,16.31639446,0.1875,-0.007675,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
2,20040103,1.01775,-17.38033333,60.75083333,0.0,68.50145833,135.4425,10.3511875,0.158512861,-0.504042303,6.195291527999999,0.175,-0.00775,1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
3,20040104,1.1435,-16.319625,64.51520833,0.0,68.59583333,139.91916669999998,18.9959375,0.10961491,-1.857789745,17.63437903,0.1625,-0.007825,1,0.0,0.1,0.5,0.5,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
4,20040105,1.4369375,-12.13604167,61.85354167,0.0,68.689375,110.56433329999999,6.5536041670000005,0.170973703,-3.654069595,5.205282233999999,0.15,-0.0079,1,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
5,20040106,1.0260625,-15.20477083,58.52729167,0.0,68.73395833,138.89245830000002,22.82872917,0.284267819,-1.267702257,15.75603015,0.1375,-0.007975,1,0.0,0.0,0.1,0.5,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
6,20040107,1.3701636069999998,-13.42778468,61.42813662,0.0,68.6493974,134.9421459,46.55679483,0.534139651,0.59947706,30.31095844,0.125,-0.00805,1,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
7,20040108,1.136855197,-12.01543218,52.23231496,0.0,68.70849558,145.27100090000005,50.10833475,0.6178955389999999,-3.454028275,35.48580406,0.1125,-0.008125,1,0.0,0.0,0.0,0.1,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
8,20040109,1.14120369,-14.64790201,53.79251046,0.0,68.66156496,115.4008348,40.86302072,0.779232383,-2.221838102,20.23377743,0.1,-0.0082,1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.173
9,20040110,1.155609408,-13.73342657,64.85536222,0.0,68.77325573,105.61356540000001,41.10409749,0.508941175,-1.033244433,27.22497154,0.1,-0.009725,1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,3198,0,11,47,41,0,0,0,0,0,0,1,0,0,0,0.18100000000000002
