,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,2.151958333,-13.72479167,35.74020833,0.0,67.41770833,87.48647917,-23.930999999999997,0.12240619,24.07854378,-51.59611178,0.1,-0.0111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
1,20030102,3.540854167,-14.23791667,23.40833333,0.0,67.75520833,133.53302079999997,-11.9273125,0.157206083,26.22567617,-42.76135981,0.1,-0.011000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
2,20030103,2.716625,-14.28052083,26.73708333,0.0,67.75041667,136.5519375,-5.622083333,0.141245411,28.76464184,-38.52738213,0.1,-0.0109,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
3,20030104,2.047375,-14.14314583,33.24854167,0.0,67.793125,126.99375,6.97825,0.14120617,33.75972757,-30.92046779,0.1,-0.0108,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
4,20030105,2.2925,-14.22082639,31.40268182,0.0,67.90788194,139.8414583,3.073195438,0.132382274,30.78252226,-31.58994755,0.1,-0.0107,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
5,20030107,2.087729167,-14.70054167,35.94520833,0.0,67.5325,141.6531458,5.542291667000001,0.124702621,31.59224406,-29.70704619,0.1,-0.0105,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
6,20030108,2.007125,-13.4790625,37.59708333,0.0,67.50479167,116.79175,9.305833332999999,0.12037414699999999,25.50952487,-19.72993215,0.1,-0.0104,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
7,20030109,2.515770833,-13.6706875,52.01,0.0,67.78875,136.5082917,14.30104167,0.146217826,32.78250605,-22.76551568,0.1,-0.0103,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.185
8,20030110,2.120125,-16.19002083,53.294375,0.0,67.85,134.1650625,13.322000000000001,0.133937358,38.18530994,-28.79653711,0.1,-0.010525,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.187
9,20030111,2.686104167,-17.09270833,54.8125,0.0,67.80375,110.92204170000001,2.641875,0.10849482099999999,28.04667941,-28.59348884,0.1,-0.01075,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.0,1,14,44,40,0,0,0,0,0,0,0,0,0,0,0.187
