,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,0.023666667000000002,15.62520833,99.27083333,1.5,92.84166667,124.63641670000001,93.05145833,0.58527288,2.834258715,73.52566402,4.8,0.23800000000000002,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.38799999999999996
1,20030102,0.004729167,17.30875,99.83958333,51.3,92.94166667,52.43666667,30.91075,0.861734442,-6.74371787,13.11707957,4.8125,0.24445,1,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.4
2,20030103,0.028416667000000007,16.503125,98.44791667,0.0,93.23125,153.67820830000005,113.14008329999999,1.6073169409999999,9.988991921,57.34920338,4.825,0.2509,1,51.3,52.8,52.8,52.8,52.8,52.8,52.8,52.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.397
3,20030104,0.024395833,16.30916667,98.11875,0.0,92.99583333,117.97477079999999,75.66714583,1.378898774,6.451111065,29.91600066,4.8375,0.25735,1,0.0,51.3,52.8,52.8,52.8,52.8,52.8,52.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.386
4,20030105,0.0256875,16.08875,99.89791667,77.2,92.83958333,17.52164583,13.06710417,0.043236845999999995,-7.955661771,19.79021763,4.85,0.2638,1,77.2,77.2,130.0,130.0,130.0,130.0,130.0,130.0,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.414
5,20030106,0.012958333,14.45916667,98.70208333,1.8,93.03333333,155.6901458,95.42929167,0.918126181,-1.566757477,70.78329254,4.8625,0.27025,1,79.0,79.0,130.3,131.8,131.8,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.337
6,20030107,0.049770833,12.7975,95.57125,0.0,93.18333333,136.39570830000002,93.99472917,1.2917190170000001,23.52193769,33.53671784,4.875,0.2767,1,1.8,79.0,79.0,131.8,131.8,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.379
7,20030108,0.041125,14.98020833,95.623125,0.0,92.93333333,132.3594583,86.93825,0.880182274,9.505971227,52.31503961,4.8875,0.28315,1,0.0,1.8,79.0,130.3,131.8,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.376
8,20030109,0.0283125,15.10916667,97.28541667,0.0,92.94166667,147.29233330000002,98.07458333,0.883097558,14.09522282,58.78196121,4.9,0.2896,1,0.0,0.0,79.0,79.0,131.8,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.389
9,20030110,0.033666667000000004,14.71166667,97.95625,0.0,93.01875,144.64297919999996,97.35020833,0.540508852,8.271502257,73.65066184,4.9,0.2936125,1,0.0,0.0,1.8,79.0,131.8,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.366
10,20030111,0.050895833,15.59125,96.38958333,0.0,93.04166667,169.84225,119.73622920000001,1.336471809,19.30826402,62.31160163,4.9,0.297625,1,0.0,0.0,0.0,79.0,130.3,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.359
11,20030112,0.032104167,16.10166667,96.2875,0.0,93.03541667,143.7336458,94.39554167,1.085995866,20.04609042,43.3914527,4.9,0.3016375,1,0.0,0.0,0.0,1.8,79.0,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.358
12,20030113,0.031395833,15.96270833,96.14375,0.0,92.95416667,173.13508330000005,118.12454170000001,1.493120605,18.13178455,57.42351248,4.9,0.30565,1,0.0,0.0,0.0,0.0,79.0,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.34900000000000003
13,20030114,0.039479167,14.52229167,96.27708333,0.0,93.00625,175.6367292,117.8293125,1.031463055,15.23933001,73.14316003,4.9,0.3096625,1,0.0,0.0,0.0,0.0,79.0,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.34600000000000003
14,20030115,0.0288125,14.910625,97.57083333,0.0,93.08333333,150.83197919999995,99.88385417,0.991248658,13.95793323,57.63741019,4.9,0.313675,1,0.0,0.0,0.0,0.0,1.8,131.8,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.34400000000000003
15,20030116,0.037083332999999996,15.34354167,96.93958333,0.0,93.175,133.8223542,84.85195833,1.12926002,8.448711609,44.18914605,4.9,0.3176875,1,0.0,0.0,0.0,0.0,0.0,130.3,131.8,131.8,750.0,0,28,40,30,0,0,0,0,0,1,0,0,0,0,0.33799999999999997
