,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20071102,1.244,28.32,73.10416666666667,2.7439999999999998,99.713,188.75,119.5,2.7227019679050555,47.163999999999994,-2.27083,1.1125,0.1198125,11,12.045,16.948999999999998,24.387,27.976,40.587,45.52800000000001,47.26100000000001,54.96600000000002,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.158
1,20071103,1.1420000000000001,27.864,76.27083333333333,6.039,99.79299999999999,222.896,138.404255319,3.0156054675488977,69.8861,-0.791667,1.125,0.122325,11,8.783,18.084,24.343000000000004,30.426,43.368,50.78500000000001,53.30000000000001,61.00500000000002,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.2
2,20071104,1.168,27.154,80.27083333333333,5.143,99.87,193.25,119.021276596,3.0288926093179214,54.2998,-1.83959,1.1375,0.1248375,11,11.182,13.925999999999998,28.131,35.569,41.935,55.409000000000006,58.44300000000001,63.95900000000002,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.16399999999999998
3,20071105,1.121,27.344,77.3125,15.918,99.87,173.0,117.645833333,2.973611178000583,35.9593,-2.125,1.15,0.12735000000000002,11,21.061,27.1,39.145,45.404,55.076,70.529,74.36099999999998,78.90299999999998,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.22699999999999998
4,20071106,1.214,25.63,84.85416666666667,13.811,99.837,145.417,78.2340425532,2.4053932818638333,29.0036,-10.8333,1.1625,0.12986250000000002,11,29.729,34.872,43.655,57.86,65.29799999999999,82.63099999999997,87.52099999999996,91.95299999999996,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.29600000000000004
5,20071107,1.115,27.08,75.375,3.469,99.77,236.729,169.41666666700002,3.642369035089779,46.31100000000001,-1.89583,1.175,0.132375,11,17.28,33.198,44.38,56.425,68.767,84.96700000000001,89.90799999999999,95.13,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.28800000000000003
6,20071108,1.25,26.955,78.04166666666667,7.152,99.79,191.958,131.29166666700002,3.392782558257217,34.3216,1.125,1.1875,0.1348875,11,10.620999999999999,24.432,45.493,54.276,69.83600000000001,88.86100000000002,96.27800000000002,100.814,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.298
7,20071109,1.063,29.589000000000002,64.1875,0.0,99.73700000000001,258.64599999999996,165.79166666700002,3.914869547128424,48.8872,5.3125,1.2000000000000002,0.1374,11,7.152,10.621,40.35,51.532,68.48100000000001,82.28500000000003,95.759,100.814,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.19899999999999998
8,20071110,1.5330000000000001,30.366999999999997,64.52083333333333,2.162,99.695,282.312,175.1875,4.051070517775806,48.1302,6.60417,1.2125,0.145825,11,2.162,9.314,26.594,47.655,65.73899999999999,81.67,97.123,102.97599999999998,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.19399999999999998
9,20071111,1.278,28.14,72.95833333333333,1.6130000000000002,99.686,211.542,131.125,3.667078753114793,39.5324,-0.486562,1.225,0.15425,11,3.775,3.775,14.396,44.125,58.051,79.694,97.027,103.80499999999998,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.154
10,20071112,1.2770000000000001,27.237,74.14583333333333,5.504,99.681,195.208,130.5625,3.6964588256853625,38.5079,-1.95833,1.2375,0.162675,11,7.117000000000001,9.279,16.430999999999994,33.711,60.81100000000001,85.198,101.39799999999998,108.07199999999996,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.155
11,20071113,1.226,28.525,65.45833333333333,5.581,99.619,240.562,157.875,3.9088218272047217,45.126999999999995,3.14583,1.25,0.1711,11,11.085,12.698,14.86,25.481,60.353,84.696,103.721,113.65299999999999,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.204
12,20071114,1.443,27.787,70.625,5.579,99.625,192.042,115.3125,3.3850847846640653,33.2119,-0.791667,1.2625000000000002,0.17952500000000002,11,11.16,16.664,20.439,27.591,60.788999999999994,88.92,102.72399999999999,119.232,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.2
13,20071115,1.36,26.814,79.5,9.764,99.65799999999999,188.188,125.979166667,2.855931366593314,41.7658,2.59231,1.275,0.18795,11,15.343,20.924,28.041,30.20300000000001,54.635,93.78,109.711,128.996,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.14400000000000002
14,20071116,1.452,28.618000000000002,73.27083333333333,5.537000000000001,99.569,259.27099999999996,181.91666666700002,4.66778583488146,47.1142,7.29167,1.2875,0.196375,11,15.300999999999998,20.88,31.965,35.73999999999999,46.361000000000004,90.016,111.65899999999999,133.882,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.198
15,20071117,1.422,27.476,76.375,9.552,99.399,172.312,112.5625,3.6368180619915744,30.3401,-3.47917,1.3,0.2048,11,15.089,24.853,36.01300000000001,43.13,52.443999999999996,96.824,121.211,142.35200000000003,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.301
16,20071118,1.137,26.346999999999998,79.35416666666667,10.202,99.465,158.333,95.875,2.5633769041462777,23.9242,-9.4375,1.3125,0.2057125,11,19.754,25.291,40.63399999999999,51.718999999999994,55.49399999999999,100.987,125.33,151.77200000000005,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.332
17,20071119,1.078,27.611,72.625,6.182,99.531,278.312,198.625,4.283975310498674,61.1188,6.22917,1.3250000000000002,0.206625,11,16.384,25.936,41.237,52.397,61.676,102.02599999999998,130.15699999999998,157.43499999999997,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.321
18,20071120,1.169,28.761,73.22916666666667,8.308,99.655,254.292,172.97916666700004,4.399803814107679,61.4919,4.52083,1.3375,0.2075375,11,14.49,24.692,39.781,55.124,67.822,94.416,133.561,164.945,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.298
19,20071121,0.943,27.752,77.20833333333333,14.048,99.652,196.41099999999997,128.021276596,3.4337911584740115,38.1281,-0.395833,1.35,0.20845,11,22.355999999999998,28.538000000000004,48.292,63.593,80.257,94.653,138.308,177.28399999999996,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.303
20,20071122,0.88,28.252,73.79166666666667,5.275,99.611,295.20799999999997,210.33333333299998,4.30028644461637,70.6122,5.80331,1.3625,0.2093625,11,19.323,27.631,44.015,59.104,80.02799999999998,96.459,140.839,181.426,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.309
21,20071123,1.167,28.616,67.04166666666667,0.5479999999999999,99.62,276.47900000000004,191.89583333299998,4.4771921658037765,29.04300000000001,8.85417,1.375,0.210275,11,5.8229999999999995,19.871,34.361000000000004,54.115,74.99499999999998,89.855,135.34799999999998,178.71599999999995,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.332
22,20071124,1.081,30.034000000000002,66.22916666666667,2.265,99.764,297.0,193.25,4.8996604284397565,48.9511,6.5625,1.3875000000000002,0.2111875,11,2.813,8.088000000000001,30.44400000000001,46.828,71.681,92.12,132.47,174.40499999999992,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.313
23,20071125,1.041,29.11,68.375,6.5760000000000005,99.9,239.354,150.5625,4.379763088524589,34.4286,-0.708333,1.4,0.2121,11,8.841000000000003,9.389,28.712000000000003,43.20200000000001,68.49300000000001,96.534,123.128,178.20399999999995,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.306
24,20071126,1.364,28.618000000000002,65.58333333333333,2.9010000000000002,99.79,268.062,171.9375,4.657981278603047,39.501999999999995,1.3125,1.4125,0.2155625,11,9.477,11.742,17.565,39.921,65.857,97.822,112.21799999999999,177.51599999999996,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.267
25,20071127,1.492,29.521,66.54166666666667,1.7930000000000001,99.569,288.0420000000001,183.66666666700002,4.9725145754368345,44.2271,7.72917,1.425,0.219025,11,4.694,11.27,14.083,33.40600000000001,58.098,94.111,110.54200000000002,179.30899999999997,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.253
26,20071128,1.179,28.151,72.91666666666667,7.8020000000000005,99.73700000000001,230.542,148.375,4.075917000220604,49.608999999999995,1.77083,1.4375,0.2224875,11,9.595,12.496,21.337,27.160000000000004,55.698,96.332,111.192,181.028,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.28500000000000003
27,20071129,0.972,29.177,69.72916666666667,0.0,99.986,298.125,211.39583333299998,4.9452913498987625,46.6056,-1.20833,1.4500000000000002,0.22595,11,7.8020000000000005,9.595,19.072,21.885,49.51600000000001,90.753,111.192,179.67299999999997,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.268
28,20071201,1.909,29.146,69.58333333333333,0.0,99.829,298.39599999999996,204.83333333299998,6.254652850147952,50.9835,4.75,1.475,0.232875,12,0.193,0.193,9.787999999999998,19.265,27.353,75.64500000000002,107.61,165.66099999999997,76.0,0,21,52,27,1,0,0,0,0,0,0,0,0,0,0.263
