,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20070919,1.6,27.092,47.875,0.0,100.494,268.70799999999997,92.7916666667,0.8618604028892517,87.7221,4.47489,0.6000000000000001,0.0513125,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.12
1,20070920,1.8980000000000001,27.63,45.77083333333334,0.0,100.59299999999999,274.58299999999997,92.625,0.5565228649675835,81.506,6.45596,0.6000000000000001,0.051875,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.12
2,20070921,1.554,27.151,52.0625,0.0,100.60600000000001,277.33299999999997,99.0208333333,0.6738105083996541,93.1261,7.557760000000001,0.6000000000000001,0.052437500000000005,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.12
3,20070922,1.439,27.469,53.02083333333334,0.0,100.458,280.813,101.145833333,0.7174763553898821,95.0886,4.40072,0.6000000000000001,0.053000000000000005,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.119
4,20070923,1.7380000000000002,29.394000000000002,43.6875,0.0,100.45,274.39599999999996,97.4166666667,0.6077843501011561,82.75399999999998,6.17886,0.6000000000000001,0.053950000000000005,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.119
5,20070924,1.5659999999999998,27.91800000000001,48.10416666666666,0.0,100.523,262.89599999999996,90.5208333333,0.5446942950110566,86.0053,-4.42415,0.6000000000000001,0.0549,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.119
6,20070925,1.615,27.622,53.9375,0.0,100.73,279.39599999999996,99.7708333333,0.42824596553693817,81.7623,5.27108,0.6000000000000001,0.05585,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.119
7,20070926,1.486,27.412,56.0625,0.0,100.71,242.146,90.0833333333,0.4264978754543326,87.0409,-5.7288,0.6000000000000001,0.0568,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.119
8,20070927,1.7730000000000001,28.439,60.47916666666666,0.0,100.617,232.063,89.4583333333,0.5695737913823608,85.8253,0.9392510000000001,0.6000000000000001,0.05775,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.11599999999999999
9,20070928,1.807,27.947,61.54166666666666,0.0,100.631,217.521,86.125,0.4706626452824272,76.507,-4.67108,0.6000000000000001,0.0587,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.115
10,20070929,2.126,27.561,49.0,0.0,100.59700000000001,283.08299999999997,111.4375,0.6891260057485246,98.9366,4.88523,0.6000000000000001,0.05965,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.102
11,20070930,2.932,26.024,23.27083333333333,0.0,100.68299999999999,293.33299999999997,113.979166667,0.6448597017773428,108.635,7.93558,0.6000000000000001,0.0606,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.11699999999999999
12,20071001,2.1319999999999997,26.171,26.72916666666667,0.0,100.59,283.58299999999997,101.4375,0.6101611397752265,100.105,7.9596399999999985,0.6000000000000001,0.06112500000000001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.114
13,20071002,1.876,27.958000000000002,52.29166666666666,0.0,100.545,297.0420000000001,117.416666667,0.5613512446775633,99.2422,6.8582800000000015,0.6000000000000001,0.06165,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.11699999999999999
14,20071003,1.704,28.326999999999998,57.77083333333334,0.0,100.611,265.0,99.3958333333,0.7603728412370894,86.491,2.40852,0.6000000000000001,0.062175,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.111
15,20071004,2.1390000000000002,29.408,57.20833333333334,0.0,100.61,277.875,113.854166667,0.8238048206531481,90.6994,11.6643,0.6000000000000001,0.0627,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.11199999999999999
16,20071005,1.9609999999999999,29.615,59.52083333333334,0.102,100.54700000000001,283.7290000000001,123.5625,2.1405136515783347,75.2179,9.077869999999999,0.6000000000000001,0.063225,10,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.111
17,20071006,1.952,29.649,61.375,2.194,100.479,251.458,110.479166667,1.3063912603656962,80.4413,-3.3602,0.6000000000000001,0.06375,10,2.296,2.296,2.296,2.296,2.296,2.296,2.296,2.296,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.11599999999999999
18,20071007,1.607,29.156999999999996,61.1875,4.122,100.47399999999999,274.25,124.6875,2.3470758424404585,59.5554,3.28471,0.6000000000000001,0.064275,10,6.316,6.4179999999999975,6.4179999999999975,6.4179999999999975,6.4179999999999975,6.4179999999999975,6.4179999999999975,6.4179999999999975,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.091
19,20071008,2.51,28.603,67.33333333333333,4.768,100.477,255.813,120.416666667,2.139290939528685,80.3476,2.79047,0.6000000000000001,0.0648,10,8.89,11.084,11.186,11.186,11.186,11.186,11.186,11.186,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.095
20,20071009,2.472,29.558000000000003,59.58333333333334,0.0,100.285,269.35400000000004,129.375,2.453916087423023,74.4305,2.54851,0.6125,0.0655375,10,4.768,8.89,11.186,11.186,11.186,11.186,11.186,11.186,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.147
21,20071010,2.181,28.936,66.0625,0.21899999999999997,100.25299999999999,245.917,116.304347826,2.1057191527551082,65.8973,2.16246,0.625,0.066275,10,0.21899999999999997,4.987,11.302999999999999,11.405,11.405,11.405,11.405,11.405,71.0,1,15,67,17,0,0,0,0,0,0,0,0,0,0,0.099
