,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030910,1.41,29.741999999999997,61.1875,0.4,100.836,258.094,163.0,1.5756696698191333,90.1074,3.91667,1.05,0.09215,9,0.4,0.4,17.59,17.59,18.39,19.39,21.79,21.79,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.135
1,20030913,1.8090000000000002,30.025,64.08333333333333,0.0,100.696,267.349,156.35416666700002,0.9393494571432895,104.49600000000001,6.77083,1.0875,0.0929375,9,0.0,0.0,0.4,0.4,17.59,18.39,21.79,21.79,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.115
2,20030914,1.827,30.252,63.45833333333334,0.0,100.62899999999999,273.625,166.89583333299998,1.4062230691530406,110.88,8.14583,1.1,0.0932,9,0.0,0.0,0.4,0.4,17.59,18.39,21.79,21.79,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.122
3,20030915,2.061,30.858,64.97916666666667,0.0,100.59100000000001,276.865,178.93333333299995,1.6008767585546753,100.546,8.27083,1.1125,0.0956875,9,0.0,0.0,0.0,0.4,17.59,18.39,19.39,21.79,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.106
4,20030916,1.7830000000000001,31.291,62.02083333333334,0.0,100.697,272.802,147.95833333299998,1.607672900713956,105.81200000000001,6.66667,1.125,0.098175,9,0.0,0.0,0.0,0.4,0.4,17.59,19.39,21.79,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.094
5,20030918,1.9469999999999998,30.906999999999996,58.8125,0.0,100.882,282.052,176.58333333299996,1.3330786992635144,114.815,7.20833,1.15,0.10315,9,0.0,0.0,0.0,0.0,0.4,17.59,18.39,21.79,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.083
6,20030923,1.7409999999999999,30.123,65.70833333333333,0.8,100.795,246.042,138.08333333299998,3.2606796330519296,45.0021,-5.33333,1.2000000000000002,0.1132,9,7.2,7.2,7.2,7.2,7.2,7.6,24.79000000000001,28.99,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.105
7,20030924,1.791,30.956999999999997,62.64583333333334,0.0,100.73200000000001,273.72900000000004,187.85416666700002,3.597484053525036,88.5026,2.66667,1.2000000000000002,0.1133,9,0.8,7.2,7.2,7.2,7.2,7.6,24.79000000000001,28.99,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.1
8,20030926,1.755,31.724,58.91666666666666,0.0,100.64399999999999,278.75,174.85416666700004,2.567149683209532,84.2223,6.875,1.2000000000000002,0.1135,9,0.2,0.2,7.4,7.4,7.4,7.4,7.800000000000002,26.79000000000001,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.105
9,20030927,1.585,31.474,62.91666666666666,0.0,100.63,265.79200000000003,172.125,2.4526290441146728,96.5707,6.83333,1.2000000000000002,0.1136,9,0.0,0.2,1.0,7.4,7.4,7.4,7.800000000000002,26.79000000000001,41.0,0,37,40,22,1,0,0,0,0,0,0,0,0,0,0.11599999999999999
