,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20010223,1.774,20.158,49.83333333333334,0.0,87.257,307.9790000000001,187.75,2.57704465470986,69.9467,3.79167,4.4,0.20535,2,0.0,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.8460000000000001,17.343,46.611999999999995,63.21,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.154
1,20010224,2.116,20.583000000000002,39.833333333333336,0.0,86.925,279.20799999999997,172.95833333299996,3.98292850531888,43.4552,4.54167,4.4,0.20800000000000002,2,0.0,0.0,0.46399999999999997,0.46399999999999997,0.46399999999999997,16.767,34.652,62.85,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.146
2,20010225,2.591,15.679,70.91666666666667,0.0,86.837,115.958,64.1666666667,4.7908266517774125,16.8603,1.125,4.4,0.21065,2,0.0,0.0,0.46399999999999997,0.46399999999999997,0.46399999999999997,14.009,17.343,50.049,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.146
3,20010226,2.617,17.544,54.29166666666666,0.0,86.86399999999998,294.6040000000001,174.875,2.119470714516269,9.54837,1.20833,4.4,0.2133,2,0.0,0.0,0.0,0.46399999999999997,0.46399999999999997,13.836,17.343,47.585,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.139
4,20010227,2.66,19.4,59.33333333333334,31.4,87.055,258.688,165.25,4.175680902616195,20.8595,2.29167,4.4,0.212025,2,31.4,31.4,31.4,31.864,31.864,45.236,48.743,78.985,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.146
5,20010228,3.27,16.928,65.54166666666667,0.2,87.10799999999998,288.5,181.375,5.911908311128463,38.2631,3.29167,4.4,0.21075,2,31.6,31.6,31.6,31.6,32.064,32.446,48.94300000000001,79.18500000000002,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.162
6,20010301,2.536,15.027999999999999,69.58333333333333,0.0,87.495,281.64599999999996,162.375,5.0738074206660455,40.6111,-1.25,4.4,0.209475,3,0.2,31.6,31.6,31.6,32.064,32.064,48.367,78.61200000000002,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.185
7,20010302,2.3819999999999997,15.389000000000001,67.45833333333333,0.0,87.42,273.97900000000004,162.375,4.156446733728512,38.5068,0.333333,4.4,0.2082,3,0.0,0.2,31.6,31.6,32.064,32.064,45.608999999999995,78.33200000000002,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.17
8,20010303,2.298,14.639000000000001,62.95833333333334,0.0,87.40799999999999,312.1040000000001,186.20833333299998,4.356578645137285,56.6616,-0.458333,4.4,0.206925,3,0.0,0.0,31.6,31.6,31.6,32.064,45.43600000000001,78.33200000000002,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.162
9,20010304,2.8569999999999998,15.23,66.5,0.0,87.335,280.16700000000003,177.625,4.091499473051902,50.2321,-0.166667,4.4,0.20565,3,0.0,0.0,0.2,31.6,31.6,32.064,45.43600000000001,78.33200000000002,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.161
10,20010305,4.544,11.898,64.375,0.0,87.571,313.45799999999997,118.666666667,4.2763390885872585,53.203,-2.5,4.4,0.204375,3,0.0,0.0,0.0,31.6,31.6,32.064,32.446,78.21200000000002,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.154
11,20010306,4.431,12.886,64.58333333333333,0.0,87.583,291.25,113.083333333,4.112979217992493,24.7125,-1.29167,4.4,0.2031,3,0.0,0.0,0.0,0.2,31.6,32.064,32.064,66.25200000000001,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.146
12,20010307,3.216,15.038,57.0,0.0,87.427,235.417,105.166666667,3.71392110845626,15.8426,0.07701210000000001,4.4,0.199825,3,0.0,0.0,0.0,0.0,31.6,32.064,32.064,48.94300000000001,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.146
13,20010311,2.668,14.84,72.04166666666667,0.0,87.214,216.25,129.16666666700002,3.4309696753024514,25.4332,2.20833,4.4,0.186725,3,0.0,0.0,0.0,0.0,0.0,31.6,32.064,48.367,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.155
14,20010312,3.5010000000000003,10.045,68.5,6.4,86.67399999999998,242.5,144.375,3.9334750656688433,43.7383,-2.125,4.4,0.18345,3,6.4,6.4,6.4,6.4,6.4,38.0,38.464,52.00899999999999,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.28300000000000003
15,20010313,2.03,7.9929999999999986,59.125,0.0,87.35799999999998,298.0420000000001,160.95833333299998,3.027528332193342,65.1993,-6.54167,4.4,0.180175,3,6.4,6.4,6.4,6.4,6.4,38.0,38.0,51.83600000000001,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.237
16,20010314,2.944,10.402999999999999,66.125,0.0,87.837,275.29200000000003,149.41666666700002,3.755694827640766,56.7651,-3.16667,4.4,0.1769,3,0.0,6.4,6.4,6.4,6.4,6.6000000000000005,38.0,51.83600000000001,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.222
17,20010315,3.141,12.636,73.66666666666667,0.0,87.81700000000002,237.583,133.91666666700002,3.5299768586312097,58.3262,0.0,4.4,0.1756375,3,0.0,0.0,6.4,6.4,6.4,6.4,38.0,38.846,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.173
18,20010316,4.55,12.687000000000001,78.16666666666667,20.2,87.29,172.583,108.333333333,2.2404313421106146,27.7117,1.04167,4.4,0.174375,3,20.2,20.2,26.6,26.6,26.6,26.6,58.2,58.664,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.259
19,20010317,4.7330000000000005,4.109,89.79166666666669,20.0,86.57700000000001,127.25,87.875,2.715304821761964,42.5976,-9.03632,4.4,0.1731125,3,40.2,40.2,40.2,46.6,46.6,46.6,78.2,78.664,1200,0,19,64,15,0,0,1,0,0,0,0,0,0,0,0.297
