,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20100203,3.0189999999999997,23.69400000000001,44.875,0.039,93.01299999999999,354.486,352.12903225800005,4.2094030815912316,97.5295,11.6667,4.800000000000002,0.24851250000000005,2,0.039,0.039,1.161,1.465,1.465,1.465,3.264,4.398,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.185
1,20100204,3.156,18.371,86.04166666666669,20.1,92.781,55.313,34.1458333333,2.5539847323348006,-44.0451,-0.3125,4.800000000000002,0.245625,2,20.139000000000006,20.139000000000006,21.261000000000006,21.565,21.565,21.565,23.364000000000004,24.498000000000005,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.16699999999999998
2,20100205,5.181,12.799000000000001,91.91666666666669,0.735,93.171,161.333,106.854166667,2.5350875551664096,38.6491,-8.52083,4.800000000000002,0.2427375,2,20.835,20.874000000000002,20.874,21.996,22.3,22.3,24.099000000000004,25.233000000000004,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.163
3,20100206,5.9079999999999995,13.289000000000001,84.6875,0.0,93.611,338.792,210.35416666700002,2.994960508628812,127.07799999999999,-2.29167,4.800000000000002,0.23985,2,0.735,20.835,20.874,21.996,22.3,22.3,23.81600000000001,25.233000000000004,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17600000000000002
4,20100207,2.366,21.201,63.47916666666666,0.0,93.772,321.95799999999997,207.45833333299998,5.1372610885773025,52.6156,9.45833,4.800000000000002,0.2369625,2,0.0,0.735,20.874,20.874000000000002,22.3,22.3,22.3,25.233000000000004,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.19
5,20100208,2.53,25.134,45.22916666666666,0.0,93.815,301.70799999999997,180.27083333299998,5.023836226532347,63.5584,10.3958,4.800000000000002,0.234075,2,0.0,0.0,20.835,20.874000000000002,21.996,22.3,22.3,25.233000000000004,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.182
6,20100209,2.573,24.721999999999998,53.64583333333334,1.062,93.8,249.75,153.9375,3.767449586465416,64.0284,9.95833,4.800000000000002,0.2311875,2,1.062,1.062,1.7970000000000002,21.936000000000003,23.058000000000003,23.362,23.362,26.295,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.166
7,20100210,2.57,23.105,68.0625,8.208,93.605,212.354,138.5,4.19297245999643,28.6587,6.10764,4.800000000000002,0.2283,2,9.27,9.27,9.27,30.105,30.144,31.57,31.57,34.503,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.21600000000000005
8,20100211,2.888,20.331,82.77083333333333,18.570999999999998,93.08200000000001,153.917,103.479166667,3.695921772711833,-15.6974,3.83333,4.800000000000002,0.2309375,2,26.779000000000003,27.840999999999998,27.841000000000005,28.576,48.715,50.14100000000001,50.14100000000001,51.94000000000001,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.171
9,20100212,3.781,14.588,93.52083333333331,1.128,92.902,161.167,120.666666667,2.8639081521329026,43.2114,-7.10417,4.800000000000002,0.233575,2,19.699,27.906999999999996,28.969000000000005,28.969,49.843,51.26900000000001,51.26900000000001,53.06800000000001,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17400000000000002
10,20100213,2.947,13.879000000000001,94.0625,0.0,92.81299999999999,188.313,146.8125,2.6702783357852,50.2948,-3.77083,4.800000000000002,0.2362125,2,1.128,19.699,28.969000000000005,28.969,49.803999999999995,50.965,51.26900000000001,53.06800000000001,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.18100000000000002
11,20100214,3.234,16.366,88.47916666666669,5.669,92.649,297.64599999999996,223.58333333299998,4.715256249827879,84.8673,4.39583,4.800000000000002,0.23885,2,5.669,6.7970000000000015,33.576,34.638000000000005,35.37300000000001,56.63399999999999,56.938,58.737,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17600000000000002
12,20100215,4.567,15.642000000000001,90.5625,4.742,93.07799999999999,207.021,157.3125,3.2947034442080385,57.2367,-1.75,4.800000000000002,0.2414875,2,10.411,10.411,30.11,39.38,39.38,60.254,61.68,63.479,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.177
13,20100216,4.982,15.741,76.47916666666667,0.0,93.286,350.27099999999996,205.52083333299998,4.5888910193923715,76.0504,-1.47917,4.800000000000002,0.244125,2,4.742,10.411,11.539000000000001,38.31800000000001,39.38,60.254,61.68,63.19600000000001,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.206
14,20100217,3.798,16.034000000000002,72.91666666666667,0.0,93.476,334.9790000000001,199.14583333299998,4.398996324702627,74.7436,-1.66667,4.800000000000002,0.2467625,2,0.0,4.742,10.411,30.11,39.38,60.254,61.68,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.21
15,20100218,4.43,16.08,76.5,0.0,93.648,340.125,212.9375,3.554525091775003,108.279,0.958333,4.800000000000002,0.2494,2,0.0,0.0,10.411,11.539,39.38,60.215,61.37600000000001,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.185
16,20100220,3.833,23.13,41.60416666666666,0.0,92.84,259.25,134.85416666700002,4.468968136889939,14.3919,5.04167,4.800000000000002,0.240175,2,0.0,0.0,0.0,10.411,30.11,39.38,60.254,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.183
17,20100221,3.549,22.406999999999996,50.89583333333334,0.0,92.564,286.7290000000001,171.66666666700002,4.2816260789830825,81.97399999999998,5.41667,4.800000000000002,0.2355625,2,0.0,0.0,0.0,4.742,11.539000000000001,39.38,60.254,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.187
18,20100222,3.81,15.854000000000001,73.4375,0.0,92.618,285.95799999999997,192.58333333299998,3.7629426934012016,126.79700000000001,-4.5625,4.800000000000002,0.23095,2,0.0,0.0,0.0,0.0,10.411,39.38,60.254,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17400000000000002
19,20100223,3.363,11.477,75.70833333333333,0.0,93.26799999999999,297.901,174.3125,2.6784180008188376,112.71,-11.375,4.800000000000002,0.2263375,2,0.0,0.0,0.0,0.0,10.411,39.38,60.215,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.187
20,20100224,4.533,12.76,72.02083333333333,0.0,93.425,334.52099999999996,186.77083333299998,2.961580993253268,101.93700000000001,-6.77083,4.800000000000002,0.221725,2,0.0,0.0,0.0,0.0,4.742,38.31800000000001,40.115,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.156
21,20100225,3.603,16.766,66.25,0.0,93.65,322.182,182.02083333299998,2.9756612274603413,85.2729,1.3125,4.800000000000002,0.2171125,2,0.0,0.0,0.0,0.0,0.0,30.11,39.38,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.18899999999999997
22,20100226,2.759,21.765,53.97916666666666,0.0,93.445,283.432,162.54166666700002,3.069461906804721,86.1977,7.33333,4.800000000000002,0.2125,2,0.0,0.0,0.0,0.0,0.0,11.539,39.38,61.68,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.179
23,20100227,3.435,16.36,87.14583333333331,5.69,93.184,100.68799999999999,60.625,0.5239619201286124,44.3277,-2.9375,4.800000000000002,0.211625,2,5.69,5.69,5.69,5.69,5.69,16.101,45.06999999999999,67.37,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17400000000000002
24,20100228,4.7010000000000005,10.485999999999999,81.64583333333333,0.0,93.294,291.969,202.41666666700002,1.606392260523166,161.48,-10.2708,4.800000000000002,0.21075,2,5.69,5.69,5.69,5.69,5.69,16.101,45.06999999999999,67.066,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.159
25,20100301,5.999,9.725,79.58333333333333,0.0,93.291,244.958,158.02083333299998,0.6447477065308195,151.252,-11.4375,4.800000000000002,0.209875,3,0.0,5.69,5.69,5.69,5.69,10.432,44.008,67.066,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.191
26,20100303,2.523,18.471,61.54166666666666,0.0,93.04,303.25,174.72916666700004,3.1736268584946865,81.7221,5.125,4.800000000000002,0.208125,3,0.0,0.0,5.69,5.69,5.69,5.69,17.229,65.944,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.16699999999999998
27,20100304,2.39,20.57,53.22916666666666,0.57,92.57600000000001,205.75,109.333333333,2.786693135348831,40.219,4.9375,4.800000000000002,0.20725,3,0.57,0.57,0.57,6.2600000000000025,6.2600000000000025,6.2600000000000025,16.671,66.514,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17500000000000002
28,20100305,2.39,17.952,86.95833333333331,22.245,92.079,60.375,34.1458333333,0.7788697843087798,2.18437,1.97917,4.800000000000002,0.206375,3,22.815,22.815,22.815,28.50500000000001,28.50500000000001,28.50500000000001,38.916,88.72,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.172
29,20100306,1.6280000000000001,15.994000000000002,94.33333333333331,36.219,92.432,104.542,86.75,1.3591793087431072,-11.2158,0.9000469999999999,4.800000000000002,0.2055,3,58.464,59.034,59.034,59.034,64.72399999999999,64.72399999999999,69.46600000000001,104.839,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.205
30,20100307,3.005,15.014000000000001,90.1875,38.69300000000001,92.465,98.75,72.0208333333,1.4453074541180904,-30.4929,-0.958333,4.800000000000002,0.207275,3,74.91199999999998,97.15700000000001,97.727,97.727,103.417,103.417,103.417,142.797,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.22699999999999998
31,20100309,4.044,10.226,86.41666666666669,0.396,92.87299999999999,140.375,102.895833333,3.536315842786299,15.4356,-11.625,4.800000000000002,0.210825,3,11.585,50.27800000000001,108.74200000000002,109.31200000000001,109.312,115.00200000000001,115.002,154.38200000000003,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.19399999999999998
32,20100310,3.0389999999999997,9.218,82.41666666666667,0.317,93.876,158.97899999999996,105.666666667,2.942679309747637,38.5772,-10.8542,4.800000000000002,0.2126,3,0.7130000000000001,11.902000000000001,86.81400000000002,109.62900000000002,109.62900000000002,115.31900000000002,115.31900000000002,154.69900000000004,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.204
33,20100311,3.8480000000000003,10.997,84.22916666666667,0.0,94.389,283.70799999999997,179.125,2.529509862924527,75.2405,-2.79514,4.800000000000002,0.214375,3,0.317,0.7130000000000001,50.59500000000001,109.05900000000004,109.62900000000002,115.31900000000002,115.31900000000002,153.63700000000003,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.19399999999999998
34,20100313,2.356,17.012999999999998,60.66666666666666,0.0,94.51299999999999,283.375,150.08333333299998,3.3393986148250496,49.1599,1.0625,4.800000000000002,0.217925,3,0.0,0.0,0.7130000000000001,50.59500000000001,109.62900000000002,115.31900000000002,115.31900000000002,126.85800000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.19399999999999998
35,20100314,2.073,17.93,53.3125,0.0,94.022,272.0,139.08333333299998,3.3538905277907967,65.8156,-0.166667,4.800000000000002,0.2197,3,0.0,0.0,0.317,11.902000000000001,109.05900000000004,109.62900000000002,115.31900000000002,125.73000000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.19
36,20100315,2.334,19.025,51.97916666666666,0.0,93.645,263.625,147.08333333299998,4.17916683936473,47.8813,2.75,4.7875000000000005,0.217625,3,0.0,0.0,0.0,0.7130000000000001,86.81400000000002,109.62900000000002,115.31900000000002,125.73000000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.177
37,20100316,2.758,20.63,47.97916666666666,0.0,93.54299999999999,265.313,143.22916666700002,3.843733457728833,26.9861,3.70833,4.775,0.21555,3,0.0,0.0,0.0,0.317,50.59500000000001,109.62900000000002,115.31900000000002,120.06100000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.212
38,20100318,2.991,22.482,44.625,0.0,93.6,151.594,86.3541666667,4.127444439175708,-29.1858,5.89583,4.75,0.2114,3,0.0,0.0,0.0,0.0,0.7130000000000001,109.62900000000002,115.31900000000002,115.31900000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.193
39,20100320,1.84,16.675,74.35416666666667,0.0,93.321,250.891,152.1875,3.595996513282316,53.0938,-3.3125,4.7250000000000005,0.20725,3,0.84,0.84,0.84,0.84,0.84,87.65400000000002,110.46900000000002,116.15900000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.205
40,20100321,2.935,13.088,75.5625,0.401,93.304,201.484,110.75,2.9773999759188152,51.1428,-8.35417,4.7125,0.205175,3,0.401,1.241,1.2409999999999999,1.241,1.2409999999999999,51.83600000000001,110.87,116.56,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.196
41,20100323,2.719,12.15,84.1875,0.0,93.48299999999999,255.021,157.29166666700002,2.3348515592295174,81.2448,-4.27778,4.7125,0.203125,3,0.0,0.401,1.2409999999999999,1.241,1.2409999999999999,1.954,110.87,116.56,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.18899999999999997
42,20100324,2.291,14.479000000000001,84.47916666666667,0.0,93.586,251.729,162.625,2.3258027099709104,61.3191,-1.0625,4.7250000000000005,0.20315,3,0.0,0.0,0.401,1.241,1.2409999999999999,1.558,110.3,116.56,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.18899999999999997
43,20100325,2.696,19.337,56.66666666666666,0.0,93.275,254.292,126.083333333,3.497522884822576,31.3032,1.5,4.7375,0.203175,3,0.0,0.0,0.401,1.241,1.2409999999999999,1.241,88.055,116.56,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17500000000000002
44,20100331,3.217,13.390999999999998,81.95833333333333,0.0,93.337,237.25,127.333333333,2.810490272932102,38.6518,-3.77083,4.7875000000000005,0.2006,3,0.0,12.918,23.926,24.10400000000001,24.10400000000001,25.345,25.345,134.97400000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.193
45,20100401,2.536,14.065999999999999,78.95833333333333,0.0,93.27,234.104,130.47916666700002,2.793440425305181,58.7408,-2.95833,4.775,0.1979,4,0.0,0.0,23.201,24.10400000000001,24.10400000000001,25.345,25.345,134.97400000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.183
46,20100402,3.6519999999999997,11.292,91.0,0.4,93.32600000000001,120.833,83.6458333333,0.7893712904196246,43.5082,-5.64583,4.7625,0.1952,4,0.4,0.4,13.318,24.326,24.504,25.745,25.745,135.37400000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.2
47,20100403,3.9410000000000003,11.595999999999998,87.875,0.0,93.32700000000001,217.542,120.916666667,1.2960921756557209,50.3154,-5.47917,4.75,0.1925,4,0.4,0.4,0.4,23.601,24.504,24.905,25.745,134.80400000000003,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.17600000000000002
48,20100404,2.6489999999999996,15.252,71.64583333333333,0.0,93.21,209.208,101.25,2.4743857826958777,31.9029,-1.1875,4.7375,0.1898,4,0.0,0.4,0.4,13.318,24.504,24.905,25.745,112.55900000000004,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.171
49,20100405,3.2939999999999996,16.319000000000006,65.91666666666667,0.0,92.95299999999999,225.53599999999997,112.4375,2.7697963222614703,33.6162,-0.08333330000000001,4.7250000000000005,0.1871,4,0.0,0.0,0.4,0.4,24.326,24.504,25.745,76.34000000000002,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.18100000000000002
50,20100406,3.62,15.515,70.8125,15.8,92.65799999999999,76.729,33.7708333333,1.6324606382081055,-18.1025,-1.8125,4.7125,0.1844,4,15.8,15.8,16.2,16.2,39.401,40.304,41.545,53.447,705,0,19,66,14,0,0,1,0,0,0,0,0,0,0,0.185
