,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030826,3.378,18.61,76.0444375,3.6639999999999997,96.669,216.865,141.475104167,2.898461289641008,50.9782,4.255730000000002,4.0875,0.2096,8,4.197,9.249,9.773,20.052,20.452,27.275,33.715,76.61,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.226
1,20030827,4.09,9.872,80.61545833333334,0.218,97.454,127.97,63.4211458333,1.047962270389555,22.2988,-9.68454,4.025,0.2058,8,3.8819999999999997,4.414999999999999,9.677,11.708,20.51,27.493000000000002,29.626000000000005,76.41199999999998,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.248
2,20030828,3.3819999999999997,9.537,80.92916666666666,1.452,97.66,103.831,56.4824583333,1.466771851786664,6.6819,3.66523,3.9625,0.202,8,1.67,5.334,10.919,11.443,21.941999999999997,28.945,30.406,74.63600000000002,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.235
3,20030829,4.871,12.49,90.20247916666666,0.659,96.927,75.405,47.3471041667,1.875962386152486,-8.6317,-1.5983100000000001,3.9,0.1982,8,2.111,2.329,6.526,11.788,22.381,29.604,31.065,74.055,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.267
4,20030830,3.281,10.602,78.04212500000001,1.028,98.051,167.737,100.0336875,2.3517503922604908,18.6498,-0.07166669999999999,3.825,0.198275,8,1.6869999999999998,3.139,7.021000000000001,12.606,14.847,26.369,31.357,73.77,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.273
5,20030831,4.488,15.089,68.32204166666666,2.613,97.889,254.90599999999998,150.62195833299998,3.0992221546101857,60.7798,7.942710000000001,3.75,0.19835,8,3.641,4.3,5.97,10.167,15.743,26.422,33.245,73.58999999999997,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.242
6,20030901,1.965,13.89,77.03902083333331,1.6,98.06700000000001,212.84400000000002,128.554208333,2.3531620347887285,72.2417,-2.50185,3.675,0.198425,9,4.213,5.2410000000000005,7.3519999999999985,11.233999999999998,17.029,27.861999999999995,34.845,67.58999999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.264
7,20030902,2.3569999999999998,15.081,69.83160416666668,0.917,97.885,245.23,143.172875,2.2489942256574493,73.2872,6.56363,3.6,0.1985,9,2.5170000000000003,5.130000000000001,6.817000000000001,8.487000000000002,17.736,28.759,35.762,68.048,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28300000000000003
8,20030903,3.842,14.402999999999999,86.08820833333334,10.113999999999999,96.92200000000001,71.767,41.9369791667,1.8625616101780829,-31.8371,2.4128700000000003,3.5250000000000004,0.198575,9,11.030999999999999,12.630999999999998,16.272000000000002,18.383,22.798000000000002,38.65299999999999,45.87600000000001,69.21799999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.25
9,20030904,4.027,10.270999999999999,84.88008333333333,1.234,97.272,115.18799999999999,63.259125,3.0929229300207024,-1.75338,-5.99144,3.45,0.19865,9,11.347999999999999,12.265,16.477999999999998,18.165,23.499000000000002,31.325,42.847,60.775,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.299
10,20030905,3.569,12.856,64.66285416666666,0.09300000000000001,97.73100000000001,259.819,134.384958333,2.984762938495761,38.4152,3.99071,3.375,0.198725,9,1.327,11.440999999999999,13.958,17.598999999999997,19.928,29.701,40.38,53.643,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.263
11,20030906,3.5039999999999996,14.169,84.42268750000002,0.39799999999999996,97.471,97.185,33.7309375,1.7159113327953093,-3.5099199999999997,2.49608,3.3000000000000003,0.1988,9,0.491,1.725,12.755999999999998,16.968999999999998,20.108,29.785,40.618,49.733999999999995,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.261
12,20030907,1.265,13.818,74.65647916666666,0.142,98.022,203.57,128.548270833,2.190866083388165,57.1303,0.782646,3.2125000000000004,0.192125,9,0.54,0.6329999999999999,11.981000000000002,14.497999999999998,18.798,29.71699999999999,40.74,49.20399999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.253
13,20030908,2.577,12.751,77.41233333333334,0.32899999999999996,98.369,236.592,144.42435416700002,2.2163607899784994,66.5694,3.5738800000000004,3.125,0.18545,9,0.47100000000000003,0.8690000000000001,2.196,13.227,18.468,24.994,40.849,49.53299999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.278
14,20030909,3.766,16.396,71.525875,0.024,98.37100000000001,218.801,119.73641666700001,2.4844627786290454,40.6712,9.23144,3.0375,0.17877500000000002,9,0.35300000000000004,0.495,0.986,12.334,17.464000000000002,24.48499999999999,32.311,48.82099999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28
15,20030910,3.043,19.464000000000002,69.28822916666667,0.26,98.32799999999999,215.359,113.3521875,2.322670221627686,43.8016,8.06829,2.95,0.1721,9,0.28400000000000003,0.613,1.153,2.48,15.110999999999999,21.081,30.85400000000001,48.356,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.256
16,20030912,5.088,19.643,68.94652083333334,0.0,97.845,184.981,76.836875,2.2610322120426134,12.8288,7.285439999999999,2.7750000000000004,0.15875,9,0.281,0.541,0.8940000000000001,1.4340000000000002,12.875,19.692,30.611,48.637,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.239
17,20030913,4.688,19.54,72.33035416666667,0.0,97.656,160.812,92.0163125,1.714922022348217,23.9687,8.56787,2.6875,0.15207500000000002,9,0.0,0.281,0.5650000000000001,1.036,2.761,19.033,25.559,48.637,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.259
18,20030914,3.905,19.714000000000002,81.78408333333333,0.98,97.40100000000001,135.097,79.5157708333,1.1926428128714752,30.2944,8.101230000000001,2.6,0.1454,9,0.98,0.98,1.521,1.874,2.5069999999999997,18.985,26.006,45.35399999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.22399999999999998
19,20030915,3.142,15.214,97.07770833333332,1.973,96.921,43.75,37.0048125,1.379725005144397,-3.19576,-0.686062,2.5250000000000004,0.13742500000000002,9,2.9530000000000003,2.9530000000000003,3.2340000000000004,3.5180000000000007,4.3870000000000005,18.345,24.315,44.767,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.264
20,20030916,3.622,10.539000000000001,93.91789583333332,10.384,97.25200000000001,85.419,43.5770208333,1.4595811625265305,17.436,-4.92775,2.45,0.12945,9,12.357,13.337000000000002,13.337000000000002,13.878000000000002,14.373,27.129,34.481,54.99100000000001,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.306
21,20030917,4.123,16.629,72.65933333333334,0.0,98.133,221.12900000000002,106.402875,2.3464026241161333,24.7247,9.91429,2.375,0.121475,9,10.384,12.357000000000001,13.337000000000002,13.618000000000002,14.231000000000002,26.212,33.029,54.971000000000004,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28700000000000003
22,20030918,4.435,18.711,66.0313125,0.0,98.23899999999999,219.912,99.94920833329999,2.181016402007264,45.6035,3.8480199999999996,2.3000000000000003,0.1135,9,0.0,10.384,13.337000000000002,13.337000000000002,13.902,16.098,32.370000000000005,54.75100000000001,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.265
23,20030919,3.201,12.869000000000002,92.704125,19.930999999999997,96.87700000000001,21.169,-4.75510416667,0.6557022279084643,-24.1944,0.853146,2.225,0.105525,9,19.930999999999997,19.930999999999997,32.288000000000004,33.267999999999994,33.809,34.795,51.27300000000002,66.11999999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.251
24,20030920,3.978,9.672,85.21485416666667,0.0,97.571,89.28299999999999,63.7928541667,2.2165773619601445,5.45309,-1.6760599999999999,2.15,0.09755,9,19.930999999999997,19.930999999999997,30.315,33.267999999999994,33.549,34.702,48.66000000000002,64.40299999999999,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.298
25,20030921,2.79,10.827,76.44195833333333,0.0,98.383,190.878,97.7072291667,1.4877648767438396,65.3713,-2.59896,2.075,0.089575,9,0.0,19.930999999999997,19.930999999999997,32.288000000000004,33.268,34.303999999999995,47.06000000000002,64.089,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.26899999999999996
26,20030922,3.6919999999999997,10.492,95.06870833333336,21.416,96.85700000000001,52.211999999999996,17.107791666700006,0.5443289380587707,-8.9629,5.78515,2.0,0.0816,9,21.416,21.416,41.347,51.731,54.684,55.57799999999999,67.55900000000001,85.29500000000002,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28500000000000003
27,20030923,4.075,11.2,90.46714583333332,0.769,96.04,76.988,51.608625,2.538853361450537,-30.4604,-0.678042,1.9625,0.075725,9,22.185,22.185,42.11600000000001,42.11600000000001,55.453,56.018,58.21400000000001,81.01200000000001,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.26
28,20030924,4.947,10.196,89.7150625,3.676,96.26,49.01600000000001,2.19183333333,1.5007134803642124,-43.15,-2.735,1.925,0.06985000000000001,9,4.445,25.861,25.861,45.792,58.148999999999994,59.67,60.65600000000001,84.15500000000002,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.298
29,20030925,3.641,5.4220000000000015,82.79491666666667,0.0,96.771,141.66,63.8546666667,2.6754803749541654,45.1947,-10.9814,1.8875,0.063975,9,3.676,4.445,25.861,45.792,56.176,59.41,60.563,80.49100000000001,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28800000000000003
30,20030926,3.656,6.319,86.55147916666668,0.884,97.071,109.166,64.7450208333,1.0381911607878775,20.234,1.3578299999999999,1.85,0.05810000000000001,9,0.884,4.5600000000000005,26.745,26.745,46.676,60.01300000000001,61.049,81.15700000000002,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.292
31,20030927,5.0280000000000005,9.392999999999999,89.25897916666668,12.55,95.70200000000001,70.85300000000002,32.5013125,2.4617461844512016,-34.8626,-1.8861,1.8125,0.052225,9,13.434,13.434000000000001,17.878999999999994,39.295,59.226000000000006,72.563,73.45700000000002,92.255,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.257
32,20030928,3.6289999999999996,3.924,97.21960416666666,3.15,96.73299999999999,39.173,24.5845833333,2.7144244406267597,4.53969,-9.55448,1.775,0.04635,9,15.7,16.584,20.26,42.44499999999999,62.37599999999999,75.71300000000002,76.278,94.746,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.29
33,20030929,2.281,1.681,97.27504166666668,2.254,97.354,63.313,57.52075,2.065060968378477,16.1867,-7.20515,1.7375,0.040475,9,5.404,17.954,18.838,23.283,44.699,76.987,78.50800000000002,95.972,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.27699999999999997
34,20030930,3.281,1.07,97.647625,2.572,97.244,66.351,46.1508958333,1.7134845221598982,10.4784,-11.1685,1.7000000000000002,0.0346,9,4.8260000000000005,7.976000000000001,21.410000000000004,25.08600000000001,47.271,77.586,80.82000000000002,95.931,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28400000000000003
35,20031002,3.063,1.063,87.38825000000001,1.1909999999999998,97.73,132.935,82.6891666667,1.812943746924426,32.7518,-5.7160400000000005,1.625,0.0403,10,1.713,4.285,9.689,23.123,27.568,68.91499999999999,82.25200000000002,95.127,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28
36,20031003,4.6,2.101,96.21572916666666,4.332,95.89200000000001,31.814,21.0726041667,1.2813689320075885,-16.884,-5.0031,1.5875,0.04315,10,5.523,6.045,10.870999999999999,26.571,31.131,73.247,86.584,89.345,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.301
37,20031004,3.861,0.8440000000000001,98.94404166666668,5.593,96.024,55.06399999999999,45.2091458333,1.7968123711398978,-10.7307,-7.28302,1.55,0.046,10,9.925,11.116,14.21,19.614,33.048,58.909000000000006,91.197,93.704,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.29100000000000004
38,20031005,4.256,0.612,89.2044375,1.5219999999999998,97.198,97.979,56.3644375,2.1221680629781066,29.2181,-8.567039999999999,1.5125000000000002,0.048850000000000005,10,7.115,11.447,13.159999999999998,17.986,34.57,60.431,90.74600000000001,95.133,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28800000000000003
39,20031006,2.963,2.48,72.64020833333333,0.0,97.65299999999999,168.139,75.4441875,0.8528065182366349,54.6248,-3.7987300000000004,1.475,0.0517,10,1.5219999999999998,7.115,12.637999999999998,15.732,33.686,60.431,80.362,94.735,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.28500000000000003
40,20031007,4.645,11.815,73.91770833333334,0.0,97.04700000000001,171.99599999999995,68.4301041667,1.1637933510840188,21.7119,9.60915,1.4375,0.05455,10,0.0,1.5219999999999998,11.447000000000001,13.159999999999998,21.136,39.015,80.362,94.593,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.27399999999999997
41,20031008,3.196,12.864,76.12264583333331,0.0,97.36399999999999,166.32,67.8225208333,1.2400253666278531,42.0503,5.17135,1.4,0.0574,10,0.0,0.0,7.115,12.637999999999998,17.986,38.246,80.362,94.264,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.182
42,20031009,3.322,13.57,75.79095833333334,0.0,97.86200000000001,132.502,56.7338541667,0.9867082177278088,28.3072,8.3175,1.3875000000000002,0.0524625,10,0.0,0.0,1.5219999999999998,11.447,15.732000000000001,34.57,60.431000000000004,94.24,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.228
43,20031010,4.295,16.709,65.66733333333333,0.0,97.819,162.597,50.1720625,1.209863534081843,24.6238,5.64527,1.375,0.047525000000000005,10,0.0,0.0,0.0,7.115,13.159999999999998,34.57,60.431000000000004,93.98,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.235
44,20031011,4.269,16.744,72.53291666666667,0.0,97.535,137.857,40.7386666667,0.8370660831016913,8.66279,8.23967,1.3625,0.0425875,10,0.0,0.0,0.0,1.5219999999999998,12.637999999999998,33.686,60.431000000000004,93.699,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.206
45,20031012,6.416,10.915,79.87343750000002,0.06,96.29799999999999,47.016999999999996,12.887125,1.7445936108204765,-38.7388,-2.90817,1.35,0.03765,10,0.06,0.06,0.06,0.06,11.507,21.196,39.075,93.759,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.233
46,20031013,3.0239999999999996,8.043,82.70797916666669,0.6579999999999999,96.851,77.502,18.5340833333,0.6007927428773524,0.8665639999999999,-5.47454,1.3375,0.0327125,10,0.718,0.718,0.718,0.718,7.8329999999999975,18.704,38.964,94.417,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.217
47,20031015,4.657,3.427,76.14568750000002,0.0,96.193,108.089,53.396,1.3064270991339582,41.2497,-9.14825,1.3125,0.0228375,10,3.11,3.768,3.8280000000000003,3.828,3.8280000000000003,16.987999999999996,38.398,94.574,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.222
48,20031017,2.655,0.071,83.42225,0.062,97.723,64.873,18.210125,0.5517495211567701,23.9768,-8.692730000000001,1.2875,0.0180875,10,1.854,1.854,5.622000000000001,5.682,5.682,17.128999999999998,26.817999999999994,86.044,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.268
49,20031022,2.083,-0.628,75.37870833333334,0.0,97.2,49.662,18.391145833299998,0.4856348482069292,24.6424,-6.8265600000000015,1.225,0.019025,10,0.0,5.067,6.0089999999999995,7.862999999999999,11.630999999999998,11.690999999999999,23.138,50.706,340,0,9,72,19,0,0,0,0,1,0,0,0,0,0,0.271
