,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20080101,2.555,-3.5260000000000002,94.44166666666666,2.74,93.052,10.872,7.693633625,0.20570954380481998,23.3981,-2.11825,1.0,0.0155,1,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.313
1,20080102,3.055,-5.502999999999999,94.26666666666664,0.69,92.913,24.346,10.1539423255,0.09013091467854474,4.036919999999999,-3.4613199999999997,1.0125,0.01575,1,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.313
2,20080103,6.349,-6.0020000000000024,94.45208333333336,0.31,92.25200000000001,6.504,-1.1151472924899999,0.04335043493367263,62.3121,-4.04459,1.025,0.016,1,1.0,3.74,3.74,3.74,3.74,3.74,3.74,3.74,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.313
3,20080104,6.92,-7.197,93.0375,0.0,92.249,30.44,-6.88393125,0.06381853371617675,112.755,-4.42279,1.0375,0.01625,1,0.31,1.0,3.74,3.74,3.74,3.74,3.74,3.74,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.312
4,20080105,6.421,-6.153,91.91666666666669,0.0,91.94200000000001,22.83,13.744812854200001,0.13048359385576122,19.6433,-3.96369,1.05,0.0165,1,0.0,0.31,3.74,3.74,3.74,3.74,3.74,3.74,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.313
5,20080106,4.374,-2.041,96.21666666666664,9.86,91.714,8.555,5.04264854167,0.3690226937984955,8.96268,-1.8516,1.0625,0.01675,1,9.86,9.86,10.86,13.6,13.6,13.6,13.6,13.6,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.318
6,20080107,4.417,-1.175,97.11875000000002,4.28,92.065,13.241,-11.1860345833,0.3244400526253807,-14.7645,-0.4356350000000001,1.075,0.017,1,14.14,14.14,14.45,17.88,17.88,17.88,17.88,17.88,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.335
7,20080108,4.297,-0.195,91.44375,0.35,92.68700000000001,44.825,-20.213826875,0.3314265020968224,-11.7151,0.9890209999999999,1.0875,0.01725,1,4.63,14.489999999999998,14.489999999999998,15.489999999999998,18.23,18.23,18.23,18.23,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.337
8,20080109,4.138,-0.215,87.12291666666665,0.99,92.36399999999999,41.298,-20.5682580625,0.2893060384432445,-4.679469999999999,0.580521,1.1,0.0175,1,1.34,5.62,15.48,15.79,19.22,19.22,19.22,19.22,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.327
9,20080110,3.5780000000000003,0.804,95.9875,0.03,92.44200000000001,49.795,-12.491372229200001,0.22208940276607309,-16.2021,0.475609,1.1,0.017937500000000002,1,1.02,1.37,15.51,15.51,19.25,19.25,19.25,19.25,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.32799999999999996
10,20080111,3.98,1.35,83.88541666666667,0.0,91.87299999999999,58.86600000000001,-23.9799577083,0.3100021551581715,-10.0102,0.497104,1.1,0.018375,1,0.03,1.02,5.65,15.51,16.51,19.25,19.25,19.25,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.32299999999999995
11,20080112,4.523,1.669,76.63458333333334,0.03,91.539,28.302,-30.7889621667,0.24568212280288426,-5.8540199999999984,0.428646,1.1,0.0188125,1,0.03,0.06,1.4,15.54,15.85,19.28,19.28,19.28,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.322
12,20080113,2.092,-0.054000000000000006,90.87916666666668,0.0,92.59100000000001,52.38,-9.97866020833,0.3279780005501958,-0.72569,0.28938,1.1,0.01925,1,0.03,0.03,1.05,5.68,15.54,19.28,19.28,19.28,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.322
13,20080114,3.03,0.047,92.89791666666666,0.0,92.00200000000001,51.913000000000004,-4.36257847917,0.2333450017198967,-5.05542,0.21534899999999998,1.1,0.0196875,1,0.0,0.03,0.06,1.4,15.54,19.28,19.28,19.28,734,0,15,50,33,0,0,0,0,0,1,0,0,0,0,0.319
