,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030506,4.761,10.568,87.61229167,3.99,101.056,81.64399999999998,19.21458333,0.9243122207079224,-28.7897,4.35,3.8625,0.25155,5,3.99,3.99,12.99,36.79,53.99,57.79,57.79,69.79,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.26
1,20030507,5.038,9.765,77.26458333,0.0,101.66,205.596,97.40208333,2.198597121242711,37.5322,2.93437,3.975,0.2585,5,3.99,3.99,12.99,16.39,43.99,57.79,57.79,69.79,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.264
2,20030508,5.426,12.109000000000002,73.19916667,0.0,101.117,270.427,126.3979167,2.1149054133888887,61.1948,4.71042,4.0875,0.26545,5,0.0,3.99,3.99,12.99,39.99,57.79,57.79,69.19000000000001,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.247
3,20030509,3.674,10.056,78.96541667,0.0,101.015,232.75,104.6979167,2.0613975320762656,58.9433,3.51562,4.2,0.27240000000000003,5,0.0,0.0,3.99,12.99,36.79,57.79,57.79,66.79,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.24100000000000002
4,20030510,3.301,10.581,78.24854167,1.0,101.304,187.842,68.83958333,1.5324974045758504,22.6923,2.825,4.275,0.2984,5,1.0,1.0,4.99,4.99,17.39,58.79,58.79,61.99,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.225
5,20030511,2.741,12.095,69.70916667,0.0,101.519,306.842,140.4208333,1.8096966503749987,103.199,4.39792,4.3500000000000005,0.3244,5,1.0,1.0,1.0,4.99,13.99,54.99,58.79,58.79,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.236
6,20030512,4.7810000000000015,11.73,80.34458333,6.941,100.865,150.648,64.5875,1.1875439684307083,3.91636,5.01146,4.425,0.3504,5,6.941,7.941,7.941,11.931,20.930999999999997,51.931,65.73100000000001,65.73100000000001,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.26
7,20030513,4.787,9.476,87.92125,4.0,100.415,142.844,48.47291667,1.2851325039962591,-3.3697,2.7375,4.5,0.3764,5,10.941,10.940999999999999,11.941,11.940999999999999,15.931,51.931,69.73100000000001,69.73100000000001,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.24
8,20030514,6.233,8.407,79.098125,0.0,100.612,228.36900000000003,101.70625,1.796647304365636,31.4115,0.788542,4.575,0.4024,5,4.0,10.940999999999999,11.941,11.940999999999999,15.931,48.731,69.73100000000001,69.73100000000001,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.281
9,20030515,7.519,7.5470000000000015,72.68541667,0.6,101.046,184.821,94.57083333,2.6292384255529706,-26.7262,-0.06354169999999999,4.65,0.4284,5,0.6,4.6,11.540999999999999,12.541,16.531,28.930999999999997,70.331,70.331,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.24600000000000002
10,20030516,4.382,7.25,69.78041667,0.0,101.183,198.742,84.13958333,1.6971557514799216,57.049,-1.15625,4.7250000000000005,0.4544,5,0.6,0.6,11.540999999999999,12.541,12.540999999999999,25.531,66.531,70.331,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.264
11,20030517,4.867,9.69,75.15916667,0.0,100.819,191.9,95.04375,1.6797047857262557,75.9525,1.01042,4.800000000000002,0.4804000000000001,5,0.0,0.6,4.6,11.541,12.540999999999999,25.531,56.53100000000001,70.331,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.24600000000000002
12,20030518,4.294,11.704,84.591875,1.4,100.471,192.042,80.08958333,1.7053772531313758,38.4751,5.31875,4.862500000000002,0.506,5,1.4,1.4,2.0,12.940999999999999,13.941,17.930999999999994,53.931000000000004,71.73100000000002,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.262
13,20030519,3.634,12.175,86.806875,0.8,100.233,171.985,87.68958333,2.0822294925804137,26.2354,5.92396,4.925000000000002,0.5316000000000001,5,2.2,2.2,2.8000000000000003,6.8000000000000025,14.741,18.731,51.53100000000001,72.53099999999998,40,0,14,56,27,0,0,0,1,0,0,0,0,0,0,0.226
