,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20110819,1.176,5.151,91.41666666666669,0.1,97.04,164.021,83.25,1.120178605919137,56.9732,-4.66667,0.7250000000000001,0.011425,8,0.1,2.0,30.6,30.6,30.6,30.70000000000001,30.70000000000001,31.70000000000001,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.146
1,20110820,4.614,4.646,92.39583333333331,0.0,96.935,172.213,83.2708333333,0.8004445242662345,52.7733,-0.520833,0.7125,0.0096625,8,0.1,0.1,30.6,30.6,30.6,30.6,30.70000000000001,31.70000000000001,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.146
2,20110821,4.166,2.6839999999999997,95.02083333333331,0.0,97.079,133.207,54.4583333333,0.6238782317369351,38.6347,0.854167,0.7000000000000001,0.0079,8,0.0,0.1,2.0,30.6,30.6,30.6,30.70000000000001,31.70000000000001,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
3,20110822,1.6280000000000001,5.0089999999999995,79.14583333333333,0.0,97.484,170.421,74.1875,1.1101270257056282,40.1847,1.72917,0.6875,0.00755,8,0.0,0.0,0.1,30.6,30.6,30.6,30.70000000000001,31.70000000000001,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
4,20110823,1.689,5.112,83.4375,0.1,98.329,96.932,48.5625,0.8485894699229936,18.299,-7.932289999999999,0.675,0.0072000000000000015,8,0.1,0.1,0.2,2.1,30.70000000000001,30.70000000000001,30.800000000000004,31.800000000000008,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
5,20110824,1.175,4.735,88.83333333333331,0.0,98.366,96.26,45.4166666667,0.5829135305978772,19.4742,5.27083,0.6625000000000001,0.00685,8,0.1,0.1,0.1,0.2,30.70000000000001,30.70000000000001,30.800000000000004,31.800000000000008,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
6,20110825,1.785,3.2,95.75,0.1,98.007,87.999,37.9791666667,0.4309018077239113,24.2863,1.41667,0.65,0.006500000000000001,8,0.1,0.2,0.2,0.30000000000000004,30.8,30.8,30.8,31.90000000000001,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
7,20110826,2.103,2.635,94.5,0.2,97.29899999999999,132.19899999999998,66.9375,0.7725279032517648,46.3828,3.66667,0.6375000000000001,0.00615,8,0.30000000000000004,0.30000000000000004,0.4,0.4,2.4,31.0,31.0,31.300000000000004,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
8,20110827,4.115,0.46299999999999997,95.52083333333331,0.1,96.85799999999999,95.251,55.0,0.5398325934812612,40.6926,0.8125,0.625,0.0058000000000000005,8,0.30000000000000004,0.4,0.5,0.5,0.6,31.1,31.1,31.300000000000004,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
9,20110828,2.5860000000000003,1.383,86.0,2.1,96.45200000000001,115.427,41.2083333333,0.6445423291350516,32.2007,-0.854167,0.6125,0.00545,8,2.2,2.4000000000000004,2.5000000000000004,2.6000000000000005,2.7000000000000006,33.2,33.2,33.40000000000001,38.0,0,10,62,54,0,0,0,0,0,0,1,0,0,0,0.166
