,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20091007,1.996,19.958,86.47708333333333,0.254,102.206,194.27700000000002,82.62770833329998,0.9971492553873924,57.4166,6.65465,1.0,0.0654,10,0.508,0.508,0.762,5.587999999999999,5.587999999999999,6.35,16.764,88.39200000000002,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.141
1,20091008,1.972,20.294,87.27083333333331,0.0,101.90799999999999,186.083,80.325625,0.7523263336633654,56.4619,5.28372,1.0,0.0664,10,0.254,0.508,0.508,5.334,5.587999999999999,6.35,16.764,88.39200000000002,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.21
2,20091009,1.771,20.531999999999996,88.16458333333333,0.254,101.78299999999999,180.303,80.2825,0.6166294834534444,59.3208,3.06605,1.0,0.06621250000000001,10,0.254,0.508,0.762,1.016,5.8420000000000005,5.8420000000000005,17.018,88.646,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.191
3,20091010,1.4240000000000002,21.362,85.20833333333333,0.0,101.55,123.8,48.2696666667,0.3937816454067007,39.8648,4.1325,1.0,0.066025,10,0.254,0.254,0.762,0.762,5.8420000000000005,5.8420000000000005,7.874,88.646,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.21
4,20091011,1.265,19.043,92.65833333333336,3.556,101.346,108.63799999999999,26.9190869565,1.1535776490540477,13.6687,5.28372,1.0,0.06583750000000001,10,3.556,3.81,4.064,4.3180000000000005,9.143999999999998,9.397999999999998,10.413999999999998,92.202,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.21
5,20091012,4.042,18.497,87.8125,9.144,100.64399999999999,152.155,80.1699782609,1.6898035121956994,14.6664,3.06605,1.0,0.06565,10,12.7,12.7,12.954,13.461999999999998,13.715999999999998,18.542,19.304000000000002,101.346,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.21100000000000002
6,20091013,3.252,14.847000000000001,44.32916666666667,0.0,101.285,191.386,82.8747916667,3.2826398758159554,-7.10055,4.1325,1.0,0.0654625,10,9.144,12.7,12.954,13.207999999999998,13.461999999999998,18.542,19.304000000000002,101.346,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.28200000000000003
7,20091014,5.485,12.735,45.26666666666666,0.0,101.527,152.515,50.835625,2.075680287460852,4.63014,5.28372,1.0,0.065275,10,0.0,9.144,12.7,12.954,13.461999999999998,18.542,18.542,81.53399999999998,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.223
8,20091015,7.185,12.083,44.68604166666668,0.0,101.344,48.87300000000001,-15.666604166700001,1.1676759024772925,-42.3576,3.06605,1.0,0.0650875,10,0.0,0.0,12.7,12.954,13.461999999999998,18.542,18.542,67.31,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.162
9,20091016,4.864,14.274000000000001,38.21958333333333,0.0,101.32700000000001,187.894,55.2502083333,1.2003198708125071,29.6158,4.1325,1.0,0.0649,10,0.0,0.0,9.144,12.7,13.207999999999998,18.288,18.542,45.466,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.213
10,20091017,3.9360000000000004,11.958,72.06250000000001,10.922,101.052,46.411,6.30435416667,0.7626094975847684,-10.7337,5.28372,1.0125,0.065875,10,10.922,10.922,10.922,23.622000000000003,23.876000000000005,24.63800000000001,29.46400000000001,40.64000000000001,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.177
11,20091018,5.432,12.202,73.035,1.524,100.7,63.083999999999996,33.4413333333,1.6868564492290312,-43.3489,3.06605,1.025,0.06685,10,12.446000000000002,12.446000000000002,12.446000000000002,21.590000000000003,25.40000000000001,25.90800000000001,30.98800000000001,42.16400000000001,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.259
12,20091019,4.474,12.823,57.03479166666667,0.0,101.19200000000001,161.211,66.211875,2.4486937973339256,-2.99796,4.1325,1.0375,0.067825,10,1.524,12.446000000000002,12.446000000000002,12.446000000000002,25.146000000000004,25.90800000000001,30.98800000000001,42.16400000000001,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.242
13,20091020,2.714,12.614,63.03208333333333,0.254,101.67299999999999,164.765,55.3929166667,1.4979270393877453,15.8637,6.39035,1.05,0.0688,10,0.254,1.778,12.7,12.7,25.4,26.16200000000001,31.242000000000008,33.274,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.225
14,20091021,2.612,15.687999999999999,62.01583333333333,0.0,101.652,163.408,49.943666666700004,1.6731851686212122,17.6626,6.8098899999999984,1.0625,0.069775,10,0.254,0.254,12.7,12.7,21.844,25.908000000000005,30.98800000000001,32.258,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.225
15,20091022,2.873,18.654,85.67083333333333,9.144,101.04,57.041000000000004,33.7490416667,1.1469208593005034,-10.1126,5.57373,1.075,0.07075000000000001,10,9.144,9.398,10.922,21.844,21.844,34.797999999999995,35.55999999999999,41.14799999999999,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.217
16,20091023,3.145,17.896,89.66249999999998,18.796,100.12100000000001,76.407,42.1592083333,1.464807277097325,-22.6183,4.41742,1.0875,0.071725,10,27.94,27.94,28.19400000000001,40.64,40.64,53.593999999999994,54.10199999999999,59.94399999999999,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.28200000000000003
17,20091024,1.53,16.561,90.30625000000002,13.208,100.223,73.465,25.7541666667,1.0290577903099258,-10.4276,4.0972599999999995,1.1,0.0727,10,32.004,41.148,41.402,42.926,53.848,66.548,67.31000000000002,72.39000000000003,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.289
18,20091025,6.0329999999999995,18.77,70.736875,0.0,101.065,159.84799999999996,41.5492954545,3.7698387601037346,-47.9168,6.71748,1.1125,0.0736625,10,13.208,32.004,41.148,41.402,53.848,66.548,67.31000000000002,72.39000000000003,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.256
19,20091026,4.159,18.820999999999998,68.84354166666667,0.0,101.36,160.624,62.5333333333,2.4984064575243377,-15.3747,6.17786,1.125,0.074625,10,0.0,13.208,41.148,41.402,53.848,62.992,67.05600000000001,72.39000000000003,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.249
20,20091027,3.29,18.289,70.62729166666666,0.0,101.587,151.97799999999995,50.3646666667,1.825669926059258,-0.10231,5.89455,1.1375,0.0755875,10,0.0,0.0,32.004,41.148,42.926,53.848,66.80199999999999,72.39000000000003,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.231
21,20091028,3.9,17.052,57.89666666666667,0.0,101.75200000000001,151.694,31.8754166667,1.9905092024483009,-12.315,7.1029100000000005,1.15,0.07655,10,0.0,0.0,13.208,41.148,41.402,53.848,66.80199999999999,72.39000000000003,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.21899999999999997
22,20091029,2.411,14.559000000000001,66.68625,0.0,101.70200000000001,156.89700000000005,34.7079166667,1.1979153055895058,11.6144,3.5157300000000005,1.1625,0.0775125,10,0.0,0.0,0.0,32.004,41.402,53.848,66.548,72.39000000000003,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.221
23,20091030,4.242,16.151,57.11916666666666,0.0,101.87299999999999,151.79,30.3454166667,1.7280967775189149,-7.8418899999999985,3.71251,1.175,0.078475,10,0.0,0.0,0.0,13.208,41.148,53.848,66.548,72.39000000000003,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.213
24,20091031,4.977,13.677,41.46250000000001,0.0,102.15799999999999,161.77700000000004,26.8410416667,1.6575164927111283,-1.70713,3.07096,1.1875,0.07943750000000001,10,0.0,0.0,0.0,0.0,41.148,53.848,62.992,72.13600000000002,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.23
25,20091101,3.15,12.618,53.145208333333336,0.0,102.083,154.876,23.9325,1.0146711179172545,11.1688,-0.291713,1.2000000000000002,0.0804,11,0.0,0.0,0.0,0.0,32.004,42.926,53.848,67.56400000000002,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.187
26,20091102,2.972,12.31,69.92958333333333,2.7939999999999996,101.321,76.178,16.3332083333,0.7049878273465955,-2.20018,-1.48691,1.2125,0.08246250000000001,11,2.7939999999999996,2.7939999999999996,2.7939999999999996,2.7939999999999996,16.002,44.19600000000001,56.642,70.10400000000001,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.225
27,20100114,2.8569999999999998,9.138,76.21583333333334,0.0,100.969,109.55799999999999,2.53395833333,1.2792891043561552,-27.296999999999997,-4.67016,1.6625,0.124975,1,1.27,1.524,25.4,78.48400000000002,82.802,90.42200000000001,111.152,185.578,20,0,19,38,42,0,0,0,0,0,0,0,1,0,0,0.263
