,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20021015,0.496,15.137,96.12373333333332,1.6,101.09200000000001,27.29300000000001,3.5579002916699998,0.1835135243182905,1.0744,1.7251,0.9125,0.0554375,10,2.522,4.322,27.122,56.52200000000001,57.32200000000001,57.32200000000001,59.52200000000001,79.322,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.38299999999999995
1,20021016,0.73,16.632,92.86613333333332,0.2,100.728,47.19600000000001,14.5887560417,0.3464933387958889,0.743123,2.18615,0.9,0.054700000000000006,10,1.8,2.722,16.722,50.52200000000001,57.32200000000001,57.52200000000001,59.72200000000002,79.52199999999998,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.39299999999999996
2,20021017,2.1109999999999998,18.39,78.17386666666665,1.2,99.694,103.18700000000001,42.136065625,0.8384341135745061,2.08561,2.89552,0.875,0.0545875,10,1.4,3.0,5.722,28.522,58.322,58.722,60.922,80.72200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.39799999999999996
3,20021018,1.3630000000000002,15.727,50.251999999999995,0.0,100.32600000000001,147.496,42.8693083333,1.1025237588148271,22.5151,-7.41948,0.8500000000000001,0.054475,10,1.2,1.4,3.9219999999999997,17.922,57.922,58.722,60.922,80.72200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.392
4,20021019,1.097,12.536,61.2736,0.0,100.941,134.493,34.0138167708,0.8160135130386814,29.31,-10.6342,0.8250000000000001,0.0543625,10,0.0,1.2,3.0,5.722,51.722,58.722,60.922,78.92200000000003,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.384
5,20021020,0.5379999999999999,10.254000000000001,78.0928,0.0,101.43700000000001,99.04799999999999,34.93373125,0.5990421077284701,27.4603,-8.063130000000001,0.8,0.05425,10,0.0,0.0,1.4,3.922,28.522,58.722,58.722,78.72200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.37799999999999995
6,20021021,0.593,11.072000000000001,93.1584,0.8,101.08,12.487,-3.83252302083,0.052782822012242936,-2.55397,-2.75031,0.775,0.054137500000000005,10,0.8,0.8,2.0,3.8,18.722,59.32200000000001,59.52200000000001,70.72200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.375
7,20021022,0.922,12.238,90.72853333333336,4.2,100.056,47.534,22.4688966667,0.262020755890032,7.0739600000000005,-0.0413542,0.75,0.054025,10,5.0,5.0,5.0,6.4,10.722,63.321999999999996,63.722,69.72200000000001,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.405
8,20021023,0.81,14.154000000000002,88.8512,0.8,100.06,78.857,31.52055,0.4122894728483637,17.9025,0.397604,0.7250000000000001,0.0539125,10,5.0,5.8,5.8,7.0,9.722,63.72200000000001,64.52200000000002,70.12200000000003,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.395
9,20021024,1.5190000000000001,13.789000000000001,75.18079999999998,0.6,100.73,130.269,34.71591875,0.6964785561850514,16.5838,-5.1193800000000005,0.7000000000000001,0.0538,10,1.4,5.6,6.4,6.4,9.4,58.122,65.12200000000001,68.32200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.38299999999999995
10,20021025,0.7490000000000001,11.809000000000001,96.60266666666666,0.4,101.133,17.405,-4.66721135417,0.05353277416656607,0.48453100000000004,-2.35042,0.6875,0.052075,10,1.0,1.8,6.8,6.8,8.2,35.322,65.52200000000002,67.72200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.37799999999999995
11,20021026,1.217,14.745999999999999,84.70400000000002,0.8,101.26,107.564,33.2346279167,0.4456253291664869,23.1127,-0.686771,0.675,0.050350000000000006,10,1.2000000000000002,1.8000000000000005,6.8000000000000025,7.6,8.8,25.522,66.12200000000001,68.52200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.377
12,20021027,0.904,11.880999999999998,94.34026666666666,0.2,101.469,69.045,12.2199664583,0.26822902432806345,15.4739,-4.05115,0.6625000000000001,0.048625,10,1.0,1.4,2.8,7.8,7.8,13.522,66.12200000000001,68.72200000000002,60,0,15,40,43,0,0,0,1,0,0,0,0,0,0,0.377
