,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,0.911,0.26,48.44791667,0.0,82.929,160.759,91.32674521,0.07848160334559262,-0.0200426,-1.21402,1.0,0.0167,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.17800000000000002
1,20000302,3.402,-6.21,51.9375,0.0,81.57300000000002,132.484,1.904204563,0.09981917890823293,-0.582263,-4.53645,1.0,0.030075,3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.18899999999999997
2,20000303,1.977,-4.229,31.39583333,0.0,81.818,116.768,57.14422917,0.108051687643482,-0.0277116,-3.80975,1.0,0.03275,3,0.0,5.1,5.3,5.3,5.3,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.17800000000000002
3,20000304,2.272,-3.077,55.98958333,0.0,81.54,121.007,56.23250255,0.05514275201294925,4.68904,-3.15235,1.0,0.035425000000000005,3,0.0,0.0,5.3,5.3,5.3,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.17800000000000002
4,20000305,2.352,-7.146,26.66666667,0.0,82.512,176.89,113.8036625,0.11778984513082695,-0.6876939999999999,-5.45273,1.0,0.0381,3,0.0,0.0,5.1,5.3,5.3,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.192
5,20000306,1.541,-4.498,25.39583333,0.0,82.956,184.741,120.87923329999998,0.1232872184785368,-0.031626999999999995,-4.14821,1.0,0.0380625,3,0.0,0.0,0.0,5.3,5.3,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.18100000000000002
6,20000307,1.2,0.271,30.51041667,0.0,82.72,185.923,114.8638708,0.0612888976081067,5.1951800000000015,-2.00435,1.0,0.038025,3,0.0,0.0,0.0,5.1,5.3,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.192
7,20000309,2.1180000000000003,6.1670000000000025,52.38541667,0.0,82.586,137.59799999999998,87.689275,0.13685764906344194,-0.0347548,0.602797,1.0,0.037950000000000005,3,0.0,0.0,0.0,0.0,5.3,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.203
8,20000310,2.148,4.206,42.10416667,0.0,82.449,190.959,124.64395,0.06729190259571709,5.68275,0.558319,1.0,0.0379125,3,0.0,0.0,0.0,0.0,5.1,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.248
9,20000312,1.395,3.142,44.89583333,0.0,82.359,200.985,134.7746938,0.14706299137912973,-0.0374542,-0.140062,1.0,0.0378375,3,0.0,0.0,0.0,0.0,0.0,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.263
10,20000313,1.141,2.171,69.80208333,0.0,82.523,146.39600000000004,118.18484709999998,0.07318731219272234,6.19259,-0.15508,1.0,0.0378,3,0.0,0.0,0.0,0.0,0.0,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.248
11,20000314,1.422,1.602,59.35416667,0.0,82.33200000000002,122.413,74.46508075,0.15640795533613716,-0.905637,-1.15971,1.0,0.03955,3,0.0,0.0,0.0,0.0,0.0,5.3,5.3,5.3,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.23399999999999999
12,20000315,2.958,-1.19,59.03125,0.6,82.023,196.712,159.7078849,0.16267391789973895,-0.0416006,-1.27662,1.0,0.0413,3,0.6,0.6,0.6,0.6,0.6,5.6999999999999975,5.9,5.9,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.233
13,20000316,3.064,-4.162,66.42708333,0.2,82.169,36.87300000000001,0.859919063,0.08036220800080501,6.84057,-4.07814,1.0,0.043050000000000005,3,0.8,0.8,0.8,0.8,0.8,0.8,6.1,6.1,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.217
14,20000317,2.992,0.256,54.125,0.0,82.025,212.658,172.9937198,0.17261656076789966,-1.0007700000000002,-2.15148,1.0,0.0448,3,0.2,0.8,0.8,0.8,0.8,0.8,6.1,6.1,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.21600000000000005
15,20000319,2.483,-0.7190000000000001,48.0,0.0,82.28,195.221,153.2193248,0.08885091335124883,7.53855,-2.41466,1.0,0.0483,3,0.243,0.243,1.043,1.043,1.043,1.043,6.343,6.343,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.2
16,20000320,1.741,-1.958,32.5625,0.0,82.348,213.284,157.5481188,0.19024044033849072,-1.10526,-3.33156,1.0,0.05005,3,0.0,0.243,0.44299999999999995,1.043,1.043,1.043,6.143,6.343,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.19899999999999998
17,20000321,1.275,2.2230000000000003,30.05208333,0.0,82.25299999999999,213.397,162.5473979,0.20117123867306447,-0.05127919999999999,-1.77822,1.0,0.051800000000000006,3,0.0,0.0,0.243,1.043,1.043,1.043,1.043,6.343,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.183
18,20000322,1.016,2.61,49.29166667,0.0,82.28299999999999,217.98,154.0692175,0.10025225053846233,8.47908,-1.25051,0.9875,0.049162500000000005,3,0.0,0.0,0.243,0.443,1.043,1.043,1.043,6.343,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.183
19,20000323,1.197,3.125,48.78125,0.0,82.102,200.388,133.016679,0.2128032552436593,-1.2304,-0.5538609999999999,0.975,0.046525,3,0.0,0.0,0.0,0.243,1.043,1.043,1.043,6.343,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.183
20,20000324,1.771,1.6130000000000002,59.71875,0.0,81.786,116.454,75.92188077,0.21796071936704145,-0.0555911,-0.714253,0.9625,0.0438875,3,0.0,0.0,0.0,0.243,1.043,1.043,1.043,6.343,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.18600000000000005
21,20000325,1.231,2.227,87.08333333,0.0,81.893,134.15200000000002,104.4545693,0.10596971964824248,8.96592,0.219002,0.95,0.04125,3,0.0,0.0,0.0,0.0,0.44299999999999995,1.043,1.043,6.343,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.18600000000000005
22,20000326,1.636,0.123,96.85416667,11.4,81.417,66.095,45.24550296,0.22238427969654967,-1.28946,-0.8336889999999999,0.9375,0.0386125,3,11.4,11.4,11.4,11.4,11.642999999999999,12.443,12.443,17.743000000000006,1730,0,10,75,14,0,0,0,0,0,1,0,0,0,0,0.203
