,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,5.391,0.242,71.82187499999998,0.0,97.512,73.618,11.0202291667,1.0092487538121049,-0.943126,-24.2743,1.0,0.0232,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.34
1,20030102,3.503,1.229,74.2885625,0.0,98.6,79.87,7.32166666667,0.8588420379877231,-1.0087700000000002,-15.6938,0.9875,0.023325,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.256
2,20030103,3.2889999999999997,3.6210000000000004,78.90729166666667,0.1,98.48700000000001,134.118,24.9147916667,0.8196322461684804,-3.8183199999999995,-9.44448,0.975,0.02345,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.23
3,20030104,3.613,7.347,67.22127083333334,0.0,98.12899999999999,136.739,30.484166666700002,1.1225130379185289,-5.3703400000000014,-3.20085,0.9625,0.023575,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.28700000000000003
4,20030105,2.39,4.495,73.67020833333333,0.0,98.50200000000001,68.443,10.114854166699999,0.6480658972854667,-5.26421,-10.8881,0.95,0.0237,1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.29
5,20030106,3.49,0.063,81.90208333333334,0.0,99.844,27.704,-10.3215625,0.5229136624955789,3.0018700000000003,-24.6922,0.9375,0.023825,1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.28300000000000003
6,20030107,3.617,4.09,77.931875,0.0,99.23100000000001,136.625,25.155708333299998,0.9334699858455184,-3.7465699999999997,-8.039810000000001,0.925,0.023950000000000003,1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.257
7,20030108,3.9010000000000002,9.176,71.4573125,0.0,97.919,137.454,28.978145833299997,1.113278351158418,-19.1168,1.9220599999999999,0.9125,0.024075000000000003,1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.258
8,20030109,5.952000000000001,5.504,56.84045833333332,0.0,97.89200000000001,134.664,24.96791666670001,1.6969895786475504,-6.06348,-19.3374,0.9,0.024200000000000003,1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.251
9,20030110,3.247,-1.55,62.370416666666664,0.0,99.135,139.714,20.556875,1.1238365066371476,33.4826,-28.364,0.9,0.0238125,1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.21600000000000005
10,20030111,1.915,-1.92,54.4548125,0.0,99.333,121.14299999999999,29.2464166667,0.8574108949853834,24.0686,-22.4699,0.9,0.023425,1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.222
11,20030112,3.73,1.4240000000000002,67.57520833333332,0.0,99.26299999999999,84.99700000000001,17.0676458333,0.8097729626304491,5.05818,-11.3898,0.9,0.0230375,1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.218
12,20030113,5.092,3.784,86.94,0.0,98.865,100.271,21.8716666667,0.6091104605355679,7.8559899999999985,-4.36196,0.9,0.02265,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.21600000000000005
13,20030114,3.7769999999999997,0.46799999999999997,68.33375,0.0,99.402,137.495,30.76625,1.092030990837519,33.0235,-17.8889,0.9,0.0222625,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.22
14,20030115,4.387,-0.382,77.47416666666669,2.6,98.775,36.728,6.094708333330001,0.36782711655931777,4.03875,-17.6835,0.9,0.021875,1,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,314,0,10,68,20,0,0,0,0,0,0,0,1,0,0,0.21899999999999997
