,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030809,2.0669999999999997,24.781,89.11583333333333,21.2,101.525,170.86900000000003,127.648255319,2.8338200480919555,21.7272,-4.09775,2.5500000000000003,0.26935000000000003,8,29.4,46.5,71.6,125.7,127.5,137.7,168.7,223.4,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.11199999999999999
1,20030812,1.3030000000000002,26.545,81.15583333333333,0.0,101.819,274.316,273.879933333,4.888531185174308,52.2825,-2.75347,2.5125,0.26353750000000004,8,9.6,9.6,39.0,80.9,135.3,147.30000000000004,162.50000000000006,233.00000000000009,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.11199999999999999
2,20030813,2.568,26.253,82.87124999999997,7.1,102.085,278.079,200.446979167,4.8839890782778825,53.4509,-2.62236,2.5,0.2616,8,7.1,16.7,37.9,63.2,128.8,148.10000000000005,166.20000000000005,230.1,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
3,20030814,3.0189999999999997,25.79300000000001,86.5,4.0,102.12899999999999,216.878,148.670020833,3.947828654574084,35.586999999999996,-2.45717,2.5250000000000004,0.261425,8,11.1,11.1,20.7,50.1,92.29999999999998,148.2,158.4,232.6,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
4,20030815,1.839,25.464000000000002,85.933125,0.0,102.135,176.08,114.567333333,3.3378483191804307,17.8799,-2.75347,2.5500000000000003,0.26125000000000004,8,4.0,11.1,20.7,41.9,92.0,148.2,158.4,232.2,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
5,20030816,1.18,26.114,82.58395833333334,0.0,101.773,298.682,224.702083333,5.372788991104593,59.7066,-2.62236,2.575,0.261075,8,0.0,4.0,11.1,20.7,67.19999999999999,146.39999999999995,158.4,229.1,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
6,20030817,1.348,27.353,78.14670833333334,0.0,101.67299999999999,251.565,181.391104167,4.7631571729682864,40.1719,-2.45717,2.6,0.2609,8,0.0,0.0,11.1,20.7,50.1,146.39999999999995,158.4,229.1,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
7,20030818,1.095,26.334,81.69333333333333,0.0,101.85600000000001,193.266,129.559291667,3.69168934598073,28.5421,-2.75347,2.625,0.26072500000000004,8,0.0,0.0,4.0,11.1,41.9,132.79999999999998,152.1,189.4,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
8,20030819,0.8009999999999999,24.373,88.359375,4.1,101.99600000000001,122.956,80.8143541667,2.3832102810015505,13.3766,-2.62236,2.6500000000000004,0.26055,8,4.1,4.1,4.1,15.2,24.8,96.4,152.3,193.50000000000003,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
9,20030820,1.074,24.548000000000002,86.68125000000002,1.7,102.01700000000001,167.644,115.282895833,3.1576027408132465,22.461,-2.45717,2.6750000000000003,0.260375,8,5.8,5.8,5.8,9.8,26.5,97.8,154.0,189.6,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
10,20030821,1.0979999999999999,25.439,87.91666666666669,2.4,101.875,152.20600000000005,101.018041667,3.0947099986167608,12.4335,-2.75347,2.7,0.2602,8,4.1,8.2,8.2,8.2,19.3,75.4,154.6,190.50000000000003,3,0,5,51,6,0,0,0,0,0,0,0,0,0,1,0.121
