,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000620,4.348,21.992,88.3125,18.4,98.146,173.394,181.4083333,3.9271941779343535,-28.9248,7.68625,5.9125000000000005,0.6217,6,18.5,20.6,71.0,85.1,92.6,93.2,99.7,134.39999999999998,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.386
1,20000621,4.1389999999999985,21.315,88.5125,12.8,97.754,195.867,132.09291670000002,4.243169881388666,-12.3725,6.35288,5.95,0.6363,6,31.2,31.3,53.7,83.80000000000003,105.4,106.0,112.5,143.39999999999995,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.412
2,20000622,4.085,22.965,76.05833333,0.1,97.941,320.965,142.3433333,4.907465467345801,31.4311,7.32383,5.9875000000000025,0.6509,6,12.9,31.3,33.5,83.9,105.5,106.1,112.6,141.79999999999995,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.35000000000000003
12,20000703,4.1110000000000015,24.888,82.69583333,6.1,97.983,186.529,130.1116667,3.8917272887057206,-23.2003,8.05583,6.0,0.5830000000000001,7,6.1,6.1,6.1,21.3,29.8,61.2,127.8,142.4,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.358
13,20000704,2.6,23.835,94.225,4.7,98.071,182.317,93.959,3.75706588271823,16.1521,8.71371,6.0,0.5908,7,10.8,10.8,10.8,11.2,26.8,65.80000000000001,118.4,145.5,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.386
14,20000705,1.931,23.248,94.84166667,12.3,97.95,157.072,119.4404167,3.0749699668973274,13.5049,7.72812,6.0,0.5986,7,17.0,23.1,23.1,23.1,38.5,59.7,130.7,152.89999999999995,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.407
15,20000706,2.319,24.618,87.9625,0.0,97.986,267.677,258.2806667,5.496303995141264,28.9764,9.12708,6.0,0.6064,7,12.3,17.0,23.1,23.1,38.3,46.90000000000001,100.59999999999998,152.89999999999995,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.39899999999999997
16,20000711,2.261,23.081,94.02083333,11.5,97.962,178.696,203.355,3.059201286805928,13.0233,7.582289999999999,6.0,0.6454000000000001,7,18.9,18.9,18.9,31.2,42.0,57.2,65.8,171.2,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.35200000000000004
17,20000712,2.0580000000000003,22.494,86.13333333,0.0,98.023,207.229,121.8569231,3.69504909986075,26.9619,3.29117,5.9750000000000005,0.6535125,7,11.5,18.9,18.9,18.9,42.0,42.4,65.7,171.2,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.387
18,20000713,2.248,24.261,78.19583333,0.0,98.067,295.953,51.49588235,5.365321894611953,28.7463,6.8071,5.95,0.661625,7,0.0,11.5,18.9,18.9,35.9,42.0,65.7,163.7,275,0,18,23,57,0,0,0,1,0,0,0,0,0,0,0.368
