,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040102,3.134,10.763,92.598,0.2,98.615,32.217,22.7477916667,0.2278303549283692,3.15938,6.05883,0.6000000000000001,0.0067,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.442
1,20040103,2.7230000000000003,10.638,78.80066666666666,0.1,98.473,33.473,12.966979166700002,0.7348050677828987,1.37335,3.6100199999999996,0.6000000000000001,0.0061,1,0.30000000000000004,1.3,1.3,1.3,1.3,1.3,1.3,1.3,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.44799999999999995
2,20040104,3.2230000000000003,-0.4,94.55064583333332,0.2,98.87100000000001,7.476,1.73022916667,0.3888115386645384,-10.1609,-5.50704,0.6000000000000001,0.0055000000000000005,1,0.30000000000000004,0.5,1.5,1.5,1.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.44799999999999995
3,20040105,2.679,-2.96,91.24183333333332,0.0,98.935,26.596,16.1762083333,0.4074112673908001,-1.17614,-5.0549599999999995,0.6000000000000001,0.0049,1,0.2,0.30000000000000004,1.5,1.5,1.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.441
4,20040106,4.9639999999999995,-11.932,71.66372916666667,0.0,99.962,81.806,48.292541666700004,0.5737619035723133,52.5087,-5.75304,0.6000000000000001,0.0043,1,0.0,0.2,0.5,1.5,1.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.4370000000000001
5,20040107,3.793,-9.773,65.59804166666667,0.0,100.05799999999999,63.605,20.8150208333,0.2739005475118104,18.872,-6.05577,0.6000000000000001,0.0037,1,0.0,0.0,0.30000000000000004,1.5,1.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.435
6,20040108,1.7,-4.593999999999999,72.25545833333331,0.0,99.824,38.152,16.6277291667,0.14559584020915506,9.44259,-5.28142,0.6000000000000001,0.0031000000000000003,1,0.0,0.0,0.2,0.5,1.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.435
7,20040109,2.546,-9.724,66.75999999999999,0.0,100.279,68.262,24.600625,0.1678540320479626,43.5904,-5.21594,0.6000000000000001,0.0025,1,0.0,0.0,0.0,0.30000000000000004,1.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.429
8,20040110,1.4969999999999999,-11.198,67.7673125,0.0,100.46799999999999,67.111,34.660125,0.10232145294271024,42.861000000000004,-5.93027,0.6000000000000001,0.0024625000000000003,1,0.0,0.0,0.0,0.2,1.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.429
9,20040111,3.758,-2.086,69.60852083333333,0.0,99.061,33.917,1.44764583333,0.1911924843088897,-1.2844200000000001,-3.6859800000000003,0.6000000000000001,0.002425,1,0.0,0.0,0.0,0.0,0.5,1.5,1.5,1.5,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.428
10,20040112,3.333,1.314,83.70229166666667,0.9,98.928,24.673000000000002,11.996666666700001,0.21579949058303355,3.5831800000000005,-2.84165,0.6000000000000001,0.0023875000000000003,1,0.9,0.9,0.9,0.9,1.2000000000000002,2.4,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.429
11,20040113,2.917,-1.611,70.10920833333334,0.0,99.46600000000001,45.742,23.2919166667,0.3122855391805684,26.7018,-2.89185,0.6000000000000001,0.00235,1,0.9,0.9,0.9,0.9,1.1,2.4,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.43
12,20040114,2.22,-4.1610000000000005,82.26272916666666,0.0,98.542,15.571,-1.9855,0.1786038135959825,0.0363668,-3.69706,0.6000000000000001,0.0023125000000000003,1,0.0,0.9,0.9,0.9,0.9,2.4,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.428
13,20040115,2.597,-10.878,70.859875,0.0,99.49,59.25899999999999,33.8878541667,0.2342795930443468,32.3195,-4.3241,0.6000000000000001,0.002275,1,0.0,0.0,0.9,0.9,0.9,2.4,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.423
14,20040116,1.726,-11.055,62.04735416666667,0.0,99.992,50.44,37.91,0.1713115240444013,30.1731,-5.22931,0.6000000000000001,0.0022375,1,0.0,0.0,0.9,0.9,0.9,1.4,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.42200000000000004
15,20040117,2.025,-5.279,89.22191666666667,0.0,98.844,20.467,16.0291458333,0.13351448383376974,4.0420300000000005,-3.57885,0.6000000000000001,0.0022,1,0.0,0.0,0.0,0.9,0.9,1.2000000000000002,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.42200000000000004
16,20040118,2.875,-5.3389999999999995,73.04327083333334,0.0,98.208,78.24,38.5743333333,0.3535186147816653,30.3261,-3.04898,0.6000000000000001,0.002325,1,0.0,0.0,0.0,0.9,0.9,1.1,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.42200000000000004
17,20040119,2.678,-8.115,66.11479166666666,0.0,99.09,56.038000000000004,21.7341875,0.17081647821674906,22.4471,-4.73081,0.6000000000000001,0.00245,1,0.0,0.0,0.0,0.0,0.9,0.9,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.42100000000000004
18,20040120,1.767,-10.380999999999998,68.16997916666666,0.0,99.82799999999999,85.04799999999999,29.1382708333,0.07479036119489317,33.3858,-5.75146,0.6000000000000001,0.002575,1,0.0,0.0,0.0,0.0,0.9,0.9,2.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.42100000000000004
19,20040121,3.551,-6.851,73.38729166666667,0.0,99.057,40.03,8.844770833330001,0.1961493680839356,9.884260000000001,-4.74392,0.6000000000000001,0.0027,1,0.0,0.0,0.0,0.0,0.9,0.9,1.4,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.42100000000000004
20,20040122,4.3580000000000005,-9.9,64.34514583333333,0.0,98.844,71.782,19.9882916667,0.2159733794392864,44.8677,-4.64808,0.6000000000000001,0.0028250000000000003,1,0.0,0.0,0.0,0.0,0.0,0.9,1.2000000000000002,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.41700000000000004
21,20040123,2.411,-12.684000000000001,80.546625,0.0,99.03299999999999,38.328,18.705166666700002,0.02000084393219471,15.1157,-5.26717,0.6000000000000001,0.00295,1,0.0,0.0,0.0,0.0,0.0,0.9,1.1,2.4,230,0,10,76,12,0,0,0,1,0,0,0,0,0,0,0.41700000000000004
