,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20090404,4.252,12.552999999999999,40.68260416666666,0.0,101.575,297.175,103.53252083299999,1.6505735560570265,55.2787,1.0625799999999999,2.1,0.2657375,4,0.0,0.0,0.0,0.0,0.0,7.0150000000000015,8.356000000000002,9.083000000000002,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.192
1,20090405,1.595,12.74,58.48097916666666,0.0,101.751,288.217,120.16525,2.639153404020121,52.4222,8.68165,2.1,0.260425,4,0.0,0.0,0.0,0.0,0.0,4.365,7.295000000000001,9.015000000000002,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.158
2,20090406,2.32,16.37,47.38899999999999,0.0,101.45,272.25,118.665270833,2.8314078427741287,40.1314,11.0678,2.1,0.2551125,4,0.0,0.0,0.0,0.0,0.0,0.0,7.0150000000000015,9.015000000000002,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.156
3,20090407,3.915,12.187999999999999,79.24897916666667,14.7,101.182,83.848,13.777958333299999,0.7736025693735171,-0.646215,-12.5908,2.1,0.2498,4,14.7,14.7,14.7,14.7,14.7,14.7,21.715,23.715,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.187
4,20090408,2.9730000000000003,12.218,79.97258333333333,2.4,101.613,167.74200000000005,85.5152340426,3.063849005578348,12.6828,-1.9851900000000002,2.0875,0.25525000000000003,4,17.099999999999998,17.099999999999998,17.099999999999998,17.099999999999998,17.099999999999998,17.099999999999998,24.114999999999995,26.114999999999995,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.182
5,20090409,1.5759999999999998,11.389000000000001,85.66025,4.8,101.40299999999999,78.28699999999998,12.4696458333,1.3656500845951551,-3.4269199999999995,-3.51575,2.075,0.2607,4,7.1999999999999975,21.9,21.9,21.9,21.9,21.9,28.915,30.915,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.307
6,20090410,3.23,11.482999999999999,79.26768750000002,0.2,100.95100000000001,175.048,84.2283829787,3.2982997888991807,13.1692,-2.9704599999999997,2.0625,0.26615,4,5.0,7.4,22.1,22.1,22.1,22.1,26.465000000000003,31.115,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.308
7,20090411,5.744,12.360999999999999,71.76285416666667,0.0,101.682,288.957,169.3264375,5.255468943324799,15.6172,0.196354,2.0500000000000003,0.2716,4,0.2,5.0,22.1,22.1,22.1,22.1,22.1,31.115,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.32799999999999996
8,20090412,4.3660000000000005,15.126,73.0916875,0.0,102.25,293.283,169.722229167,4.777759717018685,21.7395,11.0467,2.0375,0.27705,4,0.0,0.2,7.4,22.1,22.1,22.1,22.1,31.115,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.252
9,20090413,5.647,14.802999999999999,70.14135416666666,0.0,101.62200000000001,256.128,142.556083333,4.362628550936662,16.5061,2.18508,2.025,0.28250000000000003,4,0.0,0.0,5.0,22.1,22.1,22.1,22.1,31.061000000000003,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.255
10,20090430,2.833,13.979000000000001,56.54485416666667,0.0,101.875,253.13099999999997,129.03860416700002,1.3460268557265591,82.9601,10.7177,1.9125,0.20685,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.24
11,20090501,2.231,14.052,76.85908333333333,12.7,101.42,73.06,6.140458333330001,0.5456688887855029,8.73152,-4.80525,1.9,0.2013,5,12.7,12.7,12.7,12.7,12.7,12.7,12.7,34.8,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.114
12,20090502,1.9240000000000002,14.388,87.9556875,1.4,101.72200000000001,109.415,46.082875,0.9334554966866384,14.749,-1.9975599999999998,1.9,0.20635,5,14.1,14.1,14.1,14.1,14.1,14.1,14.1,36.2,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.322
13,20090503,2.592,15.638,83.50583333333333,2.2,101.92399999999999,123.973,51.5399166667,2.064229746690248,8.12979,-1.22458,1.9,0.2114,5,3.6,16.3,16.3,16.3,16.3,16.3,16.3,38.4,-7,0,18,41,40,0,0,0,0,0,0,0,1,0,0,0.337
