,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20020427,2.424,-12.436,17.765145833333335,8.5,98.12200000000001,75.457,58.1380833333,1.3044539406329851,22.5969,-1.4227299999999998,0.75,0.05475,4,8.5,8.5,11.594000000000001,12.748,25.715,32.303000000000004,74.34,81.35900000000002,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.17500000000000002
1,20020428,2.741,-12.251,17.749854166666665,0.3,97.479,51.9,28.603895833299998,0.6028853528619003,-5.252759999999999,-6.2294599999999996,0.7625000000000001,0.0551125,4,8.8,8.8,11.894,11.93,13.342,32.28100000000001,74.46000000000002,80.71700000000004,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.172
2,20020429,2.9789999999999996,-14.739,15.647708333333332,5.0,97.054,208.165,143.7080625,2.5037454523967138,49.1666,3.91948,0.775,0.055475,4,5.3,13.8,13.8,16.894000000000002,18.048,33.251999999999995,79.46000000000002,85.21100000000004,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.172
3,20020430,2.505,-15.074000000000002,15.418145833333336,0.0,97.242,214.722,150.915041667,1.5292071099592024,101.774,4.26094,0.7875000000000001,0.055837500000000005,4,5.0,5.3,13.8,16.894000000000002,18.048,33.251999999999995,52.12600000000001,85.02500000000003,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.191
4,20020501,1.902,-15.607000000000001,15.372708333333335,0.0,97.074,314.875,215.485,1.4570640540405426,222.063,0.391438,0.8,0.0562,5,0.0,5.0,13.8,13.8,16.930000000000003,33.251999999999995,37.60500000000001,85.02500000000003,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19899999999999998
5,20020502,3.3539999999999996,-12.77,17.405770833333335,0.1,96.875,207.22400000000002,137.628333333,1.223176403387645,81.8725,-1.88067,0.8250000000000001,0.057575,5,0.1,0.1,5.4,13.9,16.994,31.115,37.703,83.96900000000002,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19399999999999998
6,20020503,1.663,-15.622,15.402729166666665,0.0,97.835,339.715,235.936854167,1.3390919015851384,258.33,-0.653854,0.8500000000000001,0.05895,5,0.1,0.1,5.1,13.9,16.994,18.442,37.381,83.55500000000002,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19399999999999998
7,20020505,1.844,4.186,69.52516666666666,3.0,98.029,137.687,95.0625416667,1.6210726921543113,31.739,-0.874229,0.9,0.06170000000000001,5,6.3,6.3,6.4,11.4,20.2,24.448,39.652,88.802,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19899999999999998
8,20020506,2.336,4.482,75.60643750000001,0.3,97.501,87.03,67.8958125,1.5706067194320366,43.4413,3.45444,0.925,0.063075,5,3.3,6.6,6.6999999999999975,6.6999999999999975,20.5,23.63000000000001,39.95200000000001,87.19400000000002,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19
9,20020515,3.6010000000000004,13.083,62.8783125,1.5,96.881,217.17700000000002,160.081708333,2.0489558479115995,67.9515,13.2444,1.3,0.084525,5,1.791,5.013,11.85,14.442,37.835,44.23499999999999,58.03499999999999,77.48699999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.17500000000000002
10,20020516,2.536,5.666,65.41989583333334,0.0,97.837,299.363,228.526875,1.50438691976042,206.532,1.2828600000000001,1.35,0.0874125,5,1.5,1.791,7.5520000000000005,11.852,37.535,44.23499999999999,58.03499999999999,77.48699999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.173
11,20020517,1.7169999999999999,2.8489999999999998,64.49164583333334,0.0,98.59100000000001,359.656,247.4131875,0.8294822929097699,231.313,-3.94915,1.4,0.0903,5,0.0,1.5,5.013,11.85,33.607,44.13499999999999,49.53499999999999,75.24999999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.242
12,20020518,1.255,2.461,67.91945833333334,0.0,98.581,327.38,197.80535416700002,0.5776737450220013,171.391,-4.16237,1.475,0.100775,5,0.0,0.0,1.791,7.552,14.442,44.13499999999999,49.23499999999999,62.57699999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.231
13,20020519,1.484,0.998,70.34420833333333,0.0,98.929,266.001,157.09875,0.3882999161038255,153.694,-5.28544,1.55,0.11125,5,0.0,0.0,1.5,5.013,11.852,40.835,44.23499999999999,62.283,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.231
14,20020520,1.4080000000000001,4.308,57.2294375,0.0,99.156,365.32199999999995,262.9485,0.8276082910187881,238.81099999999998,7.8986100000000015,1.625,0.121725,5,0.0,0.0,0.0,1.791,11.85,37.835,44.23499999999999,62.283,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.225
15,20020521,2.105,10.019,47.09941666666666,0.0,98.508,362.50300000000004,249.770666667,1.0470490120813367,202.137,14.6945,1.7000000000000002,0.1322,5,0.0,0.0,0.0,1.5,7.5520000000000005,37.535,44.23499999999999,61.16499999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.22
16,20020522,4.692,16.495,47.4895,0.0,97.33,278.732,198.2585625,1.1816323076186328,116.954,26.3726,1.775,0.142675,5,0.0,0.0,0.0,0.0,5.013,33.607,44.13499999999999,61.12899999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.209
17,20020523,4.729,14.918,59.79568749999999,0.0,96.838,275.995,189.099416667,1.6237340921976602,120.375,21.9319,1.85,0.15315,5,0.0,0.0,0.0,0.0,1.791,14.442,44.13499999999999,61.12899999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.204
18,20020524,1.849,5.553,60.05100000000001,0.0,98.288,328.3,218.076145833,1.2521547843103769,191.875,4.00917,1.925,0.16362500000000002,5,0.0,0.0,0.0,0.0,1.5,11.852,40.835,58.03499999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19899999999999998
19,20020601,2.155,19.765,37.514604166666665,0.0,96.941,329.119,224.262395833,2.8539901452289875,139.994,20.2267,2.7,0.2126,6,0.0,2.154,2.154,2.437,2.543,2.543,7.555999999999999,46.67799999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.16399999999999998
20,20020602,1.989,7.896,65.764,0.0,97.837,174.797,107.6351875,1.1866771949686357,72.6144,-0.945313,2.8000000000000003,0.2181,6,0.0,0.0,2.154,2.154,2.543,2.543,4.334,46.67799999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.193
21,20020603,1.633,6.7570000000000014,79.2649375,0.0,97.727,90.15899999999999,60.0390416667,0.9821829625434548,34.1402,-1.9710599999999998,2.9125,0.2351,6,0.0,0.0,2.154,2.154,2.543,2.543,4.042999999999998,43.37799999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.188
22,20020604,1.665,7.891,95.70389583333332,3.5,97.54700000000001,71.122,60.5589583333,1.1968808925930323,46.6845,0.483188,3.0250000000000004,0.2521,6,3.5,3.5,3.5,5.654,5.937,6.0429999999999975,6.0429999999999975,43.87799999999999,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19
23,20020605,1.423,13.28,67.79275,0.1,97.725,330.02,232.005708333,2.676033312829873,149.529,15.9554,3.1375,0.2691,6,3.6,3.6,3.6,5.754,5.754,6.143,6.143,43.678,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.163
24,20020606,2.694,16.852999999999998,61.7460625,1.7,97.616,330.626,249.3901875,2.4368471351608854,151.827,21.3636,3.25,0.2861,6,1.8,5.3,5.3,5.3,7.454,7.843,7.843,41.45,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.19899999999999998
25,20020607,3.114,17.902,78.80602083333333,25.4,97.36399999999999,99.47200000000001,61.8556666667,3.182829675982752,-27.9483,13.5111,3.3625000000000003,0.30310000000000004,6,27.1,27.2,30.7,30.7,32.854,33.243,33.243,47.685,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.228
26,20020608,1.021,17.183,66.63466666666666,0.1,97.831,242.83900000000003,186.607375,3.390019752518332,57.8802,14.417,3.475,0.3201,6,25.5,27.2,30.8,30.8,32.954,33.343,33.343,45.19500000000001,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.191
27,20020609,1.4069999999999998,11.440999999999999,86.56852083333332,0.0,97.82,148.842,104.135770833,1.3822267978408036,60.8179,1.8880599999999998,3.5875000000000004,0.3371,6,0.1,25.5,27.3,30.8,30.8,33.236999999999995,33.343,45.19300000000001,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.225
28,20020610,1.577,18.061,78.35472916666667,12.0,97.068,330.726,250.203375,2.616442437384803,156.567,24.4908,3.7,0.3541,6,12.0,12.1,39.2,42.8,42.8,44.95400000000001,45.34300000000001,52.89500000000001,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.17500000000000002
29,20020611,1.7309999999999999,10.097999999999999,98.61035416666668,8.2,97.195,77.532,59.0725625,1.2163468193321725,17.0663,-2.15992,3.775,0.3528,6,20.2,20.2,45.7,47.50000000000001,51.00000000000001,53.15400000000001,53.543000000000006,58.55600000000001,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.14300000000000002
30,20020612,1.537,11.932,89.51295833333334,0.8,97.67,262.645,185.32825,2.555281632172458,104.166,11.3005,3.85,0.35150000000000003,6,9.0,21.0,21.1,48.2,51.8,53.95400000000001,54.34300000000001,56.13400000000001,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.14300000000000002
31,20020613,1.107,12.602,93.88322916666668,10.0,97.34899999999999,136.75799999999998,138.7210625,3.151666983343239,60.4139,9.56831,3.925,0.3502,6,10.8,19.0,31.0,56.5,61.8,63.95400000000001,64.343,65.843,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.14300000000000002
32,20020614,1.4169999999999998,14.88,78.90447916666666,0.5,97.2,276.337,211.663229167,4.1711334089385055,100.678,14.6969,4.0,0.34890000000000004,6,10.5,11.3,31.5,31.6,58.8,62.3,64.73700000000001,64.843,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.16899999999999998
33,20020615,2.532,14.673,68.39725,0.0,97.20299999999999,306.949,232.561583333,3.7533781450106094,143.751,9.83981,4.075,0.3476,6,0.5,10.5,19.5,31.5,58.7,62.3,64.45400000000001,64.843,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.135
34,20020616,2.001,15.65,58.53745833333333,0.9,97.294,303.13,227.3505,4.9266297442110645,109.029,12.2166,4.15,0.3463,6,0.9,1.4,12.2,32.4,57.9,63.2,65.354,65.743,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.13699999999999998
35,20020617,1.22,12.548,64.09216666666667,0.0,97.59,373.043,277.097520833,3.622959974872941,165.065,8.4485,4.2250000000000005,0.34500000000000003,6,0.9,0.9,11.4,20.4,32.5,63.2,65.354,65.743,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.16899999999999998
36,20020618,2.398,16.764,67.85068749999999,0.0,97.573,313.293,246.506166667,3.3086207976612907,119.66,17.4066,4.3,0.3437,6,0.0,0.9,1.4,12.2,32.4,63.2,65.354,65.743,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.168
37,20020619,2.7910000000000004,19.799,83.10595833333333,9.3,97.30799999999999,89.89200000000002,60.903416666700004,3.1425621534970807,-49.7695,15.357999999999999,4.3375,0.3579375,6,9.3,9.3,10.2,20.700000000000006,41.7,69.0,72.5,75.04299999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.185
38,20020620,2.9619999999999997,20.866999999999997,65.00491666666666,0.5,98.15700000000001,364.546,271.094270833,5.485778734112806,93.2433,22.6077,4.375,0.372175,6,9.8,9.8,10.7,11.2,30.20000000000001,69.4,73.0,75.54299999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.168
39,20020621,0.654,16.198,85.09783333333333,0.4,98.79799999999999,101.70700000000001,68.5888125,1.3636897278080613,19.3173,2.57177,4.4125000000000005,0.3864125,6,0.9,10.2,10.2,11.1,22.4,68.1,73.39999999999998,75.94299999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.185
40,20020622,1.579,17.801,87.7316875,0.0,98.171,187.609,150.582166667,2.472238281336475,59.0953,14.9296,4.45,0.40065,6,0.4,0.9,10.2,11.1,21.6,42.7,73.39999999999998,75.94299999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.168
41,20020623,1.354,17.076,98.01272916666666,7.0,97.93299999999999,86.305,79.5594375,1.8437455209936304,19.0219,9.77206,4.4875,0.4148875,6,7.0,7.4,17.200000000000006,17.200000000000006,18.6,49.6,80.39999999999998,82.94299999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.15
42,20020624,2.39,20.596,83.37585416666666,6.7,97.697,222.801,173.30954166700005,5.16241931849293,110.975,20.1088,4.525,0.429125,6,13.7,13.7,14.6,23.9,24.8,56.3,83.6,89.53699999999998,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.159
43,20020625,2.103,23.614,73.54641666666667,0.2,97.47200000000001,264.318,192.057875,5.465994792987443,28.7047,21.276,4.5625,0.4433625000000001,6,6.9,13.9,14.3,24.1,25.0,44.5,83.7,89.454,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.14400000000000002
44,20020626,2.33,19.027,80.62110416666667,0.0,97.26799999999999,235.335,182.92325,4.590778446951621,50.4483,8.99842,4.6000000000000005,0.4576,6,0.2,6.9,13.9,14.8,24.1,36.3,82.0,89.454,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.157
45,20020627,0.983,20.349,73.34152083333333,0.0,97.412,285.624,222.254666667,5.31983633541063,57.5138,13.78,4.6375,0.4598875,6,0.0,0.2,13.9,14.3,24.1,35.5,56.6,89.454,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.154
46,20020628,1.51,24.965,66.83670833333333,0.0,97.588,289.878,191.104333333,5.810682619636056,17.6862,17.1113,4.675,0.462175,6,0.0,0.0,6.9,13.9,24.1,25.5,56.5,89.454,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.163
47,20020629,2.898,25.646,70.936625,0.0,97.583,321.592,242.308020833,6.05443501427658,45.0656,21.0135,4.7125,0.4644625,6,0.0,0.0,0.2,13.9,14.8,25.0,56.5,87.3,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.14800000000000002
48,20020630,3.466,28.61,68.65491666666667,0.0,97.338,332.537,249.902541667,6.629462457008473,37.9932,23.8814,4.75,0.46675,6,0.0,0.0,0.0,6.9,14.3,25.0,44.5,87.3,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.159
49,20020701,2.657,27.631,69.41420833333333,0.0,97.399,321.865,255.7044375,6.5090450702711555,50.7632,17.8347,4.7875000000000005,0.4690375,7,0.0,0.0,0.0,0.2,13.9,24.1,36.3,87.3,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.18899999999999997
50,20020702,2.043,25.25,63.10802083333334,0.9,97.566,246.53400000000002,177.53079166700005,6.032986313383463,13.489,11.4394,4.825,0.4713250000000001,7,0.9,0.9,0.9,0.9,14.8,25.0,36.4,88.19999999999996,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.18
51,20020703,1.953,23.377,54.34254166666667,0.0,97.67,369.71,269.500541667,7.330862793385893,85.5705,7.9349,4.862500000000002,0.4736125000000001,7,0.9,0.9,0.9,0.9,7.800000000000002,25.0,26.4,88.19999999999996,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.155
52,20020704,1.4240000000000002,16.079,66.91195833333333,0.0,98.325,320.33,228.635729167,4.813588042666862,84.6069,-2.78383,4.9,0.4759000000000001,7,0.0,0.9,0.9,0.9,1.1,15.7,25.9,84.69999999999997,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.17600000000000002
53,20020705,1.053,17.292,75.31670833333334,0.0,98.475,257.25,190.81352083299998,3.757019814527911,60.8955,2.1646900000000002,4.9125000000000005,0.4801625000000001,7,0.0,0.0,0.9,0.9,0.9,15.2,25.9,84.6,349,0,5,78,15,0,0,0,0,0,1,0,0,0,0,0.18100000000000002
