,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20130111,3.8107777780000003,-16.37760417,35.40625,0.0,72.65145833,140.564301,-0.7641963190000001,0.13280559173251605,11.29949917,-7.2316875,0.2,-0.00675,1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.18100000000000002
1,20130113,2.532909722,-13.3903125,37.00243056,0.0,72.20263889,139.773585,10.923442699999999,0.14809761605520896,27.93174271,-5.297340278,0.2,-0.0064,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.18100000000000002
2,20130116,3.371472222,-14.81328472,38.58233333,0.0,72.99222222,147.25829109999995,6.079063718,0.11966305879356436,14.83689042,-5.705472222,0.2,-0.005875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.18100000000000002
3,20130127,3.216527778,-11.52109722,33.42902778,0.0,72.899375,153.7136165,12.08888506,0.14500721597478106,21.57012917,-3.344069445,0.2,-0.0073,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.193
4,20130212,2.925847222,-14.90735417,51.74340278,0.0,72.53284722,135.47529440000002,15.01608805,0.3863752278342796,20.31163396,-6.929909723,0.2,-0.016175000000000002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
5,20130315,4.639145833,0.545888889,32.07173611,0.0,72.61409722,221.3759418,58.13106219,0.4939364510882541,37.88476958,5.025034722,0.2,-0.0122,3,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.179
6,20130319,3.6605,-2.468986111,32.91566667,0.0,72.40972222,217.4117094,38.65605831,0.5232541599238006,30.32288583,3.0349236110000004,0.2,-0.0114,3,0.0,1.1,1.1,1.1,1.1,1.1,2.0,2.0,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.165
7,20130320,3.567319444,-1.113958333,29.90936111,0.0,72.62194444,204.0146983,42.04300592,0.4424638916928357,28.41784208,3.727618055,0.2,-0.0112,3,0.0,0.0,1.1,1.1,1.1,1.1,2.0,2.0,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.165
8,20130326,4.066819444,-2.605819444,25.33135417,0.0,72.734375,271.8388707,53.24685357,0.6641374015703344,41.91087771,3.6272013889999997,0.2,-0.0094,3,0.0,0.0,0.0,0.0,1.1,1.1,1.1,2.0,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.18
9,20130402,4.248319444,1.6879861109999998,48.34451389,0.0,72.56270833,282.1268476,84.97329609999998,1.0246237068709172,60.29771563,13.53922917,0.2375,-0.0096875,4,0.1,0.1,0.1,0.1,0.1,0.1,1.2000000000000002,1.2000000000000002,3033.0,1,12,42,45,0,0,0,0,0,0,0,0,0,0,0.187
