,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040101,2.435,-13.89354167,67.99875,0.0,87.07708333,102.1647083,-6.49125,0.09293535800000001,19.04830693,-28.263030999999998,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
1,20040102,3.562375,-12.798125,69.98208333,0.0,86.90208333,95.99583333,-4.708625,0.10746612900000001,21.7421215,-29.59691156,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
2,20040103,1.970291667,-14.14160417,71.87708333,0.0,87.48333333,106.2995,19.59225,0.243353715,-0.956261447,13.41541497,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
3,20040104,2.0922083330000003,-14.2035,69.19041667,0.0,87.72083333,104.7917292,4.183125,0.199607641,11.82234479,-13.490376000000001,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
4,20040105,2.23475,-13.3469375,67.59229167,0.0,87.86041667,101.0357917,-5.431625,0.109736044,8.686326551,-17.33217358,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
5,20040106,2.023854167,-14.55891667,72.68875,0.0,87.9125,99.0436875,1.3440625,0.109559776,3.394578009,-5.263109317,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
6,20040108,3.415479167,-13.25139583,56.27916667,0.0,87.67083333,65.20064583,-31.78970833,0.110576748,12.36538017,-47.39365391,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
7,20040109,2.293333333,-17.82979167,72.24333333,0.0,87.98125,93.4563125,-6.945145833,0.037457612,12.093214900000001,-20.13998237,0.1,-0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
8,20040111,3.3069791669999997,-14.94,61.85604167,0.0,87.58333333,97.67525,15.9606875,0.057497262,6.471470486,7.802655949,0.1,-0.00185,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
9,20040112,3.136395833,-21.39270833,76.03291667,0.0,87.71458333,104.50283329999999,22.07935417,0.114643779,-3.120263079,21.81709072,0.1,-0.001775,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1,10,65,24,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
