,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20130101,2.97,35.833,14.083333333333336,0.0,95.374,317.5,167.51162790700002,0.4786302462168279,111.898,20.875,0.4,0.0176,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.098
1,20130102,3.665,34.746,25.04166666666667,0.0,95.35700000000001,299.938,147.195652174,0.7517596143014761,92.5398,20.1042,0.4,0.0187375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.092
2,20130103,4.591,33.096,27.375,0.0,95.204,341.02099999999996,177.60416666700004,0.8069976373271194,137.746,16.4375,0.4,0.019875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.09699999999999999
3,20130104,5.26,25.714000000000002,31.20833333333333,0.0,95.419,377.81199999999995,191.5,0.9111211311915518,160.381,2.35417,0.4,0.0210125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.084
4,20130105,6.002999999999999,28.05,38.0,0.0,95.64,366.22900000000004,200.66666666700002,0.7892278247798509,170.30599999999995,15.125,0.4,0.02215,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.114
5,20130106,4.05,30.366,33.458333333333336,0.0,95.851,81.042,11.6875,0.2920544138662258,14.8478,-7.79167,0.4,0.023287500000000003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.091
6,20130107,4.2330000000000005,36.303000000000004,22.16666666666667,0.0,95.542,331.14599999999996,212.0,0.9381598977935812,113.23100000000001,32.0417,0.4,0.024425,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.103
7,20130108,4.421,37.6,14.979166666666664,0.0,95.337,335.833,147.022727273,1.018961710373937,124.225,21.5625,0.4,0.0255625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.106
8,20130109,4.996,36.861,17.8125,0.0,94.859,333.125,168.918918919,0.8494500315780713,111.292,20.5208,0.4,0.0267,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.09300000000000001
9,20130110,5.1370000000000005,27.336,36.458333333333336,0.0,94.896,325.25,178.79166666700004,0.570058689880553,162.204,0.520833,0.4,0.0254,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0,26,43,28,0,1,0,0,0,0,0,0,0,0,0.085
