,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20080820,1.665,12.005,53.1875,0.0,101.66799999999999,149.37,54.1041666667,1.5996710401939769,12.2594,5.7100599999999995,1.2000000000000002,0.07100000000000001,8,0.0,0.043,0.628,0.8750000000000001,1.5019999999999998,7.294,10.565999999999999,12.79,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.08900000000000001
1,20080821,3.096,9.552999999999999,67.70833333333333,0.0,101.529,107.021,36.2708333333,1.4096118690312431,5.84362,12.0826,1.2375,0.072775,8,0.0,0.0,0.151,0.8750000000000001,1.3279999999999998,5.0280000000000005,9.557,12.79,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.08700000000000001
2,20080822,3.451,7.1270000000000024,73.54166666666667,0.0,102.359,182.0,71.2916666667,1.3681777104099024,42.7653,7.56225,1.275,0.07455,8,0.0,0.0,0.043,0.6280000000000001,1.0270000000000001,4.04,9.419,12.79,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.08700000000000001
3,20080823,2.117,8.574,75.16666666666667,0.0,102.6,162.38,89.8125,0.9095332404272454,36.9669,-0.08155789999999999,1.3125,0.076325,8,0.0,0.0,0.0,0.15100000000000002,0.875,3.399,9.419,12.79,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.085
4,20080824,1.173,11.299000000000001,68.72916666666667,0.0,102.448,106.81299999999999,53.7916666667,1.0340591873504634,25.129,-2.53575,1.35,0.0781,8,0.0,0.0,0.0,0.043,0.875,1.969,7.294,12.79,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.08700000000000001
5,20080825,1.2890000000000001,11.214,53.72916666666666,0.0,101.795,181.37,78.0625,1.1999058697129674,48.3453,17.006,1.3875000000000002,0.079875,8,0.0,0.0,0.0,0.0,0.628,1.5019999999999998,7.294,12.572000000000001,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.084
6,20080826,2.129,11.42,55.22916666666666,0.0,101.78,187.646,75.25,1.1784775545620982,35.602,4.04911,1.425,0.08165,8,0.0,0.0,0.0,0.0,0.151,1.328,5.0280000000000005,11.82,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.085
7,20080827,1.98,9.06,66.83333333333333,0.6,102.338,209.083,89.9583333333,1.0849326927057266,53.9256,-2.22917,1.4625,0.083425,8,0.6,0.6,0.6,0.6,0.643,1.6269999999999998,4.64,12.42,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.083
8,20080828,1.514,9.827,67.25,0.0,102.06299999999999,213.646,89.6875,1.0143124345833288,59.7366,0.875,1.5,0.0852,8,0.6,0.6,0.6,0.6,0.6,1.475,3.999,12.42,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.08600000000000001
9,20080829,1.604,11.674000000000001,52.85416666666666,0.0,101.339,138.583,51.0833333333,1.0939172739629184,28.2899,1.125,1.525,0.086425,8,0.0,0.6,0.6,0.6,0.6,1.475,2.569,12.42,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.08600000000000001
10,20080830,2.42,13.020999999999999,79.22916666666667,8.3,100.33,55.958,26.25,1.5103779828657202,-26.2511,3.6875,1.55,0.08765,8,8.3,8.3,8.9,8.9,8.9,9.528,10.402000000000001,19.466,46.0,0,22,58,20,0,0,0,1,0,0,0,0,0,0,0.136
