,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20110924,2.046,28.906999999999996,40.125,0.0,98.75399999999999,291.382,131.3125,2.6763353921679665,49.0986,6.89583,1.0,0.07577500000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.154
1,20110925,2.199,29.218000000000004,38.75,0.0,98.744,292.44,138.85106383,2.632126219766914,42.9113,8.6875,1.0,0.07716250000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.127
2,20110926,2.15,29.491,37.0625,0.0,98.715,295.978,130.97916666700002,2.8458452515532526,51.9438,8.14583,1.0,0.07855000000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.152
3,20110927,1.9669999999999999,29.67,30.35416666666667,0.0,98.6,299.6090000000001,135.765957447,2.7655778013098917,40.8058,8.52083,1.0,0.07993750000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.129
4,20110928,1.655,29.044,34.0625,0.0,98.63799999999999,302.415,143.25,2.6446441997380585,67.1454,8.91667,1.0,0.08132500000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.153
5,20110929,2.011,28.609,47.10416666666666,0.0,98.68,292.76099999999997,144.35416666700002,2.341382105419954,65.5744,9.89583,1.0,0.08271250000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.163
6,20110930,1.6269999999999998,29.612,45.22916666666666,0.0,98.59899999999999,274.18,134.25,2.319404227694998,59.4491,9.60417,1.0,0.08410000000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.13
7,20111001,1.963,30.388,34.104166666666664,0.0,98.521,278.724,121.583333333,2.6908229952626805,39.9572,7.97917,1.0125,0.08465,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.15
8,20111002,1.868,30.34800000000001,36.395833333333336,0.0,98.541,287.926,131.6875,2.6251442191717262,56.0754,9.4375,1.025,0.0852,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.138
9,20111003,1.8730000000000002,29.368000000000002,37.47916666666666,0.0,98.60600000000001,299.433,121.75,2.662344564954024,53.7883,7.375,1.0375,0.08575,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.161
10,20111004,1.9180000000000001,29.401,47.5625,0.0,98.64200000000001,293.15,135.5625,2.2844746227886077,49.8572,9.45833,1.05,0.0863,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.153
11,20111005,1.659,30.305,46.77083333333334,0.0,98.75200000000001,250.417,150.04166666700002,2.3000080039465,64.1005,11.0,1.0625,0.08685000000000001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.136
12,20111006,2.061,30.451999999999998,52.0625,0.0,98.681,269.297,137.89583333299998,2.2341526920539487,59.9916,9.25,1.075,0.0874,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.16
13,20111007,2.178,29.74,55.6875,0.0,98.647,248.007,97.67391304350001,2.277096913369008,60.8553,7.91667,1.0875,0.08795,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.12300000000000001
14,20111008,2.375,28.86,62.16666666666666,1.6,98.624,254.713,165.659574468,2.8858772517769973,82.5266,8.95833,1.1,0.08850000000000001,10,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.15
15,20111009,1.46,29.855999999999998,55.375,0.0,98.66799999999999,223.412,175.22916666700004,2.7600546620054143,59.5772,8.41667,1.1,0.08823750000000001,10,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,187.0,0,18,59,22,1,0,0,0,0,0,0,0,0,0,0.17
