,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20110101,2.173,27.378,39.083333333333336,0.0,99.14399999999999,232.05700000000002,114.71111111100001,2.137904155901292,65.4444,9.54167,0.8,0.1245,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.17400000000000002
1,20110102,4.127,20.137,51.25,0.0,99.412,396.05199999999996,207.95833333299998,2.187622954944647,149.778,1.54167,0.8125,0.1257375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.179
2,20110103,4.244,17.933,52.79166666666666,0.0,99.425,400.161,200.20833333299998,1.9874963031009267,152.737,0.583333,0.8250000000000001,0.126975,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.179
3,20110104,1.999,20.480999999999998,52.45833333333334,0.0,99.13600000000001,366.76599999999996,192.5,1.7862059451974832,123.79899999999999,14.5,0.8375,0.1282125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.177
4,20110105,3.656,20.598000000000006,56.35416666666666,0.0,98.854,354.276,184.35416666700002,1.6770255162615906,129.486,5.27083,0.8500000000000001,0.12945,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.207
5,20110106,1.594,23.535,49.45833333333334,0.0,99.035,375.19300000000004,204.6875,1.909224114887598,131.468,19.2083,0.8625,0.1306875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.17800000000000002
6,20110107,3.055,25.889,47.47916666666666,0.0,99.17399999999999,274.89599999999996,143.91666666700002,1.9801498544024319,84.0721,9.91667,0.875,0.131925,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.195
7,20110108,3.1430000000000002,26.919,51.14583333333334,0.0,99.166,337.901,192.9375,1.9284079964847904,115.11399999999999,20.7708,0.8875000000000001,0.13316250000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.183
8,20110109,3.38,23.86,68.89583333333333,3.2,99.51700000000001,188.89700000000002,72.74418604649999,1.6388707810810919,76.1363,-1.875,0.9,0.13440000000000002,1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.17400000000000002
9,20110110,1.901,23.156,78.5,7.0,99.40899999999999,149.441,68.1818181818,2.0041163782748552,22.1527,-2.4375,0.9,0.1390375,1,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.231
10,20110111,2.8089999999999997,23.025,79.6875,1.8,99.10799999999999,114.49,78.125,2.1558920856785657,5.00002,-3.47917,0.9,0.143675,1,8.8,12.0,12.0,12.0,12.0,12.0,12.0,12.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.261
11,20110112,4.198,24.331,81.58333333333333,8.0,98.735,86.286,57.085106383,2.6642177211416977,-13.482000000000001,2.64583,0.9,0.1483125,1,9.8,16.8,20.0,20.0,20.0,20.0,20.0,20.0,151.0,1,18,67,13,0,0,0,0,0,0,0,0,0,0,0.294
