,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20080829,2.46,26.789,33.395833333333336,0.0,98.18799999999999,274.83299999999997,102.729166667,0.11757585389335168,80.3036,10.7083,0.30000000000000004,0.035425000000000005,8,0.0,0.677,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.107
1,20080830,1.936,27.651999999999997,42.35416666666666,0.0,98.133,279.14599999999996,105.583333333,0.11233582202274313,83.8119,8.02083,0.30000000000000004,0.03395,8,0.0,0.0,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.107
2,20080831,1.99,28.561,41.22916666666666,0.0,98.198,242.521,95.125,0.049054159587680585,72.3673,10.4167,0.30000000000000004,0.032475000000000004,8,0.0,0.0,0.677,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.09699999999999999
3,20080902,4.637,26.096,46.125,0.0,98.475,270.27099999999996,99.6041666667,0.15055764518878656,86.7875,7.10417,0.30000000000000004,0.029525000000000006,9,0.0,0.0,0.0,0.677,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.099
4,20080903,5.444,21.796,47.95833333333334,0.0,98.571,214.792,80.375,0.1745045740069118,91.0682,-4.10417,0.30000000000000004,0.02805,9,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.08600000000000001
5,20080904,4.582,23.105,42.375,0.0,98.39,290.4170000000001,94.6041666667,0.2821372575052567,94.3881,4.10417,0.30000000000000004,0.026575,9,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.09300000000000001
6,20080905,3.1860000000000004,23.929000000000002,33.0,0.0,98.272,288.83299999999997,94.8541666667,0.19856005611650565,82.6456,7.52083,0.30000000000000004,0.0251,9,0.0,0.0,0.0,0.0,0.677,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.11
7,20080906,2.883,25.04,25.35416666666667,0.0,98.182,293.313,97.0625,0.2499266852605809,80.6576,6.02083,0.30000000000000004,0.0262125,9,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.107
8,20080907,2.9019999999999997,25.89,25.375,0.0,98.12299999999999,290.0420000000001,96.1875,0.2312778786969313,82.0731,6.64583,0.30000000000000004,0.027325,9,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.106
9,20080908,3.1460000000000004,27.225,19.229166666666668,0.0,98.195,275.20799999999997,91.5,0.33724985960141074,76.7916,6.125,0.30000000000000004,0.0284375,9,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.104
10,20080909,3.5810000000000004,27.405,17.166666666666668,0.0,98.353,299.33299999999997,97.125,0.3567980396625507,90.5665,5.875,0.30000000000000004,0.02955,9,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.102
11,20080910,2.948,26.627,17.6875,0.0,98.28,302.0,96.5416666667,0.3288146947351231,84.9039,4.22917,0.30000000000000004,0.0306625,9,0.0,0.0,0.0,0.0,0.0,0.677,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.102
12,20080911,1.8319999999999999,27.636999999999997,19.666666666666668,0.0,98.053,296.75,103.479166667,0.15911829397138175,80.9964,9.16667,0.30000000000000004,0.031775000000000005,9,0.0,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.104
13,20080912,2.443,28.38300000000001,23.875,0.0,97.93,285.2920000000001,101.1875,0.0924532012521608,66.166,9.95833,0.30000000000000004,0.0328875,9,0.0,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.103
14,20080913,2.681,28.77,34.083333333333336,0.0,98.081,281.70799999999997,106.875,0.008649326011669227,77.8922,9.5,0.30000000000000004,0.034,9,0.0,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.107
15,20080915,1.57,31.244,32.3125,0.0,98.166,213.0,87.1875,0.0949557034053423,61.8889,11.2917,0.30000000000000004,0.032225000000000004,9,0.0,0.0,0.0,0.0,0.0,0.0,0.677,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.102
16,20080916,2.294,30.798000000000002,28.39583333333333,0.0,98.179,271.95799999999997,104.208333333,0.18054580223720165,96.1084,9.66667,0.30000000000000004,0.031337500000000004,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.111
17,20080917,2.5860000000000003,28.515,27.08333333333333,0.0,98.32799999999999,194.688,56.7291666667,0.22272188951621813,64.6475,2.60417,0.30000000000000004,0.03045,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390000000000001,228.0,1,20,55,23,0,0,0,0,0,0,0,0,0,0,0.115
