,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000228,4.533,6.31,84.79233333,13.7,96.019,21.5,-10.375,0.00039346225197584933,4.15641,5.19675,1.1,0.030025000000000007,2,13.8,13.9,13.9,13.9,13.9,13.9,13.9,13.9,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.32899999999999996
1,20000303,4.589,3.029,98.84310417,27.75,95.26,12.25,9.3125,0.009324555867577302,10.8312,1.4339,1.1,0.022675,3,30.9,43.0,64.2,64.4,64.4,64.4,64.4,64.4,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.34400000000000003
2,20000304,3.583,-1.103,91.15422917,1.7,96.417,45.078,28.33333333,0.018248090833308698,12.3024,-4.36198,1.1,0.0208375,3,29.45,32.6,52.2,66.0,66.10000000000001,66.10000000000001,66.10000000000001,66.10000000000001,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.29
3,20000308,4.974,7.598,99.11783333,17.5,96.719,12.188,9.75,0.01832117010946616,15.8049,9.01602,1.1375,0.0275875,3,19.8,19.8,25.7,56.6,89.9,90.1,90.1,90.1,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.33399999999999996
4,20000309,5.0360000000000005,8.422,96.16847917,0.8,96.729,26.688,20.54166667,0.010437788366836977,10.534,6.96842,1.15,0.03045,3,18.3,20.6,24.8,54.25,77.0,90.9,90.9,90.9,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.34
5,20000314,3.64,6.265,95.54691667,13.0,96.529,22.417,14.375,0.01521798616780757,12.0331,1.90423,1.2000000000000002,0.0450375,3,13.4,13.4,19.9,38.2,44.7,96.9,110.8,110.8,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.32299999999999995
6,20000319,1.668,1.598,91.99560417,0.0,97.465,50.604,24.39583333,0.00562265153730447,-12.5922,-2.9746900000000003,1.2000000000000002,0.060725,3,2.9,3.1,16.0,29.4,35.9,60.7,112.9,126.80000000000004,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.32899999999999996
7,20000320,1.452,3.641,79.629125,0.0,97.173,164.25,101.3333333,0.7919144818758274,58.0123,0.773333,1.2000000000000002,0.0638625,3,0.0,2.9,15.75,29.0,31.8,56.49999999999999,105.4,126.80000000000004,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.32
8,20000321,1.535,5.613,67.6458125,0.0,96.602,193.896,107.8541667,0.9004865767351434,50.3377,1.18527,1.2000000000000002,0.067,3,0.0,0.0,3.1,16.0,29.4,56.49999999999999,93.3,126.80000000000004,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.314
9,20000322,1.574,7.671,59.39614583,0.0,96.163,193.34,94.5625,1.0211258333416506,62.3751,2.8557900000000003,1.2125,0.066675,3,0.0,0.0,2.9,15.75,29.4,54.2,90.15,126.80000000000004,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.31
10,20000324,1.855,7.258999999999999,87.97747917,19.7,95.456,31.979,16.95833333,0.028019666229789613,6.741739999999999,3.27338,1.2375,0.066025,3,19.7,19.7,19.7,22.6,35.7,55.6,80.39999999999998,146.50000000000003,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.28300000000000003
11,20000325,2.432,6.501,94.73377083,11.7,95.788,63.021,47.41666667,0.2404581100282826,-11.4405,2.20254,1.25,0.06570000000000001,3,31.4,31.4,31.4,31.4,47.15,63.2,87.89999999999998,158.20000000000005,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.32899999999999996
12,20000326,2.113,3.738,89.2459375,3.4,95.377,112.958,72.875,0.4746563395967472,26.4663,-3.5998300000000003,1.2625000000000002,0.065375,3,15.1,34.8,34.8,34.8,37.9,64.2,91.3,161.60000000000005,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.34400000000000003
13,20000327,0.871,2.661,92.979875,4.9,95.269,53.125,35.5,0.1530691060127628,7.17402,-2.89025,1.275,0.06505,3,8.3,20.0,39.7,39.7,42.6,69.10000000000001,93.9,166.4,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.331
14,20000330,1.644,3.98,99.864375,14.25,95.285,20.0,16.5,0.032956935355373244,-25.8993,1.3759,1.3125,0.0684375,3,14.6,14.6,22.9,54.3,54.3,70.05,86.10000000000002,159.7,493,0,25,16,59,0,0,0,0,1,0,0,0,0,0,0.33799999999999997
