,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20020101,1.715,-7.233,88.81597916666666,0.239,99.71,58.881,-9.133979166669999,2.1963787894208804,107.429,-0.490375,1.4,0.0029,1,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
1,20020102,1.6669999999999998,-7.223,90.34164583333336,0.0,100.023,96.175,9.8728125,2.203679794162732,109.538,-0.481021,1.4,0.0028,1,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
2,20020103,1.702,-5.686,88.23402083333332,0.10800000000000001,99.40799999999999,77.283,12.53325,2.1543833272285067,128.053,-0.475438,1.4,0.0027,1,0.10800000000000001,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
3,20020104,3.093,-2.6069999999999998,80.51141666666666,0.0,99.12700000000001,79.542,24.5496041667,1.9686419554003127,83.8032,-0.47591700000000003,1.4,0.0026000000000000003,1,0.10800000000000001,0.10800000000000001,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.34700000000000003,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
4,20020105,3.201,0.8440000000000001,78.68568750000001,0.242,98.90799999999999,76.743,31.2725,1.7568082673764274,77.2237,-0.469521,1.4,0.0025,1,0.242,0.35,0.589,0.589,0.589,0.589,0.589,0.589,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
5,20020106,1.3019999999999998,0.201,97.90449999999998,4.31,98.48700000000001,8.456,-1.7605625,1.4873207179881716,79.3188,-0.464417,1.4,0.0024,1,4.552,4.552,4.659999999999998,4.898999999999999,4.898999999999999,4.898999999999999,4.898999999999999,4.898999999999999,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
6,20020107,1.8430000000000002,-5.332999999999998,92.95729166666666,0.195,98.75299999999999,43.79600000000001,2.9304375,1.3897955210211022,57.4003,-0.4615,1.4,0.0023,1,4.505,4.747,4.855,5.093999999999999,5.0939999999999985,5.093999999999999,5.0939999999999985,5.093999999999999,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
7,20020108,3.447,-2.6839999999999997,88.0493125,0.0,98.574,69.237,-2.83845833333,1.363496180685985,60.1477,-0.459688,1.4,0.0022,1,0.195,4.505,4.747,4.855,5.0939999999999985,5.093999999999999,5.0939999999999985,5.093999999999999,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
8,20020109,3.781,2.046,89.23054166666668,2.708,97.661,66.991,-0.503916666667,1.308854825289971,72.5505,-0.45906199999999997,1.4,0.0021000000000000003,1,2.708,2.903,7.454999999999999,7.562999999999999,7.8020000000000005,7.802,7.8020000000000005,7.802,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
9,20020110,1.732,1.5090000000000001,95.19895833333334,0.0,98.37799999999999,70.485,0.397895833333,1.2517706019026809,53.1336,-0.45725,1.4,0.00255,1,2.708,2.708,7.212999999999999,7.454999999999999,7.8020000000000005,7.802,7.8020000000000005,7.802,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
10,20020111,2.272,1.199,90.059375,0.745,98.634,40.742,5.43347916667,1.109880684099343,48.7078,-0.45425,1.4,0.003,1,0.745,3.4530000000000003,3.648,8.2,8.308,8.546999999999999,8.546999999999999,8.546999999999999,184,0,12,54,32,0,0,0,0,0,1,0,0,0,0,0.132
