,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20060101,0.588,1.5419999999999998,97.07514583333334,2.634,96.14200000000001,56.59,18.486734791700002,0.10485833318918927,-4.49295,-7.29604,0.9,0.0119,1,16.726,23.97,23.97,25.024,25.024,25.814,34.242999999999995,56.76300000000001,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.341
1,20060102,0.812,1.147,95.00358333333332,0.0,97.037,25.173000000000002,5.389921083330001,0.04221082619512823,-5.08269,-6.98635,0.9,0.01315,1,2.634,16.726,23.97,24.629,25.024,25.814,34.242999999999995,55.44600000000001,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.335
2,20060103,0.904,1.075,86.80427083333332,0.0,97.977,48.471000000000004,-7.55528625,0.2170966479939707,-7.42528,-5.955,0.9,0.0144,1,0.0,2.634,23.97,23.97,25.024,25.024,34.242999999999995,53.339,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.32799999999999996
3,20060104,1.392,0.002,82.170875,0.0,97.70100000000001,28.746,-13.125366875,0.252807916123809,-10.4116,-10.133,0.9,0.01565,1,0.0,0.0,16.726,23.97,25.024,25.024,34.242999999999995,45.568999999999996,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.321
4,20060105,0.396,-3.174,90.97227083333333,0.0,97.037,68.226,-30.6447397917,0.18151900841658689,2.17916,-9.37042,0.9,0.016900000000000002,1,0.0,0.0,2.634,23.97,24.629,25.024,26.604,45.437,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.315
5,20060106,0.47700000000000004,-4.711,93.02041666666666,0.0,97.304,22.516,-10.919415416700001,0.14651217492444654,3.17856,-9.97125,0.9,0.01815,1,0.0,0.0,0.0,16.726,23.97,25.024,25.814,43.725,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.315
6,20060107,0.8490000000000001,-3.6060000000000003,91.94379166666666,0.0,97.84,23.99,4.25559902083,0.177054912705575,4.16899,-7.8642699999999985,0.9,0.0194,1,0.0,0.0,0.0,2.634,23.97,25.024,25.814,42.53999999999999,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.315
7,20060108,0.8109999999999999,-4.157,93.7224375,0.0,98.06,30.340999999999998,4.54897504167,0.18145861017650647,6.13462,-6.85687,0.9,0.02065,1,0.0,0.0,0.0,0.0,23.97,25.024,25.024,34.242999999999995,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.314
8,20060109,0.884,-4.16,97.47810416666664,0.0,98.238,21.105999999999998,3.502275625,0.14381553196290853,5.652019999999999,-6.2149,0.9,0.0219,1,0.0,0.0,0.0,0.0,16.726,25.024,25.024,34.242999999999995,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.312
9,20060110,0.875,-4.148,97.2728125,0.0,98.48299999999999,23.857,4.67543014583,0.14862111897935298,6.65412,-5.59448,0.9,0.0220625,1,0.0,0.0,0.0,0.0,2.634,24.629,25.024,34.242999999999995,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.308
10,20060111,0.98,-5.626,95.86739583333332,0.0,98.538,50.324,-12.1253239583,0.1277477711056919,8.27006,-5.9118699999999995,0.9,0.022225,1,0.0,0.0,0.0,0.0,0.0,23.97,25.024,34.242999999999995,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.308
11,20060112,0.638,-5.276,99.11618749999998,0.0,98.50399999999999,45.535,-6.493299583330001,0.14347981725896636,7.5102800000000025,-6.7252100000000015,0.9,0.0223875,1,0.0,0.0,0.0,0.0,0.0,23.97,25.024,34.242999999999995,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.308
12,20060113,0.8029999999999999,-5.46,99.91516666666666,0.0,98.463,24.070999999999998,5.827663208330001,0.14297666454617586,7.82945,-7.012289999999999,0.9,0.02255,1,0.0,0.0,0.0,0.0,0.0,23.97,25.024,34.242999999999995,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.308
13,20060114,0.9990000000000001,-6.526,99.48514583333332,0.0,98.412,24.08,4.3944008125,0.1257973902273448,10.3818,-7.99792,0.9,0.0227125,1,0.0,0.0,0.0,0.0,0.0,16.726,25.024,34.242999999999995,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.308
14,20060115,1.052,-6.537999999999999,99.44364583333332,0.0,97.961,30.984,6.6401333125,0.13350723892894467,10.2629,-7.76687,0.9,0.022875,1,0.0,0.0,0.0,0.0,0.0,2.634,24.629,26.604,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.308
15,20060116,0.7390000000000001,-5.978,99.44525,0.263,97.666,33.639,7.396108708330001,0.14334981754161796,10.1308,-6.906039999999999,0.9,0.0230375,1,0.263,0.263,0.263,0.263,0.263,0.263,24.233,26.076999999999998,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.308
16,20060117,0.784,-0.145,99.98827083333332,6.058,96.804,31.877,6.0349185833300005,0.19269735182201853,-3.22749,-2.36135,0.9,0.0232,1,6.3210000000000015,6.3210000000000015,6.3210000000000015,6.3210000000000015,6.3210000000000015,6.3210000000000015,30.291,32.135,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.311
17,20060118,2.358,3.5789999999999997,93.15375,7.112,96.77799999999999,10.690999999999999,14.4913425417,0.3577520540822794,-26.2571,-0.227917,0.9,0.0226,1,13.17,13.433,13.433,13.433,13.433,13.433,37.403,38.457,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.34
18,20060119,0.493,1.5530000000000002,99.892875,0.0,97.781,29.761999999999997,27.9986595833,0.16340974381487305,0.187254,0.200729,0.9,0.022000000000000002,1,7.112,13.17,13.433,13.433,13.433,13.433,30.159000000000002,38.457,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.337
19,20060120,1.429,1.185,96.51285416666668,0.0,97.866,54.118,21.425136125,0.3116973930173679,3.04981,0.708646,0.9,0.0214,1,0.0,7.112,13.433,13.433,13.433,13.433,16.067,38.457,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.327
20,20060121,1.135,3.4989999999999997,89.5611875,0.0,97.85799999999999,44.486000000000004,17.416259,0.4260588914981617,-7.03442,3.00208,0.9,0.020800000000000003,1,0.0,0.0,13.17,13.433,13.433,13.433,13.433,38.457,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
21,20060122,1.0090000000000001,1.649,89.55579166666666,0.395,98.37200000000001,51.5,16.6566311875,0.5443103502436389,-3.20928,0.0896875,0.9,0.020200000000000003,1,0.395,0.395,7.5070000000000014,13.828,13.828,13.828,13.828,38.852,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.32799999999999996
22,20060123,2.441,-2.028,79.4700625,0.0,98.602,26.924,-17.6344414583,0.7377474720241448,-4.2732,-6.8049,0.9,0.0196,1,0.395,0.395,0.395,13.565,13.828,13.828,13.828,38.852,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.322
23,20060124,1.912,-5.907,83.31099999999998,0.0,98.522,38.876999999999995,-15.0853508333,0.5397663887447174,10.5531,-6.2233300000000025,0.9,0.019,1,0.0,0.395,0.395,7.5070000000000014,13.828,13.828,13.828,38.852,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.321
24,20060125,1.288,-3.071,91.33741666666668,0.0,97.535,65.446,10.26975875,0.3454927242678972,8.43464,-5.83885,0.9,0.0184,1,0.0,0.0,0.395,0.395,13.828,13.828,13.828,38.457,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.319
25,20060126,1.359,-1.37,95.40777083333334,0.0,96.689,48.315,-9.553206479169999,0.36543974947097707,-2.50779,-3.38354,0.9,0.01785,1,0.0,0.0,0.395,0.395,13.565,13.828,13.828,37.798,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.315
26,20060128,1.052,-2.158,86.86866666666668,0.0,97.111,50.178000000000004,-6.51986395833,0.4410509849518014,-1.07933,-6.9131199999999975,0.9,0.01675,1,0.611,0.611,0.611,1.006,1.006,14.439,14.439,38.409,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.315
27,20060129,1.248,-2.272,87.82820833333334,0.0,97.572,64.918,-7.9957825,0.4880178079163126,1.8774400000000002,-5.56042,0.9,0.0162,1,0.0,0.611,0.611,0.611,1.006,14.439,14.439,31.165,393,1,20,42,36,0,0,0,0,0,0,0,0,0,0,0.315
