,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20070522,5.9270000000000005,23.45,40.736666666666665,0.0,98.212,292.676,120.727393333,0.4632273581071366,59.4602,39.1819,0.4625,0.056375,5,0.0,0.35100000000000003,0.7070000000000001,2.2510000000000003,2.6740000000000004,2.934,2.9339999999999997,3.5060000000000002,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.163
1,20070523,5.018,16.948,83.616875,0.255,98.412,45.37300000000001,15.927356458299998,0.3799153149097213,-4.55007,13.0559,0.475,0.05915,5,0.255,0.255,0.6060000000000001,0.9620000000000002,2.7060000000000004,3.189,3.1889999999999996,3.761,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.203
2,20070524,4.727,18.651,63.298125,10.052,97.39200000000001,226.905,130.121571875,2.0585339473867696,36.4286,22.3026,0.4875,0.061925,5,10.307,10.307,10.658,11.014000000000001,12.758,13.241000000000005,13.241000000000005,13.813000000000004,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.239
3,20070525,4.687,17.817,44.816875,0.08800000000000001,97.068,243.718,113.01617729200001,2.249710906054081,47.9512,21.3754,0.5,0.06470000000000001,5,10.14,10.395,10.395,10.746,12.645999999999999,13.329000000000002,13.329000000000002,13.851000000000004,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.21100000000000002
4,20070526,4.561,15.673,56.73729166666666,0.0,97.898,304.466,146.846514375,2.0074992397339644,81.1093,23.9593,0.5125000000000001,0.06482500000000001,5,0.08800000000000001,10.14,10.395,10.746,11.102,13.138000000000002,13.329000000000002,13.851000000000004,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.172
5,20070527,2.737,16.391,63.82541666666666,0.077,98.708,298.925,152.569786042,1.4833720579286298,88.6381,28.9167,0.525,0.06495000000000001,5,0.077,0.165,10.472000000000001,10.472,11.179,13.146,13.406000000000002,13.599000000000002,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.17500000000000002
6,20070528,3.455,16.272000000000002,73.955,0.239,98.70200000000001,236.14700000000002,120.388775417,1.6183883861975559,57.1966,24.9468,0.5375,0.06507500000000001,5,0.316,0.316,10.456,10.711,11.062,13.162,13.645000000000005,13.838000000000005,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.203
7,20070529,2.128,17.752,57.89812499999999,0.0,98.73100000000001,304.084,146.947057917,1.6510442601453834,76.6088,30.2381,0.55,0.06520000000000001,5,0.239,0.316,0.40399999999999997,10.711,11.062,13.162,13.645000000000005,13.838000000000005,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.19399999999999998
8,20070530,1.649,21.145,46.28166666666666,0.0,98.756,325.539,155.221316667,1.5119643407131926,69.1081,36.685,0.5625,0.06532500000000001,5,0.0,0.239,0.316,10.456,10.710999999999999,12.962000000000002,13.645000000000005,13.793000000000005,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.17
9,20070531,4.893,23.213,47.50791666666667,0.0,98.54899999999999,277.908,137.71290249999998,1.2203075634989842,34.495,32.4275,0.5750000000000001,0.06545000000000001,5,0.0,0.0,0.316,0.404,10.710999999999999,11.418,13.454000000000002,13.793000000000005,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.17
10,20070601,6.974,17.893,81.11625,3.339,98.256,60.763999999999996,25.1222591667,1.1166884594616804,-14.1254,4.55043,0.5875,0.06557500000000001,6,3.339,3.339,3.5780000000000003,3.655,14.05,14.757,16.724,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.254
11,20070602,3.762,18.874000000000002,77.45270833333333,0.0,98.417,159.891,83.52431479170002,0.9346788621442164,21.718000000000004,17.2737,0.6000000000000001,0.06570000000000001,6,3.339,3.339,3.339,3.655,13.795,14.401000000000002,16.500999999999998,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.313
12,20070603,6.492999999999999,21.365,64.03291666666667,0.0,98.275,246.38,137.131288958,1.3746664579322898,34.9345,25.6887,0.6125,0.06375,6,0.0,3.339,3.339,3.5780000000000003,3.7430000000000003,14.401000000000002,16.500999999999998,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.242
13,20070604,4.439,17.956,47.94125,0.0,98.074,284.811,134.81786270799998,3.1297936244560547,51.1917,13.8778,0.625,0.0618,6,0.0,0.0,3.339,3.339,3.655,14.05,16.301000000000002,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.275
14,20070605,3.72,16.833,56.30458333333334,0.0,98.236,343.88599999999997,170.13443541700002,2.4916477758462583,85.3337,23.3607,0.6375000000000001,0.05985,6,0.0,0.0,3.339,3.339,3.655,14.05,14.757,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.177
15,20070606,2.911,20.781,44.42916666666667,0.0,98.441,346.006,170.857066667,2.782241509241769,75.3872,30.401,0.65,0.0579,6,0.0,0.0,0.0,3.339,3.5780000000000003,14.05,14.757,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.18100000000000002
16,20070607,2.932,22.494,45.92833333333334,0.0,98.488,338.454,165.596632479,2.630124769176855,67.8195,32.6601,0.6625000000000001,0.05595,6,0.0,0.0,0.0,3.339,3.339,13.795,14.401000000000002,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.171
17,20070608,2.043,22.123,47.37229166666666,0.0,98.93299999999999,336.221,164.211489583,1.8923206189829644,79.0122,32.0778,0.675,0.054000000000000006,6,0.0,0.0,0.0,0.0,3.339,3.743,14.401000000000002,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.17
18,20070609,3.188,25.375,37.42958333333333,0.0,99.015,277.506,132.10133333299999,1.3563021749699908,39.7782,31.5404,0.6875,0.05205,6,0.0,0.0,0.0,0.0,3.339,3.655,14.05,16.983999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.156
19,20070610,6.195,29.154,33.77645833333333,0.0,98.31200000000001,285.269,133.740851042,1.5597426509078498,46.5117,37.2678,0.7000000000000001,0.050100000000000006,6,0.0,0.0,0.0,0.0,3.339,3.655,14.05,16.793,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.17
20,20070611,7.212999999999999,28.979,40.14375,0.0,97.98899999999999,294.568,141.908389583,1.5047009962001008,49.2097,37.2878,0.7125,0.051362500000000005,6,0.0,0.0,0.0,0.0,0.0,3.5780000000000003,14.05,16.724,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.158
21,20070612,3.819,23.831999999999997,35.051875,0.0,98.523,246.649,116.22711979200001,2.2161161265934695,47.0513,25.3382,0.7250000000000001,0.052625000000000005,6,0.0,0.0,0.0,0.0,0.0,3.339,13.795,16.500999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.157
22,20070613,2.932,20.358,41.05,0.0,99.02,327.4840000000001,158.977369375,2.1363049536414285,86.5997,22.4603,0.7375,0.053887500000000005,6,0.0,0.0,0.0,0.0,0.0,3.339,3.7430000000000003,16.500999999999998,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.16
23,20070614,1.881,21.59800000000001,33.12916666666667,0.0,98.947,352.129,162.239729167,1.8075951695677641,90.2365,22.6734,0.75,0.055150000000000005,6,0.0,0.0,0.0,0.0,0.0,3.339,3.655,16.301000000000002,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.141
24,20070615,2.29,24.346,29.020416666666666,0.0,98.795,302.819,136.26619166700002,1.5520055157188348,54.7174,25.3167,0.7625000000000001,0.0564125,6,0.0,0.0,0.0,0.0,0.0,3.339,3.655,14.757,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.14200000000000002
25,20070616,5.938,26.378,36.517083333333346,0.27,98.677,172.25400000000005,71.4242022917,1.0635439539721478,25.3371,21.4289,0.775,0.057675,6,0.27,0.27,0.27,0.27,0.27,0.27,3.8480000000000003,15.027000000000001,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.149
26,20070617,5.907,26.590999999999998,36.66645833333333,0.0,98.572,258.061,122.396845938,1.268796711542071,41.0976,29.2816,0.7875000000000001,0.0589375,6,0.27,0.27,0.27,0.27,0.27,0.27,3.609,14.671,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.155
27,20070618,4.3180000000000005,26.433000000000003,38.02708333333333,0.0,98.679,202.405,86.524028125,1.1225123292421162,27.7115,24.7476,0.8,0.0602,6,0.0,0.27,0.27,0.27,0.27,0.27,3.609,14.671,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.161
28,20070619,4.2330000000000005,24.048000000000002,46.5725,0.0,98.678,135.014,54.0933158333,0.881956781248336,12.1719,14.7725,0.8250000000000001,0.06087500000000001,6,0.0,0.0,0.27,0.27,0.27,0.27,3.609,14.32,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.14400000000000002
29,20070620,3.8169999999999997,23.730999999999998,35.1975,0.0,98.565,341.045,169.945432083,2.3336218957860355,86.3772,28.6675,0.8500000000000001,0.06155,6,0.0,0.0,0.27,0.27,0.27,0.27,3.609,14.32,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.165
30,20070621,2.8689999999999998,25.385,34.005625,0.0,98.22,345.4,170.53052729200002,2.4537321511426042,74.3734,28.6928,0.875,0.062225,6,0.0,0.0,0.0,0.27,0.27,0.27,0.27,14.32,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.14300000000000002
31,20070622,2.736,28.188000000000002,37.536875,0.0,97.98700000000001,329.389,160.038869375,1.6004028021698091,50.4384,33.0074,0.9,0.0629,6,0.0,0.0,0.0,0.27,0.27,0.27,0.27,14.065,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.141
32,20070623,3.431,28.500999999999998,39.736875,0.0,97.959,334.755,164.919553125,2.788868714783564,61.1263,35.8196,0.925,0.063575,6,0.0,0.0,0.0,0.0,0.27,0.27,0.27,4.013,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.155
33,20070624,3.33,27.750999999999998,41.73770833333333,0.0,97.84299999999999,312.644,158.400360417,1.602685609679805,52.9883,30.2207,0.95,0.06425,6,0.0,0.0,0.0,0.0,0.27,0.27,0.27,3.925,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.139
34,20070625,3.8960000000000004,26.87,48.97624999999999,0.0,97.545,281.087,145.906142146,1.7839766982809018,72.0851,28.2686,0.975,0.064925,6,0.0,0.0,0.0,0.0,0.27,0.27,0.27,3.925,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.146
35,20070626,3.298,26.195,43.95374999999999,0.0,97.73299999999999,321.5,154.109126458,2.58847245406567,66.6583,22.2681,1.0,0.0656,6,0.0,0.0,0.0,0.0,0.0,0.27,0.27,3.848,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.204
36,20070627,6.0020000000000024,29.182,55.01833333333334,0.0,97.882,258.775,129.54134604200001,1.1132868851114952,49.106,31.1996,1.025,0.07628750000000001,6,0.0,0.0,0.0,0.0,0.0,0.27,0.27,3.609,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.156
37,20070628,3.543,23.289,78.16854166666667,0.617,98.084,78.49600000000002,29.5310383333,0.9538331004851852,8.94935,7.4638300000000015,1.05,0.08697500000000001,6,0.617,0.617,0.617,0.617,0.617,0.887,0.887,4.226,143.0,1,19,37,43,0,0,0,0,0,0,0,0,0,0,0.15
