,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20010116,1.079,-6.705,93.32166666666667,0.0,100.669,55.376999999999995,-20.8676923077,0.030899608224259818,1.55798,-14.6175,0.5,0.016675000000000002,1,0.0,0.0,0.054000000000000006,4.54,5.005,18.346,19.134,19.134,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.33899999999999997
1,20010117,0.802,-8.379,89.06625000000004,0.0,100.204,50.604,-30.243125,0.027090701209805758,1.29041,-11.9117,0.5,0.0171,1,0.0,0.0,0.054000000000000006,2.234,4.91,17.224999999999998,19.134,19.134,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.33899999999999997
2,20010118,0.682,-6.7589999999999995,90.46291666666669,0.0,100.244,19.852,-14.67125,0.018512847139542283,1.22033,-7.3768699999999985,0.5,0.0169125,1,0.0,0.0,0.0,0.054000000000000006,4.812,16.921,19.134,19.134,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.33899999999999997
3,20010119,0.748,-5.905,88.68895833333332,0.0,100.321,60.46100000000001,-16.1195833333,0.07087048408233612,5.8365,-6.13771,0.5,0.016725,1,0.0,0.0,0.0,0.054000000000000006,4.54,15.588,19.134,19.134,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.33899999999999997
4,20010120,0.856,-2.6519999999999997,90.84604166666668,0.0,100.491,45.661,-4.455,0.04747632635780913,2.11637,-1.92375,0.5,0.0165375,1,0.0,0.0,0.0,0.0,2.234,7.191,19.134,19.134,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.33899999999999997
5,20010121,0.7509999999999999,-3.464,92.820625,0.135,100.539,16.569000000000006,-12.289375,0.020943496877023453,0.14287,-4.11833,0.5,0.01635,1,0.135,0.135,0.135,0.135,0.18899999999999997,5.1400000000000015,18.481,19.269000000000002,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.239
6,20010122,1.681,-0.299,98.58,2.838,99.365,27.721999999999998,2.09104166667,0.0034052545497873536,-3.50297,0.257083,0.5,0.0161625,1,2.9730000000000003,2.9730000000000003,2.9730000000000003,2.9730000000000003,3.027,7.882999999999999,20.198,22.10700000000001,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.33899999999999997
7,20010123,3.4130000000000003,4.066,85.62145833333334,1.4869999999999999,98.736,48.162,18.3214583333,0.01606337015256222,-18.4608,2.8502099999999997,0.5,0.015975,1,4.325,4.46,4.46,4.46,4.46,9.272,21.381,23.594,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.218
8,20010125,2.8080000000000003,6.097,77.70854166666669,0.0,98.72399999999999,78.658,18.8495833333,0.3438508153834807,-9.87315,18.6169,0.5,0.0156,1,0.135,1.6219999999999999,4.595,4.595,4.595,6.8290000000000015,11.786000000000005,23.72900000000001,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.3
9,20010126,3.951,4.421,79.11791666666667,0.0,98.62799999999999,75.60300000000002,5.616041666669999,0.267782773725222,-11.7705,11.0981,0.5125000000000001,0.0159375,1,0.0,0.135,4.46,4.595,4.595,4.649,9.600000000000003,23.72900000000001,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.359
10,20010127,5.309,2.08,84.49249999999998,0.135,97.75200000000001,21.743000000000002,-12.0597916667,0.15154478687254674,-23.8543,1.61521,0.525,0.016275,1,0.135,0.135,1.757,4.73,4.73,4.784,9.64,23.864000000000004,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.313
11,20010128,5.752999999999999,3.4730000000000003,71.60708333333334,0.0,98.256,82.742,19.750208333299998,0.44361428544786574,-15.1207,8.55021,0.5375,0.016612500000000002,1,0.135,0.135,0.27,4.595,4.73,4.73,9.542,23.864000000000004,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.37799999999999995
12,20010129,1.412,1.945,86.356875,0.0,99.475,20.684,-1.75208333333,0.05500481958664303,-3.90286,2.86542,0.55,0.01695,1,0.0,0.135,0.135,1.757,4.73,4.73,9.27,23.864000000000004,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.36200000000000004
13,20010130,1.025,0.943,93.28062500000004,0.0,100.228,47.898,17.749375,0.07221270275660711,1.31341,4.97208,0.5625,0.0172875,1,0.0,0.0,0.135,0.27,4.73,4.73,6.9639999999999995,23.864000000000004,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.363
14,20010131,1.479,0.836,90.81708333333334,0.135,100.35,33.077,2.93791666667,0.07195392149749658,0.13631300000000002,0.72125,0.5750000000000001,0.017625000000000002,1,0.135,0.135,0.27,0.27,4.73,4.865,4.9190000000000005,23.211,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.35700000000000004
15,20010201,3.335,-0.373,89.22729166666666,0.6759999999999999,100.429,47.598,6.670625,0.04691416296431916,-3.6648699999999996,-2.92167,0.5875,0.0179625,2,0.8109999999999999,0.8109999999999999,0.8109999999999999,0.946,2.568,5.541,5.5950000000000015,22.766,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.35000000000000003
16,20010202,2.371,-2.9189999999999996,84.558125,1.6219999999999999,99.96600000000001,53.153,-7.182708333330001,0.09992295440150473,-2.94042,-3.27583,0.6000000000000001,0.0183,2,2.298,2.4330000000000003,2.4330000000000003,2.568,2.7029999999999994,7.162999999999999,7.1629999999999985,24.084000000000003,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.266
17,20010203,2.33,-3.5839999999999996,98.41458333333333,3.108,98.904,44.355,0.47583333333300004,0.01400640817936473,0.979849,-2.46875,0.6125,0.0191875,2,4.73,5.4060000000000015,5.541,5.541,5.676,10.270999999999999,10.271,25.859,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.29600000000000004
18,20010204,1.824,-2.379,99.29125,4.865,98.47,40.958,3.268125,0.0242491817344278,5.43501,-2.51458,0.625,0.020075000000000003,2,7.973000000000001,9.595,10.405999999999999,10.406,10.540999999999999,15.136,15.136,22.326999999999998,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.23399999999999999
19,20010205,6.73,6.215,81.96041666666666,0.405,97.90899999999999,53.409,17.03875,0.14632898564419822,-28.71,11.3133,0.6375000000000001,0.0209625,2,5.2700000000000005,8.378,10.675999999999998,10.811,10.946,15.405999999999999,15.541,20.546,161.5,0,19,26,54,0,0,0,0,0,0,0,1,0,0,0.21899999999999997
