,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20130515,3.3680000000000003,17.248,63.2690375,0.001,100.40100000000001,314.726,213.241663958,6.7855236021125975,19.3228,-7.55577,2.6500000000000004,0.2994,5,1.791,2.937,7.971,16.563000000000002,24.469000000000005,24.469000000000005,37.332,38.357000000000006,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.23399999999999999
1,20130516,3.011,19.63,62.29368333333333,0.0,99.98899999999999,288.246,194.92937825,6.975734395542912,15.2414,-9.78742,2.725,0.303,5,0.001,1.791,6.9030000000000005,10.534,24.469000000000005,24.469000000000005,27.13000000000001,38.05900000000001,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.259
2,20130517,3.125,21.197,64.66719583333334,1.2590000000000001,99.976,256.73,192.143492917,7.203106262792896,15.4693,-14.9115,2.8000000000000003,0.30660000000000004,5,1.2590000000000001,1.26,4.1960000000000015,9.23,23.233,25.728,26.604,39.31800000000001,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.235
3,20130518,2.401,18.072,80.72472916666669,5.815,100.38600000000001,150.184,97.2504439583,3.0212774588724325,25.499000000000002,-11.8928,2.875,0.3180625,5,7.074,7.0740000000000025,8.865,13.977000000000006,23.636999999999997,31.54300000000001,32.225,45.13300000000001,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.22899999999999998
4,20130519,1.75,12.630999999999998,91.08280000000002,0.653,100.791,73.80199999999998,36.072091875,1.139030064125491,30.3188,-2.63748,2.95,0.329525,5,6.468,7.727,7.7280000000000015,10.664000000000001,18.261000000000006,32.196000000000005,32.196000000000005,45.57000000000001,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.259
5,20130520,2.259,13.714,88.60663958333332,0.897,100.63,78.419,43.3921979167,1.2863964678193718,19.461,-6.66565,3.0250000000000004,0.3409875,5,1.55,7.365,8.624,10.415,16.595000000000002,33.093,33.093,46.46700000000001,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.245
6,20130521,3.0380000000000003,13.237,90.67034375,4.694,100.615,57.483000000000004,31.0465810417,0.7028468048314653,18.245,-6.1247,3.1,0.35245000000000004,5,5.591,6.244,13.318,13.319,20.221000000000004,37.787,37.787,51.161,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.263
7,20130522,4.132,10.82,86.67581875,5.82,100.06299999999999,75.513,39.626051875,1.068537849394869,25.3987,-2.46374,3.1750000000000003,0.3639125,5,10.514000000000001,11.411,17.879,19.138,22.07500000000001,41.11200000000001,43.607000000000006,56.98100000000001,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.24100000000000002
8,20130523,2.332,9.097999999999999,69.06429166666668,0.08900000000000001,100.62200000000001,267.41200000000003,158.336929277,3.2489726048151613,46.6328,-5.46245,3.25,0.375375,5,5.9090000000000025,10.603000000000002,12.153000000000002,19.227000000000004,21.018000000000004,35.790000000000006,43.69600000000001,56.925,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.264
9,20130524,1.355,10.914000000000001,67.74278333333334,0.22,100.91,289.144,177.434625,3.407080381771752,40.2829,-5.48359,3.325,0.3868375,5,0.309,6.129,11.72,18.188,19.448000000000004,29.981000000000005,43.916,57.145,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.233
10,20130525,2.36,11.164000000000001,90.03892708333332,16.972,100.625,53.861000000000004,24.991143125,0.3972063179441854,8.02173,-1.6198,3.4000000000000004,0.3983,5,17.192,17.281,27.795,29.344999999999995,36.419000000000004,44.38999999999999,60.88800000000001,73.751,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.23199999999999998
11,20130526,2.395,11.645999999999999,91.58995,14.214,100.085,58.198,39.570238,0.4227744827819012,5.26164,-1.7971700000000002,3.4375,0.410275,5,31.186,31.406,37.315,42.90600000000001,50.633,57.536,75.102,77.763,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.3
12,20130527,1.5930000000000002,13.273,76.30364999999998,0.09300000000000001,100.605,321.577,208.89566041700002,3.6014364894653923,47.3869,-3.7664400000000002,3.475,0.42225,5,14.307,31.279000000000003,31.588,42.102,49.467,53.663,72.7,76.07100000000001,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.256
13,20130528,2.201,13.532,86.49448541666668,2.258,100.265,122.204,73.5503895833,1.4680474540039066,24.7984,-6.1966,3.5125,0.434225,5,2.351,16.565,33.757000000000005,39.666,45.91,54.775,69.547,78.135,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.258
14,20130529,2.505,14.739,80.23122083333334,4.619,99.926,221.146,156.023707708,3.5244611471396112,34.4452,-5.10007,3.5500000000000003,0.4462,5,6.8770000000000024,6.97,38.15600000000001,38.465,49.87600000000001,57.604,68.137,82.072,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.258
15,20130530,1.9340000000000002,16.33,78.50115416666667,1.101,100.448,290.434,197.208973479,3.719419091853936,37.3223,-5.3284400000000005,3.5875000000000004,0.458175,5,5.72,7.978,22.285,39.477,50.08000000000001,58.70399999999999,66.675,83.17299999999999,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.27
16,20130531,2.685,15.74,82.43227916666666,2.535,100.35700000000001,237.576,174.40426625,3.168246964444904,38.6466,-4.0623,3.625,0.47015,5,3.636,8.254999999999999,10.605999999999998,41.792,47.92100000000001,61.239,68.14199999999998,85.70799999999998,0,0,15,55,27,0,0,0,0,0,0,1,0,0,0,0.254
