,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20041003,2.061,5.506,78.5825,0.0,100.232,24.42,12.12583333,0.2664983791918873,-1.90556,-2.44212,1.65,0.02655,10,0.0,0.0,0.2,15.56,31.58,43.27,75.05000000000003,86.19000000000004,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.272
1,20041004,2.466,7.068,76.36895833,0.0,100.023,65.714,16.200625,0.4967971876712927,0.108574,-2.40884,1.6375000000000002,0.0229625,10,0.0,0.0,0.0,9.3,30.16,39.84,63.48,86.19000000000004,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
2,20041005,4.287,9.594,90.30666667,4.03,98.919,6.726,7.466458332999999,0.09996541423862668,-19.7505,-2.38404,1.625,0.019375,10,4.03,4.03,4.03,4.23,19.59,43.87000000000001,64.06,90.22000000000004,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.305
3,20041006,2.754,7.996,86.26083333,0.0,98.337,40.923,14.378125,0.2432949011561027,-9.53047,-2.43525,1.6125,0.0157875,10,4.03,4.03,4.03,4.03,19.59,38.02,54.540000000000006,90.22000000000004,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.33299999999999996
4,20041007,3.872,8.248,84.19229167,8.3,98.308,39.561,14.12520833,0.1020420889055296,-11.549,-2.40884,1.6,0.0122,10,8.3,12.330000000000002,12.330000000000002,12.330000000000002,21.63000000000001,45.11000000000001,59.20000000000001,98.32000000000004,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.305
5,20041008,2.611,5.945,88.55958333,4.05,98.249,23.384,22.39621622,0.2343415159762298,2.86905,-2.38404,1.5875,0.0133125,10,12.35,12.35,16.380000000000006,16.380000000000006,16.580000000000002,47.96,59.65000000000001,98.31000000000002,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.305
6,20041009,2.56,1.6869999999999998,80.11104167,0.4,98.921,82.99799999999998,52.92152174,0.41417623811739146,5.897,-2.43525,1.5750000000000002,0.014425,10,4.45,12.75,16.78,16.78,16.78,46.94,56.62000000000001,98.71000000000002,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.304
7,20041010,3.464,-0.4370000000000001,75.14583333,0.0,99.827,94.832,-15.99833333,0.5668014757518314,-9.28454,-2.40884,1.5625,0.0155375,10,0.4,4.45,12.75,16.78,16.78,32.34,56.62000000000001,98.71000000000002,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
8,20041011,3.005,-0.6809999999999999,69.68125,0.0,100.757,88.61200000000002,-3.927291667,0.17966685723297268,1.53125,-2.38404,1.55,0.01665,10,0.0,0.4,12.75,16.78,16.78,32.34,50.77,98.71000000000002,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.249
9,20041012,4.455,3.502,80.05145833,0.0,100.814,76.315,4.656875,0.08392661483287722,-10.7623,-2.43525,1.5375,0.0177625,10,0.0,0.0,4.45,12.75,16.78,26.08,49.56,95.67000000000002,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.295
10,20041013,4.3260000000000005,3.947,76.02625,0.0,100.69,49.4,-15.23208333,0.2138980053448873,-15.0104,-2.40884,1.525,0.018875,10,0.0,0.0,0.4,12.75,16.78,16.98,48.36,91.83,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.249
11,20041014,2.705,3.696,81.355,0.0,100.315,62.61600000000001,-4.338085106,0.12170854256510798,4.67895,-2.38404,1.5125000000000002,0.0199875,10,0.0,0.0,0.0,4.45,16.78,16.78,46.94,80.26,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.29
12,20041015,3.009,1.734,85.33770833,0.0,99.903,63.68,2.2120833330000003,0.11903091803205045,2.9864,-2.43525,1.5,0.0211,10,0.0,0.0,0.0,0.4,12.75,16.78,32.34,76.81,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.28800000000000003
13,20041016,2.91,3.944,77.41208333,0.0,99.229,50.82,14.349375,0.14807611395939618,0.851066,-2.43245,1.4875,0.021225,10,0.0,0.0,0.0,0.0,12.75,16.78,32.34,67.29,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.262
14,20041017,3.539,4.148,84.800625,0.0,98.808,17.315,13.69625,0.08260111348897715,9.03149,-2.42351,1.475,0.02135,10,0.0,0.0,0.0,0.0,4.45,16.78,26.08,63.65000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.275
15,20041018,4.63,5.5520000000000005,89.27979167,0.0,98.363,9.072,14.15083333,0.12602903692593614,-4.05507,-2.39689,1.4625,0.021475,10,0.0,0.0,0.0,0.0,0.4,16.78,16.98,60.05,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.28800000000000003
16,20041020,2.007,0.8340000000000001,83.34208333,0.0,99.279,26.159,17.50291667,0.1244622182125098,11.0226,-2.43359,1.4375,0.021725,10,0.0,0.0,0.0,0.0,0.0,12.75,16.78,56.62000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.27
17,20041022,4.189,5.9979999999999976,87.410625,7.3,98.023,12.774,10.89291667,0.1075505516217788,-16.4075,-2.32577,1.4125,0.021975,10,7.3199999999999985,7.3199999999999985,7.3199999999999985,7.3199999999999985,7.3199999999999985,11.77,24.1,56.88,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.305
18,20041023,2.466,5.9179999999999975,89.68479167,3.22,97.317,17.134,29.46292683,0.044581608996012406,-4.40021,-2.43108,1.4,0.0221,10,10.52,10.54,10.54,10.54,10.54,10.94,27.32,58.9,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.311
19,20041024,1.5519999999999998,4.416,90.120625,2.23,97.839,17.447,7.67326087,0.08723243828821177,-1.82793,-2.42504,1.3875000000000002,0.022025,10,5.45,12.75,12.77,12.77,12.77,12.77,29.55,59.71,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.313
20,20041025,2.124,2.733,89.4325,0.4,98.399,33.985,27.87489362,0.07633275812169336,0.324218,-2.4065,1.375,0.02195,10,2.63,5.85,13.169999999999998,13.169999999999998,13.169999999999998,13.169999999999998,25.92,45.51,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.305
21,20041026,4.105,6.896,90.405625,11.75,97.464,10.524,13.7275,0.06749837803656324,-17.088,-2.37108,1.3625,0.021875,10,12.15,14.38,24.9,24.92,24.92,24.92,37.67,57.26000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.29600000000000004
22,20041027,4.013,4.535,84.64083333,0.2,98.075,30.89,11.54066667,0.2646227552569456,-17.1724,-2.37978,1.35,0.0218,10,11.95,12.35,17.8,25.12,25.12,25.12,29.57,51.20000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.325
23,20041028,4.3260000000000005,2.665,80.493125,0.0,98.71,51.55,-30.755625,0.18940940771584144,-19.7371,-2.4179,1.3375,0.021725,10,0.2,11.95,14.58,25.1,25.12,25.12,25.52,42.10000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.31
24,20041029,1.706,-0.701,91.23895833,0.0,99.391,29.754,-3.84625,0.025888522554113717,3.85104,-2.43357,1.3250000000000002,0.021650000000000003,10,0.0,0.2,12.35,17.8,25.12,25.12,25.12,41.90000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.311
25,20041030,3.227,-1.938,89.86416667,0.0,99.793,29.429,-2.5020833330000003,0.11959668370238158,3.30124,-2.43093,1.3125,0.021575,10,0.0,0.0,11.95,14.58,25.12,25.12,25.12,41.90000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.305
26,20041031,3.205,-1.7380000000000002,88.58229167,0.0,98.689,21.7,-6.744166667000001,0.09646494683843028,-1.71418,-2.43854,1.3,0.0215,10,0.0,0.0,0.2,12.35,25.1,25.12,25.12,41.90000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
27,20041101,5.605,2.633,73.44916667,0.0,98.61,42.358,-43.87208333,0.14086635345098733,-43.1571,-2.39375,1.2875,0.0211,11,0.0,0.0,0.0,11.95,17.8,25.12,25.12,41.90000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
28,20041102,3.882,1.46,78.825625,0.0,99.767,38.825,-39.14916667,0.01436926933830577,-21.4986,-2.41085,1.275,0.0207,11,0.0,0.0,0.0,0.2,14.58,25.12,25.12,41.90000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
29,20041103,5.211,3.816,83.116875,0.0,99.86,39.255,-9.157083333,0.0852562089332382,-20.9926,-2.35117,1.2625000000000002,0.0203,11,0.0,0.0,0.0,0.0,12.35,25.12,25.12,41.90000000000001,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.295
30,20041104,3.734,4.999,86.39,0.2,99.049,5.71,16.17104167,0.02910223830062305,-6.7976899999999985,-2.33246,1.25,0.0199,11,0.2,0.2,0.2,0.2,12.15,25.32,25.32,38.07,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.295
31,20041105,3.26,5.823,86.30666667,2.63,98.018,9.572,9.430208333,0.12624925443935314,-12.0222,-2.31668,1.2375,0.0195,11,2.83,2.83,2.83,2.83,3.03,27.93,27.95,40.7,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.311
32,20041106,3.09,3.805,83.49354167,0.0,98.011,11.224,-1.809375,0.10956715366266273,-10.5134,-2.43169,1.225,0.0191,11,2.63,2.83,2.83,2.83,2.83,20.63,27.95,32.4,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.311
33,20041107,2.8160000000000003,2.441,81.01520833,0.0,99.211,6.48,2.495625,0.1143322718516592,-5.01754,-2.43075,1.2125,0.0187,11,0.0,2.63,2.83,2.83,2.83,17.41,27.95,28.35,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
34,20041108,4.968,4.1160000000000005,80.726875,0.0,99.383,10.599,8.201875,0.1060707165416827,-0.658007,-2.39997,1.2000000000000002,0.0183,11,0.0,0.0,2.83,2.83,2.83,15.18,27.95,27.95,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
35,20041109,4.517,4.673,83.90958333,0.0,99.846,5.154,4.378297872,0.05061581867921218,-7.44159,-2.3730900000000004,1.1625,0.017650000000000002,11,0.0,0.0,2.63,2.83,2.83,14.78,27.95,27.95,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.295
36,20041110,2.665,0.957,84.22166667,0.0,100.07,10.393,6.148958333,0.059956551541994765,-4.8253,-2.36503,1.125,0.017,11,0.0,0.0,0.0,2.83,2.83,3.03,27.93,27.95,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.295
37,20041111,4.671,3.723,83.31645833,0.0,99.488,3.633,6.142666667,0.1190071346570873,-4.07709,-2.34716,1.0875,0.01635,11,0.0,0.0,0.0,2.63,2.83,2.83,20.63,27.95,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.295
38,20041112,7.099,5.384,83.08291667,12.76,96.91,2.608,-2.199583333,0.0948623565031877,-29.4871,-2.31892,1.05,0.015700000000000002,11,12.76,12.76,12.76,12.76,15.59,15.59,30.17,40.71,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.313
39,20041113,3.56,0.8290000000000001,84.15291667,0.2,97.333,20.049,-23.48979167,0.08269587642771754,-23.0817,-2.37253,1.0125,0.01505,11,12.96,12.96,12.96,12.96,15.79,15.79,28.14,40.91,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.325
40,20041114,3.582,-0.98,84.29875,0.0,98.438,24.397,-35.325,0.1331103191890606,-14.8757,-2.34087,0.975,0.0144,11,0.2,12.96,12.96,12.96,15.59,15.79,27.74,40.91,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.311
41,20041115,6.634,1.763,83.52791667,3.25,96.574,5.079,-21.47468085,0.1079312104223279,-63.4036,-2.42983,0.9375,0.01375,11,3.25,3.45,16.21,16.21,16.21,19.04,19.24,44.16,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.318
42,20041116,4.829,-1.854,80.53645833,0.0,96.873,10.657,-36.36625,0.2550341348448697,-32.2285,-2.38048,0.9,0.0131,11,3.25,3.25,16.21,16.21,16.21,19.04,19.04,44.16,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.318
43,20041118,2.237,-5.64,94.99708333,0.0,96.803,9.388,-2.691666667,0.06522712084841736,3.87745,-1.72747,0.875,0.013425,11,0.0,0.0,3.25,16.21,16.21,19.04,19.04,44.16,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
44,20041119,1.717,-7.2570000000000014,90.35416667,0.0,97.262,5.5070000000000014,-34.9325,0.032682291173083175,-2.18899,-1.7406700000000002,0.8625,0.0135875,11,0.0,0.0,3.25,3.45,16.21,18.84,19.04,44.16,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
45,20041120,2.333,-5.932,95.185,0.0,97.811,5.355,0.280416667,0.023963376131642167,0.661974,-1.82064,0.8500000000000001,0.01375,11,0.0,0.0,0.0,3.25,16.21,16.21,19.04,44.13999999999999,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
46,20041121,3.1910000000000003,-7.132999999999999,93.456875,0.0,98.341,6.323,-19.59479167,0.07926031032372492,-1.11183,-1.6761,0.8375,0.0139125,11,0.0,0.0,0.0,3.25,16.21,16.21,19.04,36.84,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.303
47,20041122,1.921,-8.219,96.05354167,0.0,98.508,8.912,-26.41083333,0.0038678853381843813,-8.95846,-1.7307400000000002,0.8250000000000001,0.014075,11,0.0,0.0,0.0,0.0,3.45,16.21,19.04,33.62,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.301
48,20041124,0.924,-9.36,98.13229167,0.0,100.15,5.988,2.08,0.007569179590126524,-14.5316,-1.70828,0.8,0.0144,11,0.0,0.0,0.0,0.0,3.25,16.21,18.84,30.99,181.0,0,10,70,18,0,0,0,0,0,1,0,0,0,0,0.295
