,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,1.706,0.772,61.62056458333333,0.0,83.852,84.23200000000001,-55.13935,0.1639883294428327,-52.4073,0.564503,0.4,0.0061,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.311
1,20030102,2.055,1.915,74.47586458333333,1.4,83.40799999999999,45.934,-26.10669739130001,0.16593557235676795,-55.5093,-3.7654400000000003,0.4,0.0054375000000000005,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.32
2,20030103,2.205,2.572,50.06222499999999,0.0,83.07799999999997,82.988,-54.2046645833,0.32633325842535515,-58.5282,-1.72869,0.4,0.004775000000000001,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.309
3,20030108,1.314,-9.42,79.56019791666667,0.0,83.322,46.73,8.19385614583,0.2148157156883881,-24.0476,-3.7654400000000003,0.4,0.0014625,1,1.0859999999999999,2.4719999999999995,2.472,3.872,3.872,3.872,3.872,3.872,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.28500000000000003
4,20030109,1.899,-5.355,72.66928958333334,0.1,83.06200000000003,38.838,-11.82453375,0.1953072413768608,-36.8453,-1.72869,0.4,0.0008,1,0.1,1.186,2.572,2.572,3.972,3.972,3.972,3.972,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.28800000000000003
5,20030110,1.256,-6.127999999999999,65.14857916666666,0.0,83.461,77.128,-35.99382625,0.15009201902980135,-37.5538,0.564503,0.4,0.0013125,1,0.1,0.1,2.572,2.572,3.972,3.972,3.972,3.972,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.289
6,20030111,1.68,-7.732,66.02991666666667,0.0,84.23100000000002,88.26299999999998,-34.311728125,0.13371986117565354,-53.1298,-3.7654400000000003,0.4,0.001825,1,0.0,0.1,1.1860000000000002,2.572,3.972,3.972,3.972,3.972,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.276
7,20030112,1.571,-7.691,34.07239583333333,0.0,84.7,94.16,-75.3625104167,0.4281559816233773,-70.5824,-1.72869,0.4,0.0023375,1,0.0,0.0,0.1,2.572,2.572,3.972,3.972,3.972,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.273
8,20030113,1.4,-5.224,39.357052083333336,0.0,84.95299999999997,67.51100000000001,-45.0154479167,0.3020078516120534,-39.6561,0.564503,0.4,0.00285,1,0.0,0.0,0.1,1.186,2.572,3.972,3.972,3.972,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.273
9,20030114,1.4980000000000002,0.622,64.06633541666666,0.0,85.35,94.509,-40.0514333333,0.08630573869665692,-32.4213,-3.7654400000000003,0.4,0.0033625,1,0.0,0.0,0.0,0.1,2.572,3.972,3.972,3.972,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.275
10,20030115,1.6030000000000002,0.134,63.04618125,0.0,85.381,95.897,-47.7778979167,0.013636205194418256,-32.8487,-1.72869,0.4,0.003875,1,0.0,0.0,0.0,0.1,2.572,3.972,3.972,3.972,1550,1,17,47,35,0,0,0,0,0,0,0,0,0,0,0.276
