,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20090604,1.639,19.312,67.48395833333335,0.0,94.46600000000001,324.741,146.568833333,2.4958945992425416,43.0956,16.3559,1.2000000000000002,0.1724,6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.147
1,20090605,5.3770000000000024,23.025,63.25875,0.0,93.965,317.608,138.7634375,3.0530466176562148,41.2306,20.4631,1.2000000000000002,0.17145000000000002,6,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.162
2,20090606,7.894,27.096,55.38772916666667,0.0,93.286,329.889,136.573854167,3.8525922889469175,24.1491,24.6486,1.2000000000000002,0.1705,6,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.153
3,20090607,7.046,28.291,46.63981250000001,0.2,93.126,209.703,61.8098723404,3.0378760753410035,-25.3238,10.4626,1.2000000000000002,0.16955,6,0.2,0.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.157
4,20090608,3.167,20.628,73.00854166666666,0.0,93.818,332.6880000000001,145.020520833,2.480261470260898,61.6254,13.0316,1.2000000000000002,0.1686,6,0.2,0.2,0.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.168
5,20090609,2.892,24.91,64.75458333333333,0.0,93.54700000000001,251.095,96.6906666667,2.0921679895801795,19.9751,13.0023,1.2000000000000002,0.16765000000000002,6,0.0,0.2,0.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.157
6,20090610,3.133,20.256,81.063125,4.9,93.63600000000001,154.076,40.7992083333,1.6384966275274622,9.10632,-6.8875,1.2000000000000002,0.1667,6,4.9,4.9,5.1000000000000005,5.1000000000000005,5.2,5.2,5.2,5.2,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.16
7,20090612,1.85,23.241,81.59395833333333,0.0,93.80799999999999,278.056,144.19360416700002,2.124899205754,38.9608,12.2108,1.2000000000000002,0.16290000000000002,6,0.0,4.9,4.9,5.1000000000000005,5.2,5.2,5.2,5.2,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.147
8,20090613,3.0780000000000003,23.879,76.44291666666669,0.2,94.15299999999999,284.064,152.81625,2.36415826907118,51.8538,13.1505,1.2000000000000002,0.161,6,0.2,0.2,5.1000000000000005,5.300000000000002,5.300000000000002,5.4,5.4,5.4,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.16
9,20090614,3.819,22.926,87.78000000000002,1.6,93.93799999999999,146.639,42.434333333299996,2.2752592916043164,4.8007800000000005,-5.02856,1.2000000000000002,0.15910000000000002,6,1.8,1.8,6.7,6.7,6.9,7.0,7.0,7.0,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.14300000000000002
10,20090615,6.132999999999999,27.263,65.35166666666667,0.0,93.49700000000001,296.098,128.959541667,3.5582633491357387,18.9993,17.7961,1.2000000000000002,0.1572,6,1.6,1.8,1.8,6.7,6.9,7.0,7.0,7.0,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.14300000000000002
11,20090616,2.3569999999999998,27.866999999999997,69.78145833333333,0.0,93.536,347.673,168.718458333,2.7909452943466446,48.6492,24.608,1.2000000000000002,0.1553,6,0.0,1.6,1.8,6.7,6.9,7.0,7.0,7.0,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.159
12,20090617,4.852,28.909000000000002,60.51754166666666,0.0,93.64399999999999,317.538,130.408958333,2.2179115536387264,34.2631,22.5121,1.2000000000000002,0.1534,6,0.0,0.0,1.8,1.8,6.7,7.0,7.0,7.0,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.159
13,20090618,6.107,29.197,58.786875,0.0,93.439,325.228,138.28175,2.9077429969225275,43.1659,23.0762,1.2000000000000002,0.1515,6,0.0,0.0,1.6,1.8,6.7,6.9,7.0,7.0,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.149
14,20090619,5.553999999999999,26.746,66.21814583333334,0.8,93.522,197.895,79.25655319149999,2.3429227332289484,15.8286,5.61217,1.1875,0.1511375,6,0.8,0.8,0.8,2.6000000000000005,7.500000000000001,7.700000000000001,7.800000000000002,7.8000000000000025,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.15
15,20090620,4.231,24.834,87.81710416666668,9.0,93.531,205.72099999999998,86.4299375,2.9953661632875312,21.9223,-2.5487900000000003,1.175,0.15077500000000002,6,9.8,9.8,9.8,11.4,11.6,16.7,16.8,16.8,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.145
16,20090621,5.122000000000001,28.593000000000004,68.29416666666667,0.0,93.41799999999999,333.464,143.2999375,3.3331198040399554,32.1198,12.5923,1.1625,0.1504125,6,9.0,9.8,9.8,9.8,11.6,16.7,16.8,16.8,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.14400000000000002
17,20090622,3.728,30.351999999999997,57.24647916666667,0.0,93.62700000000001,353.63599999999997,154.055375,3.1936532064930563,39.8519,18.9345,1.15,0.15005000000000002,6,0.0,9.0,9.8,9.8,11.6,16.5,16.8,16.8,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.14400000000000002
18,20090623,3.2910000000000004,30.576999999999998,50.93541666666666,0.0,93.947,337.2290000000001,146.81614583299998,2.825934421780411,50.0043,21.3196,1.1375,0.1496875,6,0.0,0.0,9.8,9.8,11.4,16.5,16.7,16.8,611,1,10,67,21,0,0,0,0,0,0,0,0,0,0,0.14200000000000002
