,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20101029,1.851,-4.805,91.56354166666668,4.0,95.87799999999999,10.505999999999998,0.281625,0.020331620860553262,-0.08200489999999999,-11.555,0.6375000000000001,0.01125,10,4.0,4.0,5.0,5.0,5.0,6.0,6.688,12.624000000000002,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.185
1,20101030,2.105,-6.7079999999999975,89.45956249999998,0.5,96.363,20.939,-5.98408571429,0.017691220513569642,-0.25854,-10.837,0.625,0.0114,10,4.5,4.5,5.5,5.5,5.5,6.5,6.6370000000000005,12.885000000000002,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.185
2,20101101,3.6510000000000002,-3.7680000000000002,66.97947916666668,0.0,95.96799999999999,22.616999999999997,-21.9373235294,0.028392539711029667,-1.2997299999999998,-15.9212,0.6000000000000001,0.0117,11,0.0,0.5,4.5,5.5,5.5,6.5,6.507999999999999,8.939,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
3,20101102,2.54,-7.037000000000001,78.97733333333333,0.0,97.675,11.421,-16.7537647059,0.009060734034639136,-1.55074,-14.6635,0.5875,0.011725,11,0.0,0.0,4.5,4.5,5.5,6.5,6.5,8.939,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
4,20101103,4.985,-4.066,67.21445833333333,1.281,98.09200000000001,17.616,-22.1433589744,0.008182576821227356,-0.878475,-14.4262,0.5750000000000001,0.01175,11,1.281,1.281,1.781,5.7810000000000015,6.7810000000000015,6.7810000000000015,7.7810000000000015,10.22,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
5,20101104,3.466,-0.441,69.92220833333333,2.2680000000000002,95.458,10.245999999999999,-10.708357142899999,0.0159614985282333,-1.2171399999999999,-12.4765,0.5625,0.011775,11,3.5489999999999995,3.5490000000000004,3.5489999999999995,8.049,9.049,9.049,10.049,12.488,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
6,20101105,2.121,-7.223,84.09175,0.025,96.792,18.852,-15.08655,0.009038243336425193,-0.640993,-13.8423,0.55,0.0118,11,2.293,3.574,3.574,4.074,8.074,9.074,10.074,11.640999999999998,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
7,20101107,1.204,-13.058,87.30166666666666,0.484,97.917,4.776,-3.61472916667,0.0009713084127001199,14.4926,-17.5922,0.525,0.01185,11,0.92,0.945,4.494,4.494,8.994,9.994,10.994000000000002,11.682,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
8,20101108,1.68,-12.465,85.36422916666669,0.013999999999999999,98.198,7.67,-3.0657173912999998,0.00015518336530519428,3.27978,-16.5529,0.5125000000000001,0.011875,11,0.498,0.934,3.227,4.508,5.008,10.008,10.008,11.695999999999998,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
9,20101109,0.843,-8.738999999999999,89.01427083333334,0.21,98.485,5.8770000000000024,-3.08197916667,0.0053076444375070725,-0.252743,-15.7959,0.5,0.0119,11,0.22399999999999998,0.708,1.1689999999999998,4.718,4.717999999999999,10.218,10.218,11.355,210.0,0,7,34,59,0,0,0,0,0,1,0,0,0,0,0.18
