,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20010525,2.086,24.779,31.11358333333333,0.0,99.085,323.467,88.330375,3.0596326605352417,75.5046,11.072000000000001,1.4,0.125,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.13699999999999998
1,20010526,2.1519999999999997,21.82800000000001,35.440416666666664,0.0,98.95,350.907,107.040878049,2.4844730782783206,95.8655,8.15012,1.3875000000000002,0.1239,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.162
2,20010527,1.972,16.313,61.70333333333334,0.0,98.771,324.747,84.341175,2.027516389367038,119.009,2.17033,1.375,0.1228,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.162
3,20010528,2.037,17.938,52.80458333333333,0.0,99.0,345.945,100.866275,1.9153724902399687,115.745,5.63501,1.3625,0.1217,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.159
4,20010529,1.94,22.895,41.143125,0.0,99.14200000000001,347.76300000000015,139.452093023,2.1971753525524607,104.059,16.6166,1.35,0.1206,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.154
5,20010530,2.03,28.366999999999997,31.85166666666667,0.0,99.115,344.74800000000016,147.297954545,1.9860878516758889,82.7188,21.5212,1.3375,0.1195,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.156
6,20010531,2.244,31.232,25.495,0.0,98.87899999999999,346.87300000000016,148.58318181799999,2.687218678655641,94.6118,25.0718,1.3250000000000002,0.1184,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.14300000000000002
7,20010601,2.6310000000000002,25.066,35.491875,0.0,98.765,319.462,169.82214583299998,2.3724236462180652,82.5902,10.3657,1.3125,0.1173,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.115
8,20010602,2.194,19.144000000000002,47.64397916666667,0.0,98.848,355.355,191.620479167,2.200829981326056,118.779,5.41279,1.3,0.1162,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.131
9,20010603,2.226,18.848,38.51520833333333,0.0,98.76899999999999,362.098,189.13702083299998,2.2928144443820315,117.501,6.07717,1.3,0.1148625,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.154
10,20010604,2.248,20.664,30.607083333333332,0.0,98.735,361.25300000000004,192.68320833299998,2.3623360519441507,110.458,10.6987,1.3,0.113525,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.161
11,20010605,1.926,20.894000000000002,35.986666666666665,0.0,99.288,351.64,194.265791667,2.6398549098042063,108.943,11.9565,1.3,0.1121875,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.14300000000000002
12,20010606,2.488,23.631,37.03210416666667,0.0,99.456,355.36800000000005,191.8453125,2.6558373025491187,108.15799999999999,15.089,1.3,0.11085,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.133
13,20010608,1.755,25.425,31.1625,0.0,99.125,359.76599999999996,190.4529375,1.8775920535064607,123.319,13.6626,1.3,0.108175,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0,20,44,37,1,0,0,0,0,0,0,0,0,0,0.136
