,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20070630,2.862,29.379,21.12058333333333,0.0,86.355,382.166,135.46195833299998,0.3022812201278984,114.89200000000001,8.87002,0.30000000000000004,0.00555,6,0.0,0.0,0.0,0.0,0.0,0.171,15.1,15.380999999999998,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.075
1,20070701,3.136,30.11,10.532833333333334,0.0,86.31299999999996,381.69300000000004,131.797208333,0.2917395399143875,116.098,8.38171,0.30000000000000004,0.0069125,7,0.0,0.0,0.0,0.0,0.0,0.0,0.9079999999999999,15.380999999999998,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.07400000000000001
2,20070702,3.221,29.899,17.8460625,0.0,86.396,378.681,132.220833333,0.3210143154528017,113.866,7.232,0.30000000000000004,0.008275000000000001,7,0.0,0.0,0.0,0.0,0.0,0.0,0.171,15.380999999999998,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.075
3,20070703,3.105,29.869,15.085083333333335,0.0,86.337,379.556,134.40216666700002,0.21643690017522446,119.525,8.5001,0.30000000000000004,0.0096375,7,0.0,0.0,0.0,0.0,0.0,0.0,0.171,15.380999999999998,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.067
4,20070704,2.702,31.055999999999997,13.553791666666667,0.0,86.223,363.20099999999996,116.838125,0.25346627820156475,102.006,12.7892,0.30000000000000004,0.011000000000000001,7,0.0,0.0,0.0,0.0,0.0,0.0,0.171,15.380999999999998,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.07200000000000001
5,20070705,3.804,28.570999999999998,28.671624999999995,7.874,86.42200000000004,305.742,115.61075,0.29091628025286315,106.26899999999999,2.08625,0.30000000000000004,0.0114625,7,7.874,7.874,7.874,7.874,7.874,7.874,8.045,23.255,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.07200000000000001
6,20070707,2.242,27.025,36.897875,0.0,86.384,308.118,131.7765,1.1960434914375837,101.559,5.2458800000000005,0.30000000000000004,0.0123875,7,0.0,7.874,7.874,7.874,7.874,7.874,7.874,23.255,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.076
7,20070708,3.364,26.869,41.51341666666666,0.0,86.229,352.619,157.274,0.8603010095794169,126.76899999999999,6.10533,0.30000000000000004,0.01285,7,0.0,0.0,7.874,7.874,7.874,7.874,7.874,23.255,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.09699999999999999
8,20070715,1.621,27.241999999999997,42.83620833333333,2.54,86.355,344.537,152.741020833,1.1847982270906794,112.884,5.04167,0.3375,0.0220125,7,2.54,2.58,3.3289999999999997,3.958,3.958,11.832,11.832,12.003,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.081
9,20070716,1.893,27.211,38.72920833333333,0.0,86.21799999999998,268.971,107.2325,1.5130882426745025,74.4117,1.32635,0.35000000000000003,0.02445,7,2.54,2.54,3.3289999999999997,3.958,3.958,11.832,11.832,11.832,1370,0,14,63,22,0,0,0,0,0,0,0,0,1,0,0.081
