,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20140417,5.073201388999999,10.62402778,50.59708333,0.0,84.04861111,214.3076528,98.88218056,2.799999986990608,37.2378542,10.23377083,0.2,-0.0055000000000000005,4,0.1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.11199999999999999
1,20140605,2.8179513889999996,15.44006944,38.84430556,0.0,84.28333333,74.44806944,30.40732639,2.9746922998623377,-11.87860966,-30.90217361,0.95,0.108725,6,0.0,3.0,4.0,4.0,4.0,8.0,8.0,10.1,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.185
2,20140609,3.4897083330000003,22.66381944,21.19,0.0,83.66458333,284.52394439999995,140.148625,6.8046509932757,-15.09461936,10.93238889,1.15,0.120625,6,0.0,0.0,0.0,3.0,4.0,4.0,8.0,9.8,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.16399999999999998
3,20150526,3.608375,20.96368056,31.75173611,0.0,83.88333333,210.1959028,90.94996528,2.3615990367940096,46.99258017,12.24558333,0.75,0.06305000000000001,5,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.2,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.163
4,20170312,6.0917222220000005,0.681097222,40.87777778,0.0,84.31041667,92.05350694,15.74090972,0.4313431059636583,23.57975537,-0.588118056,0.1,-0.00965,3,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.126
5,20180102,1.4569999999999999,-12.54798611,60.9075,0.0,84.83888889,75.92906945,-5.208618057,0.15833273058543118,16.60787551,-10.86904167,0.30000000000000004,-0.007112500000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.109
6,20180103,2.471236111,-14.87284722,65.10548611,0.0,84.64930556,77.978375,-9.926777778,0.1633883775029534,17.39467717,-10.72409028,0.30000000000000004,-0.008225,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.109
7,20180104,1.946465278,-15.88513889,71.36131944,0.0,84.05208333,99.64298611,-5.931999997,0.2095697131975067,21.97326032,-12.92631944,0.30000000000000004,-0.0093375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.109
8,20180105,1.9638819440000002,-16.46555556,85.62020833,0.0,84.17638889,79.14397222,0.293201386,0.1898390304503567,21.84470202,-13.55570139,0.30000000000000004,-0.01045,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.109
9,20180107,1.674944445,-17.46166667,76.99430556,0.0,85.01597222,68.20925694,-16.25088194,0.1920926914407972,15.51708937,-14.96168056,0.30000000000000004,-0.012675,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.103
10,20180108,1.5652152780000002,-15.60111111,48.10638889,0.0,85.13958333,105.50034720000001,-10.2406875,0.28458888295785595,21.3094593,-14.36763194,0.30000000000000004,-0.0137875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.103
11,20180109,1.3509375,-13.38791667,47.901875,0.0,85.37847222,103.5011042,-9.119729167000001,0.2058211969205986,19.31190552,-12.40768056,0.30000000000000004,-0.0149,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.078
12,20180110,1.619097222,-10.70145139,39.27333333,0.0,85.26597222,106.69547920000001,-9.84846528,0.2206604507094,19.4908055,-9.967479167,0.28750000000000003,-0.014575,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.078
13,20180112,1.6542430559999999,-10.50063194,38.28791667,0.0,84.38472222,78.67911806,-15.04721528,0.10005512631793427,11.06070368,-9.217715278,0.2625,-0.013925,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.078
14,20180113,2.1763125,-10.25918056,42.483125,0.0,84.44513889,103.2186319,-7.600909724,0.165452709270418,18.17681325,-8.547354166,0.25,-0.0136,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.078
15,20180115,1.9942083330000002,-7.923625,42.14201389,0.0,84.55833333,66.03344445,-8.842138889,0.11411181642537055,9.427268716,-4.332993056,0.225,-0.01295,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.078
16,20180116,2.9688819439999996,-8.412840277,41.52298611,0.0,83.74444444,95.17747222,1.9400625009999999,0.1879056018967564,20.52338914,-6.795583333,0.2125,-0.012625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.078
17,20180117,1.3187986109999998,-9.199368055,57.98625,0.0,84.36875,105.15109720000001,-3.958499998,0.21013291234929068,21.72919721,-5.472229167,0.2,-0.0123,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.07100000000000001
18,20180118,1.491402778,-8.130618056,41.95104167,0.0,84.74583333,80.87559722,-4.768395831,0.1867573275844783,14.2363631,-6.103465278,0.2,-0.0124625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.07100000000000001
19,20180119,1.659215278,-7.988798611,35.69819444,0.0,84.72708333,111.70698610000001,-1.9040069469999998,0.2442509960889008,25.58976177,-5.670451389,0.2,-0.012625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.07100000000000001
20,20180121,1.418138889,-6.013388889,52.73493056,0.0,84.40555556,82.08443055,11.08642361,0.14398598131014728,15.06034448,-1.8791458330000002,0.2,-0.01295,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0,13,32,54,0,0,0,0,0,0,0,1,0,0,0.07100000000000001
