,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20131114,6.62020816,0.807763778,37.48358844,0.0,92.21965861,114.1275135,11.88375492,0.024475861036853924,2.798010417,-6.412002028,0.2,-0.0026625,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.109
1,20131123,7.487581062,-1.9775471740000001,49.96327639,0.7,92.63967667,83.40016619,1.147392236,0.1306836574351385,-0.380785417,-6.659723625,0.2,-0.0063,11,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.10800000000000001
2,20131230,7.715934861,-5.994804514,50.96058014,0.0,92.24756057,92.38826035,6.025471667000001,0.11535904989300814,-11.35528604,-6.240904652999999,0.2,-0.0081,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.08800000000000001
3,20131231,6.685098472000001,-5.061139166999999,48.33655396,0.0,92.15463481,103.3816338,15.70793646,0.11900964210585488,-0.599681042,-5.4516086810000015,0.2,-0.0086,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.08800000000000001
4,20140106,6.990019722,-8.022568332999999,35.89357778,0.0,92.2137453,90.14758201,5.334512361,0.20649115737937604,-12.33789552,-8.489032361,0.2,-0.00985,1,0.0,0.0,0.0,147.70158,147.70158,147.70158,147.70158,147.70158,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.091
5,20140123,5.675538681,-2.8389501389999996,36.66572028,0.0,91.49347039,98.79079882,18.77076583,0.0772907125812139,0.015974435,-0.6566019439999999,0.2,-0.0119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.70158,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.09
6,20140202,6.140930625,-7.278406736,20.70161375,0.0,92.08073926,130.5648233,38.5329325,0.1982488831502937,24.51163405,-6.285608056,0.2,-0.0124,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.073
7,20140204,5.462964931,-8.238939722000001,16.40186736,0.0,91.86064407,113.74774640000001,28.19893132,0.027437265692686737,21.94143912,-8.328663889,0.2,-0.012725,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.07100000000000001
8,20140225,8.475411597,-0.46513854200000004,31.91309632,0.2,91.99462397,116.63091440000001,40.20055410000001,0.2901349603195,24.0451783,1.938714375,0.2,-0.0174875,2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.10099999999999999
9,20140320,4.677162361000001,5.019155625,27.27208097,0.0,92.70682037,207.2699815,81.83361896,0.8438039492607362,63.69732652,8.429698333,0.2,-0.013375,3,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6000000000000001,874.0,0,14,38,47,0,0,0,0,0,1,0,0,0,0,0.11699999999999999
