,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20091222,3.128,30.526999999999997,48.30888958,0.0,94.867,324.569,185.658067,1.5163315587111512,107.03200000000001,38.4318,1.1,0.20445,12,0.0,0.0,9.561,14.007,15.105,51.474,59.742,92.59299999999999,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.149
1,20091225,1.912,28.948,61.69614583,0.0,94.72399999999999,335.12,149.5045231,2.1885940589355264,81.3261,21.6776,1.1,0.2127,12,0.0,0.0,0.0,5.829,14.007,18.694000000000006,55.879,73.696,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.25
2,20091226,3.727,29.831,60.71427083,0.0,94.587,326.658,156.0209021,1.6695650249580285,122.479,7.6806899999999985,1.1,0.21545,12,0.0,0.0,0.0,0.0,9.611,15.105,54.519,73.696,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.177
3,20091227,2.785,28.898000000000003,59.7148,0.0,94.603,280.962,168.9868898,1.5617590725677517,103.061,16.023,1.1,0.2182,12,0.0,0.0,0.0,0.0,9.561,15.105,51.474,73.27600000000002,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.171
4,20091229,3.569,21.9,66.3104125,0.0,94.542,379.82800000000003,199.04531699999998,3.263425983529248,155.262,3.79167,1.1,0.2206,12,0.0,0.0,0.0,0.0,0.0,14.245,49.038000000000004,59.742,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.205
5,20091230,3.9960000000000004,22.465,56.52484792,0.0,95.06299999999999,303.9190000000001,109.110037,2.875473056090408,69.8793,-25.0026,1.1,0.2218,12,0.0,0.0,0.0,0.0,0.0,14.007,18.694000000000006,59.742,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.19399999999999998
6,20091231,4.735,24.84800000000001,57.63445,30.8,94.914,334.249,209.0635824,2.6345253133672486,120.911,-2.84387,1.1,0.223,12,30.8,30.8,30.8,30.8,30.8,40.411,45.905,90.542,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.153
7,20100102,2.388,27.754,57.67517083,0.0,95.164,397.848,191.9264756,3.2652267991451334,76.8654,36.9551,1.1,0.222425,1,0.9,31.7,31.7,31.7,31.7,37.529,46.48499999999999,87.73700000000002,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.26899999999999996
8,20100105,3.8989999999999996,31.226999999999997,64.20691042,0.5,94.374,369.76099999999997,200.84146090000002,3.2570164977583747,59.1288,35.9618,1.1,0.2171,1,1.8,9.8,10.7,41.5,41.5,41.5,51.111000000000004,96.01899999999999,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.231
9,20100110,3.4139999999999997,29.131,50.77370417,0.0,94.86,386.139,218.3623383,2.2611977913100016,130.559,38.9193,1.1,0.2057625,1,0.0,0.0,0.0,1.8,10.7,41.5,41.5,56.605,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.185
10,20100113,1.9469999999999998,23.783,40.64247917,0.0,95.46700000000001,397.8,222.99939700000002,3.2388619984539506,94.1479,26.675,1.1,0.19305,1,1.0,10.7,10.7,10.7,12.5,52.2,52.2,66.445,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.162
11,20100114,2.155,27.570999999999998,33.30500625,0.0,95.42200000000001,394.166,214.01419330000002,2.349506412758237,89.8468,40.0341,1.1,0.1888125,1,0.0,1.0,10.7,10.7,11.2,52.2,52.2,66.207,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.17600000000000002
12,20100115,2.8689999999999998,28.616999999999997,31.27188125,0.0,95.19200000000001,398.149,201.834661,2.0824999337733425,114.853,35.2615,1.1,0.184575,1,0.0,0.0,10.7,10.7,10.7,21.4,52.2,61.81100000000001,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.14400000000000002
13,20100116,4.691,30.308000000000003,28.52097292,0.0,94.73299999999999,392.70300000000003,195.79804330000002,1.5865565658655438,125.36399999999999,37.0734,1.1,0.1803375,1,0.0,0.0,1.0,10.7,10.7,20.5,52.2,61.761,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.138
14,20100117,3.262,30.71,31.62489792,0.0,94.865,391.751,193.23997549999999,1.5968437271767963,117.036,37.699,1.1,0.1761,1,0.0,0.0,0.0,10.7,10.7,20.5,52.2,58.029,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.109
15,20100120,2.1519999999999997,28.401999999999997,35.88113125,0.0,95.17299999999999,386.392,214.0733133,1.133462983647146,117.353,42.3267,1.1,0.16871250000000002,1,0.0,1.2,1.2,1.2,11.9,11.9,22.6,53.4,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.168
16,20100121,3.344,32.194,31.51596042,0.0,95.069,385.681,196.2927904,1.1264046508193992,137.29399999999998,59.4248,1.1,0.16625,1,0.0,0.0,1.2,1.2,2.2,11.9,21.7,53.4,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.154
17,20100122,2.069,32.244,37.86509583,0.0,95.04299999999999,375.73400000000004,199.38450469999998,0.7598380466411506,122.73,55.5927,1.1,0.1637875,1,0.0,0.0,1.2,1.2,1.2,11.9,21.7,53.4,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.141
18,20100123,2.844,30.208000000000002,46.80124167,0.0,95.193,363.546,173.10492219999998,0.8920870201397538,130.716,50.5047,1.1,0.161325,1,0.0,0.0,0.0,1.2,1.2,11.9,13.7,53.4,505.0,0,4,67,27,0,0,0,0,1,0,0,0,0,0,0.134
