,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20100903,3.219,18.339000000000002,79.77083333333333,19.2,93.815,113.979,74.625,1.3765620594852368,24.479,-12.3125,0.4,0.0384625,9,19.518,19.518,19.518,19.518,23.912,24.532,24.531999999999996,24.532,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.28
1,20100904,2.472,15.739,54.08333333333334,0.0,94.564,285.39599999999996,149.0625,2.778259622735721,78.4767,-8.60417,0.4,0.039475,9,19.2,19.518,19.518,19.518,19.680999999999997,24.378,24.531999999999996,24.532,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.289
2,20100905,2.444,14.909,65.60416666666667,0.0,95.025,282.938,155.72916666700002,2.7759405761512475,92.9588,-3.39583,0.4,0.0404875,9,0.0,19.2,19.518,19.518,19.518,24.378,24.531999999999996,24.532,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.22
3,20100906,3.09,15.324000000000002,55.0,0.0,95.065,282.9790000000001,158.08333333299998,2.457053996884955,96.3198,-0.166667,0.4,0.0415,9,0.0,0.0,19.518,19.518,19.518,24.378,24.531999999999996,24.532,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.19899999999999998
4,20100907,2.658,18.566,43.58333333333334,0.0,94.806,251.021,144.625,2.172595392950105,72.6115,5.95833,0.4,0.0410125,9,0.0,0.0,19.2,19.518,19.518,24.165,24.531999999999996,24.532,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.136
5,20100908,1.989,22.623,45.45833333333334,0.0,94.446,270.938,157.27083333299998,2.4441257163650985,81.7655,13.8958,0.4,0.040525,9,0.0,0.0,0.0,19.518,19.518,23.912,24.531999999999996,24.532,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.183
6,20100909,2.312,23.631999999999998,63.27083333333334,15.4,94.336,208.083,135.9375,2.2925627715597914,55.1636,6.22375,0.4,0.0400375,9,15.4,15.4,15.4,34.6,34.918,35.080999999999996,39.778,39.932,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.157
7,20100910,1.797,18.105,83.625,3.2,94.76299999999999,115.417,74.1666666667,1.370888922863118,22.4396,-12.25,0.4,0.03955,9,18.6,18.6,18.6,18.6,38.118,38.118,42.978,43.132,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.27399999999999997
8,20100911,2.207,19.238,67.91666666666667,0.2,94.807,276.47900000000004,176.29166666700004,3.3106777764724606,71.7331,0.520833,0.4,0.0390625,9,3.4000000000000004,18.8,18.8,18.8,38.31800000000001,38.31800000000001,43.178000000000004,43.332,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.22399999999999998
9,20100912,2.418,20.396,62.1875,0.4,94.679,239.583,141.170212766,2.8160033904843997,65.0021,1.10417,0.4,0.038575000000000005,9,0.6000000000000001,3.8,19.2,19.2,38.4,38.718,43.365,43.732,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.225
10,20100913,1.479,21.94,59.16666666666666,0.0,94.51899999999999,215.5,125.354166667,2.059674619573463,65.9464,3.0,0.4,0.0380875,9,0.4,0.6000000000000001,19.2,19.2,19.2,38.718,43.112,43.732,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.214
11,20100914,2.8680000000000003,20.714000000000002,56.9375,0.0,94.851,281.875,166.0,2.6859988883629256,90.8781,3.1875,0.4,0.0376,9,0.0,0.4,3.8,19.2,19.2,38.718,38.88099999999999,43.732,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.158
12,20100915,3.341,16.182000000000002,54.64583333333334,0.2,95.06,131.47899999999998,77.5208333333,1.7225571743450996,27.8278,-14.1667,0.4125,0.037825,9,0.2,0.2,0.8,19.4,19.4,38.91799999999999,38.91799999999999,43.931999999999995,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.172
13,20100916,2.494,11.887,87.89583333333331,14.2,95.154,49.146,30.9791666667,0.6895039505199192,-16.0068,-18.2917,0.425,0.03805,9,14.4,14.4,14.8,18.2,33.6,53.118,53.118,58.132,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.16699999999999998
14,20100917,2.958,11.155999999999999,85.89583333333333,0.8,95.007,84.81299999999997,64.0416666667,1.0204207839236488,3.48863,-10.0625,0.4375,0.038275,9,15.0,15.2,15.2,15.8,34.4,53.6,53.91799999999999,58.931999999999995,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.28800000000000003
15,20100918,2.9219999999999997,11.363,88.875,3.6,94.84299999999999,63.313,39.3333333333,0.7531680678193909,-11.4048,-11.9583,0.45,0.0385,9,4.4,18.6,18.8,19.2,38.0,38.0,57.518,62.532,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.27
16,20100919,3.701,10.443,68.85416666666667,0.0,95.154,209.333,123.208333333,2.5861287899195657,75.9534,-8.125,0.4625,0.038725,9,3.6,4.4,18.8,18.8,22.6,38.0,57.518,62.378,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.301
17,20100920,3.6510000000000002,12.455,60.16666666666666,0.2,95.27,302.938,164.29787234,2.734502496709497,106.74700000000001,0.583333,0.475,0.03895,9,0.2,3.8,18.8,19.0,19.6,38.2,57.71799999999999,62.57799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.243
18,20100921,2.992,13.501,58.27083333333334,0.0,95.228,314.6670000000001,170.77083333299998,2.1393079309644008,105.15799999999999,4.0,0.4875,0.039175,9,0.2,0.2,4.6000000000000005,19.0,19.4,38.2,57.71799999999999,62.57799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.204
19,20100922,2.819,15.907,52.60416666666666,0.0,95.117,305.2290000000001,166.64583333299998,1.993561329911,93.7907,7.375,0.5,0.0394,9,0.0,0.2,3.8,18.8,19.0,38.2,57.39999999999999,62.36499999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.188
20,20100923,2.911,17.246,52.54166666666666,0.0,95.125,267.83299999999997,141.680851064,1.9465206469330023,95.3004,6.75,0.5,0.0391875,9,0.0,0.0,0.2,4.6000000000000005,19.0,38.2,38.2,62.11199999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.166
21,20100924,2.318,18.035999999999998,53.33333333333334,0.0,95.084,151.792,76.1458333333,1.4951346923469897,36.1391,-2.125,0.5,0.038975,9,0.0,0.0,0.2,3.8,19.0,22.8,38.2,57.88099999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.165
22,20100925,2.158,20.264,46.47916666666666,0.0,94.932,313.25,173.5625,2.102181233284695,90.0693,11.4792,0.5,0.038762500000000005,9,0.0,0.0,0.0,0.2,18.8,19.6,38.2,57.71799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.17800000000000002
23,20100926,2.575,19.892,32.770833333333336,0.0,94.84,319.688,161.0625,2.084355968460537,99.3259,3.04167,0.5,0.03855,9,0.0,0.0,0.0,0.2,4.6000000000000005,19.4,38.2,57.71799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.161
24,20100927,2.2359999999999998,20.070999999999998,33.729166666666664,0.0,94.741,323.438,163.64583333299998,1.8928802882516944,103.855,3.33333,0.5,0.0383375,9,0.0,0.0,0.0,0.0,3.8,19.0,38.2,57.71799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.159
25,20100928,2.009,22.073,31.5625,0.0,94.637,320.08299999999997,166.95833333299998,1.8856952293561042,95.58,6.02083,0.5,0.038125,9,0.0,0.0,0.0,0.0,0.2,19.0,38.2,57.71799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.154
26,20100929,3.46,19.577,43.79166666666666,0.0,94.77799999999999,314.25,164.75,1.8677395956853664,140.034,0.708333,0.5,0.0379125,9,0.0,0.0,0.0,0.0,0.2,19.0,22.8,57.71799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.138
27,20100930,2.8560000000000003,19.073,41.958333333333336,0.0,94.775,319.75,165.14583333299998,1.8981872386930048,121.53399999999999,1.60417,0.5,0.0377,9,0.0,0.0,0.0,0.0,0.0,18.8,19.6,57.71799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.154
28,20101001,2.27,20.62,36.583333333333336,0.0,94.64200000000001,323.64599999999996,168.625,1.7801470064467393,102.68700000000001,5.125,0.5,0.038925,10,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,19.4,57.71799999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.134
29,20101002,2.205,22.706999999999997,30.10416666666667,0.0,94.69,325.5420000000001,166.64583333299998,1.7368764115375916,100.949,4.8125,0.5,0.040150000000000005,10,0.0,0.0,0.0,0.0,0.0,3.8,19.0,57.39999999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.162
30,20101003,2.477,25.104,30.6875,0.0,94.646,322.83299999999997,172.375,1.7627627924912803,104.374,8.77083,0.5,0.041375,10,0.0,0.0,0.0,0.0,0.0,0.2,19.0,38.2,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.12300000000000001
31,20101004,2.859,27.230999999999998,34.666666666666664,0.0,94.575,282.2290000000001,162.45833333299998,1.7773308628977351,86.5872,8.47917,0.5,0.0426,10,0.0,0.0,0.0,0.0,0.0,0.2,19.0,38.2,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.145
32,20101005,3.6919999999999997,21.685,60.60416666666666,1.0,94.72200000000001,170.063,91.375,1.7724020218764833,49.8858,-9.4375,0.5,0.043825,10,1.0,1.0,1.0,1.0,1.0,1.0,19.8,39.2,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.204
33,20101006,2.891,18.61,83.625,13.2,94.656,147.438,94.4042553191,1.4068150734337386,37.2737,-12.375,0.5,0.04505,10,14.2,14.2,14.2,14.2,14.2,14.2,18.8,52.40000000000001,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.21899999999999997
34,20101007,3.595,17.14,83.58333333333333,1.6,94.89200000000001,97.979,71.6041666667,1.4572830807396764,9.53941,-11.6875,0.5,0.046275,10,14.8,15.8,15.8,15.8,15.8,15.8,19.6,54.0,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.27
35,20101008,3.891,17.762999999999995,60.14583333333334,0.0,94.96799999999999,279.47900000000004,177.02127659599998,3.4265649087047096,104.667,0.354167,0.5,0.0475,10,1.6,14.8,15.8,15.8,15.8,15.8,15.999999999999998,54.0,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.236
36,20101009,3.0210000000000004,18.715,45.54166666666666,0.0,94.79299999999999,331.52099999999996,191.91666666700002,2.8002673105761247,123.54899999999999,4.58333,0.5,0.0464625,10,0.0,1.6,15.8,15.8,15.8,15.8,15.999999999999998,38.6,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.17400000000000002
37,20101010,2.401,19.64,45.70833333333334,0.0,94.67,337.167,186.33333333299998,2.158791046024436,120.90100000000001,5.60417,0.5,0.045425,10,0.0,0.0,14.8,15.8,15.8,15.8,15.8,35.4,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.16
38,20101011,2.199,23.381,46.35416666666666,0.0,94.566,314.188,182.58333333299998,1.7853679604935155,91.1099,11.7917,0.5,0.0443875,10,0.0,0.0,1.6,15.8,15.8,15.8,15.8,35.2,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.135
39,20101012,2.359,22.941999999999997,52.91666666666666,0.0,94.65899999999999,122.896,67.0833333333,1.5186459510885604,28.519000000000002,-5.79167,0.5,0.04335,10,0.0,0.0,0.0,14.8,15.8,15.8,15.8,34.8,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.151
40,20101013,2.131,24.086,58.41666666666666,0.2,94.425,195.313,127.583333333,1.629603059078351,57.4445,9.35417,0.5,0.0423125,10,0.2,0.2,0.2,1.8,16.0,16.0,16.0,35.0,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.158
41,20101014,1.923,20.458,90.5,15.4,93.604,69.979,55.5833333333,1.0041266326733678,7.58862,-14.4792,0.5,0.041275,10,15.6,15.6,15.6,15.6,31.4,31.4,31.4,50.39999999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.223
42,20101015,3.3369999999999997,15.874,61.875,0.2,94.488,340.083,174.222222222,3.9386657767520736,117.34899999999999,-14.8646,0.5,0.0402375,10,15.6,15.8,15.8,15.8,30.6,31.6,31.6,50.39999999999999,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.27699999999999997
43,20101016,2.764,13.855,53.20833333333334,0.0,94.87799999999999,360.625,198.64583333299998,2.7027853462416243,130.717,-2.52083,0.5,0.0392,10,0.2,15.6,15.8,15.8,17.4,31.6,31.6,36.2,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.159
44,20101017,2.615,14.745999999999999,53.39583333333334,0.0,94.884,358.375,196.0,2.3654944915198093,138.276,0.645833,0.4875,0.0380875,10,0.0,0.2,15.8,15.8,15.8,31.6,31.6,35.4,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.166
45,20101018,2.655,16.005,46.0625,0.0,94.971,357.042,192.58333333299998,1.9943284185695669,133.628,2.125,0.475,0.036975,10,0.0,0.0,15.6,15.8,15.8,31.6,31.6,31.8,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.128
46,20101019,2.824,17.395,43.625,0.0,95.02600000000001,358.68800000000016,192.875,1.809671954986832,141.14600000000004,2.95833,0.4625,0.0358625,10,0.0,0.0,0.2,15.8,15.8,31.6,31.6,31.8,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.14
47,20101020,2.4459999999999997,19.386,39.0625,0.0,94.87299999999999,353.89599999999996,189.6875,1.69894350949354,137.877,5.25,0.45,0.03475,10,0.0,0.0,0.0,15.6,15.8,30.6,31.6,31.6,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.147
48,20101021,2.124,22.462,34.729166666666664,0.0,94.626,344.72900000000016,186.20833333299998,1.6429264524481968,122.85,7.8125,0.4375,0.0336375,10,0.0,0.0,0.0,0.2,15.8,17.4,31.6,31.6,606.0,0,27,51,21,0,1,0,0,0,0,0,0,0,0,0.14200000000000002
