,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030615,2.529,9.095,84.00625000000002,1.47,97.35799999999999,175.793,111.19958333299999,1.9610709029898328,62.4539,1.55609,1.7625000000000002,0.166825,6,9.51,9.51,12.725,29.582,33.009,33.315,59.94899999999999,66.64999999999999,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.309
1,20030622,1.565,23.506999999999998,40.384395833333336,0.0,96.43299999999999,296.783,180.19145833299999,3.644207599871572,127.762,6.24392,1.9,0.18155,6,0.0,0.0,4.024,4.024,13.534,37.033,37.33899999999999,66.26799999999999,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.228
2,20030623,1.983,25.775,38.76960416666667,0.0,96.369,309.006,186.71691666700002,3.166362657630402,123.306,6.1486300000000025,1.925,0.1813125,6,0.0,0.0,0.05,4.024,13.534,33.605999999999995,37.33899999999999,66.26799999999999,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.217
3,20030624,2.6639999999999997,26.49,44.61979166666666,0.0,96.48299999999999,309.031,197.326645833,2.9335574029528004,128.588,5.9915199999999995,1.95,0.181075,6,0.0,0.0,0.0,4.024,5.494,16.909000000000002,37.33899999999999,64.10299999999998,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.201
4,20030626,3.427,25.56900000000001,61.26000000000001,5.291,95.819,274.483,198.74060416700001,2.388561518740087,93.8416,6.41788,2.0,0.1806,6,8.895,8.895,8.895,8.895,12.919,22.429000000000002,45.928,72.86800000000002,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.238
5,20030628,2.4330000000000003,13.161,73.59877083333333,1.161,96.885,165.14,105.078625,2.2967804917937684,40.9809,3.51571,2.025,0.189075,6,11.662,16.953,20.557,20.557,20.607,34.090999999999994,54.163000000000004,69.39399999999999,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.272
6,20030629,3.3160000000000003,13.722999999999999,83.66270833333333,10.166,97.00200000000001,170.36,126.0380625,1.6487903234287755,51.7791,3.5020800000000003,2.0375,0.1933125,6,11.327,21.82800000000001,30.72300000000001,30.72300000000001,30.72300000000001,36.217,47.63199999999999,70.914,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.263
7,20030630,2.497,14.752,81.83125,3.676,96.708,183.739,159.110085714,2.329806031044328,59.5194,4.2739,2.0500000000000003,0.19755,6,13.842,15.003,30.795,34.399,34.399,38.423,51.148,71.738,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.318
8,20030701,2.4859999999999998,12.261,66.98775,0.924,96.994,296.842,202.46097619,2.316295194419076,104.675,3.79095,2.0625,0.2017875,7,4.6000000000000005,14.766000000000002,26.428,35.323,35.323,39.347,48.85699999999999,72.66199999999998,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.28500000000000003
9,20030702,2.3819999999999997,12.869000000000002,77.53916666666667,1.347,96.552,170.33599999999996,125.46854166700001,1.9729109992839968,51.126999999999995,2.89,2.075,0.206025,7,2.271,5.947,17.274,33.066,36.67,40.694,50.20399999999999,74.009,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.26899999999999996
10,20030703,2.012,18.151,71.19125,0.205,96.12700000000001,280.10200000000003,201.55285416700002,2.9476117679374414,101.676,4.6649400000000005,2.0875,0.2102625,7,1.5519999999999998,2.476,16.317999999999998,27.980000000000004,36.875,36.925,50.409,74.214,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.26
11,20030717,2.612,12.478,90.37624999999998,6.017,96.571,119.51700000000001,95.4494166667,1.5557844624391557,21.8041,3.1743200000000003,2.325,0.1813875,7,9.882,10.532000000000002,10.718000000000002,26.704,34.227,49.077,66.351,89.771,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.27399999999999997
12,20030718,1.714,10.221,92.80208333333331,8.491,96.56299999999999,101.29299999999999,99.62875,1.1134427928488515,7.943860000000001,1.99898,2.35,0.181725,7,14.508,18.373,19.023,30.509999999999994,35.270999999999994,57.363,73.681,94.288,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.29
13,20030719,1.8659999999999999,10.658,85.39145833333333,1.915,96.57,157.84799999999996,139.230895833,1.5959561077865558,33.639,2.09465,2.375,0.1820625,7,10.406,16.423,20.937999999999995,21.123999999999995,37.11,49.74500000000001,65.43,96.153,382,0,8,70,18,0,0,0,0,0,1,0,0,0,0,0.301
