,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20020913,1.9980000000000002,8.127,72.49166666666667,0.9,94.80799999999999,68.96,15.8279166667,1.0394619948351602,-45.8318,-3.85512,1.5375,0.124425,9,1.0,1.0,1.1,16.3,17.0,30.800000000000004,31.000000000000004,56.3,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.20199999999999999
1,20020914,2.0180000000000002,9.631,76.28333333333335,0.0,95.348,196.365,99.9885416667,2.146991621135391,21.7278,-0.718525,1.5,0.1211,9,0.9,1.0,1.0,2.8,16.6,30.300000000000004,31.000000000000004,43.1,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.192
2,20020915,2.221,11.275,75.0041875,0.0,94.62100000000001,184.59599999999998,72.370625,2.1270069390696342,18.0397,0.802137,1.4625,0.113425,9,0.0,0.9,1.0,1.1,16.6,30.20000000000001,30.800000000000004,35.8,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.18899999999999997
3,20020916,2.455,12.245999999999999,77.52916666666665,0.0,94.471,172.66099999999997,71.4352083333,1.8355992616329435,0.331957,4.06665,1.425,0.10575,9,0.0,0.0,1.0,1.0,16.3,18.3,30.800000000000004,35.0,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.19699999999999998
4,20020917,1.7619999999999998,12.29,85.43125000000002,0.0,94.162,122.073,54.9666875,1.512322670447571,19.9861,3.9049099999999997,1.3875000000000002,0.098075,9,0.0,0.0,0.9,1.0,2.8,18.3,30.800000000000004,32.9,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.201
5,20020918,2.161,9.16,75.5041875,0.0,94.62899999999999,186.321,65.9004166667,1.4145729790870385,17.5403,-1.65136,1.35,0.0904,9,0.0,0.0,0.0,1.0,1.1,17.0,30.800000000000004,31.6,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.207
6,20020919,2.05,9.904,78.39375,2.3,93.49600000000001,94.75299999999999,37.7048125,1.3939777741698585,-9.35886,0.7272109999999999,1.3125,0.082725,9,2.3,2.3,2.3,3.2,3.3,18.9,32.6,33.7,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.177
7,20020920,3.859,6.754,92.67083333333332,7.3,93.679,81.202,45.57,0.951947022781892,-37.4524,-6.77268,1.275,0.07505,9,9.6,9.6,9.6,9.6,10.6,26.2,39.8,40.6,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.207
8,20020921,3.759,4.4,88.675,3.4,95.06,141.931,62.2583333333,1.3221854358901852,-14.0093,-10.9052,1.2375,0.067375,9,10.7,13.0,13.0,13.0,14.0,29.3,31.3,44.0,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.19399999999999998
9,20020922,2.222,1.808,88.26875,0.4,95.681,104.271,40.3939583333,0.7139199674014065,-4.2769,-16.4773,1.2000000000000002,0.0597,9,3.8,11.1,13.4,13.4,14.3,16.2,31.7,44.40000000000001,520,0,10,27,21,0,0,0,0,0,1,0,0,0,0,0.18100000000000002
