,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20120106,5.8420000000000005,6.388999999999999,72.64104166666667,0.0,100.448,96.863,27.320875,0.20569833511658075,-4.59237,-1.17998,0.6000000000000001,0.009525,1,0.073,0.073,2.66,9.679000000000002,9.679000000000002,9.679000000000002,9.679000000000002,9.679000000000002,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.238
1,20120107,3.7060000000000004,5.473,69.32520833333332,0.0,100.99,100.72200000000001,36.5852291667,0.27601890076882457,16.6059,-0.121813,0.6000000000000001,0.00885,1,0.0,0.073,0.498,9.679000000000002,9.679000000000002,9.679000000000002,9.679000000000002,9.679000000000002,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.252
2,20120108,2.345,0.8290000000000001,55.29460416666666,0.06,102.412,56.762,4.60595833333,0.2794606242689279,18.2509,-6.1559,0.6000000000000001,0.008175,1,0.06,0.06,0.133,2.72,9.739000000000004,9.739000000000004,9.739000000000004,9.739000000000004,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.239
3,20120109,4.258,2.9810000000000003,67.3010625,0.364,101.75200000000001,89.32700000000001,18.2925208333,0.2884719221904471,9.38447,-5.42283,0.6000000000000001,0.0075000000000000015,1,0.424,0.424,0.4970000000000001,0.922,10.103000000000003,10.103000000000003,10.103000000000003,10.103000000000003,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.238
4,20120110,3.008,3.676,72.77125,0.17600000000000002,101.337,94.38799999999999,11.472479166700001,0.1810469081557929,17.4628,-3.2634,0.6000000000000001,0.0067,1,0.54,0.6000000000000001,0.6000000000000001,0.6729999999999999,10.279000000000003,10.279000000000003,10.279000000000003,10.279000000000003,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.226
5,20120112,4.223,4.758,92.67708333333331,8.703,99.425,9.566,6.6224166666699995,0.068447580159908,-15.1398,1.75223,0.6000000000000001,0.0051,1,9.509,9.685,10.109,10.109,10.607,19.788000000000004,19.788000000000004,19.788000000000004,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.239
6,20120113,6.287000000000001,-3.827,87.80416666666667,3.162,100.00399999999999,28.366,9.1694893617,0.8391964227351028,9.53957,-6.9012899999999995,0.6000000000000001,0.0043,1,11.864999999999998,12.670999999999998,13.211,13.270999999999999,13.344000000000001,22.95000000000001,22.95000000000001,22.95000000000001,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.252
7,20120114,3.431,-7.472,73.2,0.385,101.669,77.734,18.9487916667,0.5020118928455519,41.7668,-5.39085,0.6000000000000001,0.0035,1,3.547,12.25,13.232000000000001,13.656,13.729,23.335000000000004,23.335000000000004,23.335000000000004,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.239
8,20120115,2.52,-9.411,66.48295833333333,0.0,102.87899999999999,116.45,30.445375,0.11779880924507252,24.1426,-6.6465,0.6000000000000001,0.0027,1,0.385,3.5469999999999997,13.056,13.595999999999998,13.655999999999999,23.335000000000004,23.335000000000004,23.335000000000004,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.238
9,20120116,4.471,1.273,71.11958333333334,1.516,101.704,80.40899999999998,26.1548333333,0.2199360372895452,-19.3191,-5.65077,0.6000000000000001,0.0019,1,1.516,1.901,13.765999999999998,14.747999999999998,15.172,17.832,24.85100000000001,24.85100000000001,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.226
10,20120118,3.827,-3.944,59.430625,0.366,101.82700000000001,54.773999999999994,13.908020833299998,0.9927738658795766,44.5595,-7.2797899999999975,0.6000000000000001,0.0014625,1,13.921,15.437,15.822000000000001,27.686999999999998,29.033,29.166,38.77200000000001,38.77200000000001,260,0,5,82,11,0,0,0,1,0,0,0,0,0,0,0.265
