,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20090408,0.7829999999999999,10.91,76.76454166666666,0.0,96.34200000000001,198.805,111.245797083,1.7724069579963295,65.8492,2.67239,1.0375,0.1002125,4,0.0,0.0,3.78,3.78,10.08,24.57,35.28,58.59000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.193
1,20090409,0.902,11.957,76.7892083333333,0.0,96.615,244.74099999999999,134.89871041700002,1.7863476158031666,97.0302,1.51173,1.075,0.103225,4,0.0,0.0,3.78,3.78,3.78,23.94,34.65,58.59000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.19899999999999998
2,20090410,1.264,13.185,67.25167708333333,0.0,96.10600000000001,251.642,140.10345,2.3530848051518185,99.6192,-3.3827,1.1125,0.1062375,4,0.0,0.0,0.0,3.78,3.78,23.94,34.65,54.81000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.201
3,20090411,0.871,12.397,66.87954166666667,0.0,95.896,256.836,141.514939792,2.3665394541532545,99.833,2.67239,1.15,0.10925,4,0.0,0.0,0.0,3.78,3.78,22.05,34.65,52.92000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.203
4,20090412,1.055,11.575999999999999,75.11452083333334,0.0,95.9,243.571,139.832300625,2.0602251375502845,92.8121,1.51173,1.1875,0.1122625,4,0.0,0.0,0.0,0.0,3.78,22.05,34.02,45.99000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.203
5,20090413,0.9890000000000001,10.65,77.77658333333333,0.0,95.821,232.68099999999998,127.053998729,1.9954334633324973,86.65299999999998,-3.3827,1.225,0.115275,4,0.0,0.0,0.0,0.0,3.78,10.08,24.57,45.99000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.187
6,20090414,1.092,10.850999999999999,72.71258333333334,0.0,95.848,245.437,139.20727583299998,2.1883516620832317,90.6021,2.67239,1.2625000000000002,0.1182875,4,0.0,0.0,0.0,0.0,3.78,3.78,23.94,38.43000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.18
7,20090415,1.097,10.999,70.39123958333333,0.0,96.104,260.722,144.500765417,2.3323853109210098,110.79,1.51173,1.3,0.1213,4,0.0,0.0,0.0,0.0,0.0,3.78,23.94,38.43000000000001,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.18899999999999997
8,20090416,1.8880000000000001,12.777999999999999,68.65339583333333,0.0,95.744,252.653,137.640856042,2.2762859540611013,93.4297,-3.3827,1.3625,0.1269375,4,0.0,0.0,0.0,0.0,0.0,3.78,22.05,37.8,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.182
9,20090417,2.73,9.296,84.56857291666667,3.0,95.49799999999999,121.662,77.4189864578,1.7418817207876676,23.5709,2.67239,1.425,0.132575,4,3.0,3.0,3.0,3.0,3.0,6.779999999999999,25.05,40.8,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.177
10,20090418,2.153,9.817,75.73696875,0.0,96.14200000000001,195.49099999999999,105.59870395799999,2.4472736392803407,60.1101,1.51173,1.4875,0.13821250000000002,4,3.0,3.0,3.0,3.0,3.0,6.779999999999999,13.079999999999998,38.28,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.198
11,20090419,1.024,9.765,73.23881250000002,0.0,96.931,261.752,135.998456565,2.477193040962661,114.75,-3.3827,1.55,0.14385,4,0.0,3.0,3.0,3.0,3.0,6.779999999999999,6.7799999999999985,37.65,426,0,17,46,36,0,0,0,0,0,0,1,0,0,0,0.183
