,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20070628,3.885,24.509,64.05451041666667,0.0,100.796,318.596,102.527870833,0.10123911710605234,100.765,4.02044,0.2,-0.00235,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11599999999999999
1,20070629,1.955,23.052,73.60858333333333,0.0,101.07,330.88599999999997,117.34602916700001,0.0039350445738454394,106.669,10.5653,0.2,-0.002325,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11599999999999999
2,20070630,2.775,24.72,62.55729166666666,0.0,100.947,336.088,104.099270208,0.1629155043618992,98.0699,7.72779,0.2,-0.0023,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.115
3,20070701,3.111,22.834,75.55464583333331,0.23,100.552,337.509,118.858256875,0.3081963538556552,107.728,4.06086,0.2,-0.002275,7,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11
4,20070702,2.002,23.113000000000003,72.18958333333333,0.0,100.60700000000001,339.09,114.993135417,0.14497945317599134,106.87700000000001,11.6347,0.2,-0.0022500000000000003,7,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11
5,20070703,2.222,23.59800000000001,68.95403125,0.46,100.777,367.50300000000004,115.80590416700001,0.1513846269567247,101.198,8.55167,0.2,-0.002225,7,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11
6,20070704,2.439,25.663,62.146375,0.0,100.74700000000001,382.185,114.17237020799999,0.4293365157269393,93.4219,14.2946,0.2,-0.0022,7,0.46,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11599999999999999
7,20070705,6.937,26.344,56.43393749999999,0.0,101.178,378.131,118.70733604200001,0.07245143259211598,104.56700000000001,1.4785700000000002,0.2,-0.0027500000000000003,7,0.0,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11599999999999999
8,20070706,5.968,25.936,47.52945833333333,0.0,101.015,367.22900000000004,105.93203979200001,0.10025954635126988,94.0454,2.27773,0.2,-0.0033,7,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11699999999999999
9,20070707,2.918,25.516,51.79285416666666,0.0,100.85600000000001,354.957,104.66791708299999,0.17713521097703905,94.345,10.484000000000002,0.2,-0.00385,7,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.08600000000000001
10,20070708,2.555,24.18,74.66472916666667,0.0,100.882,371.38699999999994,120.35262255200001,0.3208335978637352,103.09899999999999,8.182839999999999,0.2,-0.0044,7,0.0,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.08600000000000001
11,20070709,3.089,25.38,71.350375,0.0,100.80799999999999,361.936,114.267732354,0.11999576039406365,95.3487,10.5225,0.2,-0.00495,7,0.0,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.08600000000000001
12,20070710,4.052,26.219,56.86777083333334,0.0,101.17,370.82599999999996,107.315985833,0.15761917382844026,105.40799999999999,6.96978,0.2,-0.0055000000000000005,7,0.0,0.0,0.0,0.0,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11699999999999999
13,20070711,2.95,25.729,51.15922916666667,0.0,101.126,370.865,102.56097916700001,0.03386020153067318,98.9262,8.30419,0.2,-0.006050000000000001,7,0.0,0.0,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11599999999999999
14,20070712,6.1229999999999976,27.165,41.092364583333335,0.0,101.01899999999999,339.836,97.1076229167,0.07385127628441222,86.7459,2.8314,0.2,-0.0066,7,0.0,0.0,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.113
15,20070713,5.462999999999999,28.090999999999998,37.93521875,0.0,100.839,365.539,97.7749170833,0.14962488354836168,80.8068,5.81819,0.2,-0.00745,7,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11
16,20070714,5.352,28.122,36.24091666666667,0.0,100.8,357.87699999999984,98.0224504167,0.1932627438691681,77.4251,5.66441,0.2,-0.0083,7,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11
17,20070715,4.184,26.241,61.88925,0.0,100.741,338.77099999999996,104.810877229,0.08585317660039818,95.5196,6.88502,0.2,-0.00915,7,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.115
18,20070716,3.535,24.394000000000002,78.23021874999998,0.0,100.788,333.846,118.078275625,0.07558326817518446,98.5384,5.03342,0.2,-0.01,7,0.0,0.0,0.0,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.115
19,20070717,2.338,24.70300000000001,71.69165625,0.0,100.8,364.668,105.14888125,0.1613206760173546,93.4436,8.95154,0.2,-0.01085,7,0.0,0.0,0.0,0.0,0.0,0.46,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.115
20,20070718,2.198,24.410999999999998,73.58764583333333,0.0,100.795,369.14099999999996,109.38788854200001,0.12837911942469382,97.4341,8.30841,0.2,-0.0117,7,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.6900000000000001,58,0,18,38,39,0,0,0,0,0,0,0,0,1,0,0.11
