,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20070102,2.5140000000000002,5.496,28.318541666666665,0.0,92.99,155.97899999999996,-18.5710416667,1.379079048692128,-52.9221,-2.3252099999999998,1.2125,0.0502375,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.24
1,20070103,3.0469999999999997,5.095,25.764166666666664,0.0,92.866,156.785,-4.85916666667,1.5119380153303268,-38.5575,-2.77021,1.225,0.050375,1,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.225
2,20070104,3.1439999999999997,4.601,26.284375,0.0,92.45700000000001,130.184,-6.210833333330001,1.7607705976326835,-40.6164,-3.06208,1.2375,0.0505125,1,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.23
3,20070105,2.079,2.167,48.77520833333333,0.0,92.324,127.82600000000001,7.978125,0.9194914860717008,3.47136,-3.7572900000000002,1.25,0.05065,1,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.212
4,20070106,1.7169999999999999,1.703,39.70270833333333,0.0,92.25399999999999,158.893,24.365,1.0738643819081857,18.7969,-4.81896,1.2625000000000002,0.0507875,1,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.163
5,20070107,1.9569999999999999,0.636,51.13875,0.0,92.09100000000001,160.06799999999996,33.5447916667,0.9716250519493218,27.5081,-5.12333,1.275,0.050925000000000005,1,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.207
6,20070108,2.181,2.5,30.033125,0.0,92.007,160.756,37.680625,1.231512861481712,10.5595,-3.4614599999999998,1.2875,0.0510625,1,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.222
7,20070109,3.068,5.645,20.60375,0.0,91.859,154.07,41.3804166667,2.3280718956265702,-43.8276,0.11520799999999999,1.3,0.0512,1,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.212
8,20070110,3.1069999999999998,4.961,20.075,0.0,92.006,138.707,23.554375,1.424322179089278,-28.0324,0.057291699999999994,1.3,0.0505375,1,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.14300000000000002
9,20070111,0.8370000000000001,1.5190000000000001,36.93125,0.0,92.537,163.597,44.8341666667,0.8520769209911503,21.2987,-1.8102099999999999,1.3,0.049875,1,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,2267,0,14,51,28,0,0,0,0,0,0,0,0,1,0,0.203
