,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040630,2.8,24.002,39.74895833,0.0,98.514,384.146,210.23375,3.204588554696352,119.745,3.28242,3.0375,0.23085,6,0.0,0.0,0.0,0.0,2.0,2.2,37.8,37.8,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.24100000000000002
1,20040701,3.35,23.93,37.65,0.0,98.397,346.082,189.8372917,3.0740231587306264,100.764,-2.49895,3.0250000000000004,0.228,7,0.0,0.0,0.0,0.0,2.0,2.2,3.4000000000000004,37.8,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.289
2,20040702,4.614,20.636,41.54875,0.0,98.577,380.657,202.7508333,2.8665738090327944,143.939,-1.47545,3.0125,0.22515,7,0.0,0.0,0.0,0.0,1.0,2.2,3.4000000000000004,37.8,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.23
3,20040703,3.536,21.257,37.64729167,0.0,98.725,395.844,205.6475,2.687409979693552,146.804,-1.32525,3.0,0.2223,7,0.0,0.0,0.0,0.0,0.0,2.2,3.4000000000000004,37.8,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.28200000000000003
4,20040704,2.748,22.016,44.60270833,0.0,98.572,383.42,207.3289583,2.718942317899183,150.286,-2.49895,2.9875000000000003,0.2227,7,0.0,0.0,0.0,0.0,0.0,2.0,3.4000000000000004,37.8,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.19899999999999998
5,20040705,2.668,21.351,73.899375,0.0,98.565,256.97700000000003,151.2664894,1.7047522445850811,97.2135,-1.47545,2.975,0.2231,7,0.0,0.0,0.0,0.0,0.0,2.0,2.2,37.8,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.336
6,20040706,1.989,20.939,76.16583333,3.2,98.393,181.175,101.5197708,1.7080255611696136,26.6064,-1.32525,2.9625000000000004,0.2235,7,3.2,3.2,3.2,3.2,3.2,5.2,5.4,41.0,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.236
7,20040707,2.69,20.168,78.35416667,1.4,97.996,243.976,156.0319583,2.309575756618794,82.0312,-2.49895,2.95,0.2239,7,4.6,4.6,4.6,4.6,4.6,5.6,6.8,42.4,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.247
8,20040708,3.63,19.705,56.65,0.0,98.123,258.045,151.3126458,2.3947490627060297,89.8505,-1.47545,2.9375,0.2243,7,1.4,4.6,4.6,4.6,4.6,4.6,6.8,42.4,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.276
9,20040709,3.935,18.102,47.943125,0.0,98.629,327.875,179.97291669999996,2.0521025479868267,114.951,-1.32525,2.9250000000000003,0.2247,7,0.0,1.4,4.6,4.6,4.6,4.6,6.6,42.4,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.268
10,20040710,2.907,19.039,45.83395833,0.0,98.523,263.705,147.1364792,2.256359660331249,99.2274,-2.49895,2.9125,0.2251,7,0.0,0.0,4.6,4.6,4.6,4.6,6.6,42.4,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.28
11,20040711,4.268,18.875,41.56375,0.0,98.347,352.04400000000015,189.1395833,2.2369437448993565,131.458,-1.47545,2.9000000000000004,0.2255,7,0.0,0.0,1.4,4.6,4.6,4.6,6.6,8.0,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.235
12,20040712,5.082,17.611,52.18770833,0.0,98.253,344.724,189.1077083,1.8668389824513127,156.437,-1.32525,2.9000000000000004,0.2243625,7,0.0,0.0,0.0,4.6,4.6,4.6,5.6,8.0,270,0,31,29,37,0,0,1,0,0,0,0,0,0,0,0.267
