,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040207,1.4480000000000002,1.403,85.94158958333333,0.0,86.15100000000002,59.55,9.4141875,0.32058089549656993,-14.6532,-1.9129,1.6,0.00695,2,0.0,0.0,0.0,0.0,0.392,6.567,10.203,24.185,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.293
1,20040208,2.1,2.074,35.72320625000001,0.0,85.72,135.399,2.31258333333,0.349982582955443,23.6695,-0.317842,1.6,0.0076,2,0.0,0.0,0.0,0.0,0.0,6.2070000000000025,10.075,21.788000000000004,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.299
2,20040209,2.053,-1.386,39.587233333333344,0.0,86.20700000000002,136.95600000000002,7.614666666669999,0.36878903775719774,33.6811,0.399568,1.6,0.00825,2,0.0,0.0,0.0,0.0,0.0,4.947,9.875,21.134000000000004,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.299
3,20040210,1.165,-2.45,44.95578750000001,0.0,86.801,135.86700000000002,17.6374791667,0.20676847633686,42.2356,-0.621069,1.6,0.0089,2,0.0,0.0,0.0,0.0,0.0,3.697,9.262,21.134000000000004,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.299
4,20040211,1.726,0.7609999999999999,48.60718333333333,0.0,85.87299999999998,139.372,31.3774375,0.31104666977688383,21.8653,-0.317842,1.5750000000000002,0.0089625,2,0.0,0.0,0.0,0.0,0.0,1.774,7.701,20.785000000000004,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.299
5,20040212,0.897,-2.275,71.69998125,0.0,86.195,123.62,31.9084375,0.1891477897618207,35.4357,0.399568,1.55,0.009025,2,0.0,0.0,0.0,0.0,0.0,0.392,6.567,20.784000000000002,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.299
6,20040213,1.8659999999999999,-1.17,73.40558958333334,0.0,86.633,132.122,53.4077291667,0.4031134586761747,28.1466,-0.621069,1.525,0.0090875,2,0.0,0.0,0.0,0.0,0.0,0.0,6.2070000000000025,20.784000000000002,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.29600000000000004
7,20040214,1.551,3.7939999999999996,43.22975625,0.0,86.249,88.874,-14.6791875,0.3398696323852355,0.670103,-0.317842,1.5,0.00915,2,0.0,0.0,0.0,0.0,0.0,0.0,4.947,20.179000000000002,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.29600000000000004
8,20040215,1.6640000000000001,2.96,42.87826458333333,0.0,85.89200000000002,138.466,23.365458333299998,0.4112602692162423,20.2611,0.399568,1.475,0.0092125,2,0.0,0.0,0.0,0.0,0.0,0.0,3.697,20.158,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.29600000000000004
9,20040216,1.104,0.9490000000000001,61.99814583333333,0.0,86.258,149.495,30.9235625,0.28686519564699425,53.2016,-0.621069,1.4500000000000002,0.009275,2,0.0,0.0,0.0,0.0,0.0,0.0,1.774,18.384,1353,0,16,44,38,0,0,0,0,0,1,0,0,0,0,0.294
