,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040101,2.971,8.031,76.12794166666667,0.2,98.682,81.533,-10.5930208333,0.5022620599400025,13.734000000000002,3.0606,1.1,0.0275,1,0.39899999999999997,15.125,33.233999999999995,33.233999999999995,36.61699999999999,40.79599999999999,40.79599999999999,56.11899999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.293
1,20040102,1.88,4.855,95.56515,2.2,98.219,24.182,-4.04375,0.2587270833502027,-22.8952,4.75413,1.0875,0.0279125,1,2.4000000000000004,2.599,33.643,35.434,37.026,42.996,42.996,58.31899999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.28700000000000003
2,20040103,4.73,5.607,75.9433125,0.0,98.62799999999999,86.348,42.286875,0.5316909371481913,12.402999999999999,4.3977900000000005,1.075,0.028325000000000006,1,2.2,2.4000000000000004,17.325000000000006,35.434,35.633,42.996,42.996,54.33899999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.278
3,20040104,2.8289999999999997,3.11,76.78226666666666,0.0,99.088,88.94,32.7057916667,0.2625720110086165,19.305999999999997,5.82463,1.0625,0.028737500000000006,1,0.0,2.2,2.5989999999999998,33.643,35.434,42.996,42.996,53.54299999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.276
4,20040105,1.8840000000000001,2.526,71.09754583333334,0.0,99.585,90.891,34.90625,0.2794519217856001,23.0526,7.21823,1.05,0.02915,1,0.0,0.0,2.4000000000000004,17.325,35.434,39.215,42.996,53.343999999999994,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.275
5,20040106,1.713,4.238,82.55117708333333,0.0,100.04,82.68,38.1821041667,0.2506334855065748,25.4719,5.48721,1.0375,0.0295625,1,0.0,0.0,2.2,2.599,35.434,38.81699999999999,42.996,51.751999999999995,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.265
6,20040114,1.78,12.593,88.23125625,0.0,98.491,68.007,23.6016041667,0.2682356232611336,18.9762,-2.73008,1.0,0.02755,1,0.0,0.0,0.0,14.8,15.0,17.599,50.434,57.996,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.257
7,20040115,4.269,9.628,58.63042083333333,0.6,98.575,88.73299999999998,5.74125,0.5233809822682199,25.6514,1.2795,1.0,0.0269,1,0.6,0.6,0.6,15.0,15.6,18.0,51.034,58.59599999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.264
8,20040116,2.009,6.0,67.71531041666667,1.6,99.426,55.409,8.283125,0.3194882765168277,0.307666,5.35767,1.0,0.02625,1,2.2,2.2,2.2,2.2,17.2,19.4,52.63399999999999,60.19599999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.252
9,20040124,3.196,1.295,48.80918333333333,0.0,99.514,109.796,9.9336875,0.24041699352627244,24.415,6.948189999999999,1.0,0.0267375,1,0.0,0.2,3.2,21.65,24.65,24.65,39.65000000000001,75.084,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.24
10,20040125,1.841,0.47100000000000003,59.39859166666667,0.0,99.10600000000001,31.505,2.914125,0.1196939435033258,-0.674609,6.54885,1.0,0.0269,1,0.0,0.0,0.2,6.857,24.05,24.65,39.65000000000001,75.084,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.217
11,20040131,1.6480000000000001,3.009,51.474164583333334,0.0,100.64399999999999,116.762,33.6147916667,0.5027822985957782,43.0703,6.68058,1.0,0.0443,1,0.6729999999999999,10.273,17.273,19.673,19.873,42.12299999999999,44.32299999999999,61.523,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.244
12,20040201,1.2819999999999998,6.894,64.72242083333333,0.0,100.705,69.658,30.490375,0.2227044604738806,21.1159,1.1345,1.0,0.0472,2,0.0,0.6729999999999999,12.473,19.673,19.673,41.32299999999999,44.32299999999999,59.32299999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.24100000000000002
13,20040202,1.249,7.05,82.50415,0.0,100.78200000000001,73.49600000000002,41.1186875,0.3640064325915826,28.1059,0.618104,1.0,0.050100000000000006,2,0.0,0.0,10.273,17.273,19.673,26.53,44.32299999999999,59.32299999999999,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.28
14,20040203,1.594,8.355,81.81708958333333,0.2,100.87799999999999,110.36,48.6564791667,0.4338918255600212,44.7271,-0.230625,1.0,0.050625,2,0.2,0.2,0.873,12.672999999999998,19.873,23.073,44.523,59.523,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.27699999999999997
15,20040204,1.449,8.716000000000001,78.26103333333333,0.0,101.116,118.65,58.9999375,0.4138576255449085,45.7543,1.36954,1.0,0.05115,2,0.2,0.2,0.2,10.472999999999999,19.873,20.073,43.923,59.523,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.28
16,20040205,1.599,7.445,87.38295208333334,0.2,100.995,75.67399999999998,44.4445,0.39438633957060176,28.198,0.104646,1.0,0.051675000000000006,2,0.2,0.4,0.4,1.073,17.673000000000005,20.273,42.523,59.723,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.27
17,20040206,0.965,9.623,79.50051666666667,0.0,100.79299999999999,60.202,31.756375,0.1889082439014484,28.1156,-2.07575,1.0,0.0522,2,0.2,0.2,0.4,0.4,12.873,20.073,41.723,59.523,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.265
18,20040207,1.8730000000000002,9.344,84.35825416666665,0.0,100.331,28.225,13.013333333299999,0.09215075854003256,5.5728800000000005,-1.09775,1.0,0.052725,2,0.0,0.2,0.4,0.4,10.673,20.073,26.93,59.12300000000001,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.268
19,20040228,2.983,5.225,92.37104166666666,12.4,97.79799999999999,76.268,39.8378333333,0.20751906578857046,10.7106,3.03979,1.025,0.06355000000000001,2,16.6,25.8,33.40000000000001,46.80000000000001,105.8,132.8,133.0,134.27299999999997,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.301
20,20040229,1.851,4.2410000000000005,84.10604166666667,3.0,98.777,127.939,69.9855625,0.4586199307557658,35.0967,4.01081,1.0375,0.064875,2,15.4,19.6,36.2,38.00000000000001,55.600000000000016,135.8,135.8,136.59999999999997,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.293
21,20040301,2.741,2.414,97.55,7.2,99.404,56.666000000000004,25.6223125,0.1947468310699924,1.8189,4.13585,1.05,0.06620000000000001,3,10.2,22.6,36.0,43.6,62.6,143.0,143.0,143.79999999999995,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.301
22,20040302,4.093,2.963,72.3075,0.0,100.096,173.81,67.5097916667,0.6502342666371796,78.9641,4.26863,1.0625,0.067525,3,7.2,10.2,26.8,43.4,57.0,143.0,143.0,143.79999999999995,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.294
23,20040303,3.3510000000000004,5.279,59.650208333333346,0.0,100.279,181.828,69.066875,0.7171180274313359,64.1088,3.02829,1.075,0.06885000000000001,3,0.0,7.2,22.6,36.0,45.2,143.0,143.0,143.79999999999995,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.27899999999999997
24,20040304,2.374,7.675,52.641875,0.0,99.929,182.497,73.464375,0.5131863082602709,79.6366,1.69115,1.0875,0.070175,3,0.0,0.0,10.2,26.8,43.6,116.0,143.0,143.59999999999997,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.272
25,20040305,1.516,7.671,75.205625,0.0,99.825,158.07,80.9263958333,0.4893408112280581,69.0028,0.313313,1.1,0.07150000000000001,3,0.0,0.0,7.2,22.6,43.4,62.8,143.0,143.59999999999997,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.253
26,20040306,2.123,8.506,71.72416666666669,0.0,100.046,99.461,57.2297708333,0.4001970481346791,32.7707,-0.700021,1.1125,0.0782125,3,0.0,0.0,0.0,10.2,36.0,62.6,143.0,143.39999999999995,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.254
27,20040307,2.024,6.272,97.46041666666667,21.2,99.44,30.208000000000002,15.9039166667,0.3767599685193808,-11.3648,-0.422833,1.125,0.084925,3,21.2,21.2,21.2,28.4,48.0,78.2,164.2,164.59999999999997,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.265
28,20040308,1.595,5.513999999999999,85.81874999999998,0.2,99.45,115.43700000000001,59.5679791667,0.6277390909735516,32.7437,1.28277,1.1375,0.0916375,3,21.4,21.4,21.4,21.4,44.0,66.60000000000001,164.4,164.79999999999995,160,0,19,51,29,0,0,0,1,0,0,0,0,0,0,0.265
