,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,1.248,-10.157,74.72722292,0.0,98.11,95.813,101.6032252,0.3357482044025137,27.2987,-1.58931,1.0,0.0153,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.29600000000000004
1,20000227,1.638,-11.164,74.88347292,0.0,99.188,108.745,85.71664366,0.3745885129615499,32.0022,-1.6185200000000002,1.0,0.0154,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.29600000000000004
2,20000228,3.896,0.303,77.05076042,0.099,98.367,60.659,25.82069444,0.7327960912804438,-23.1678,-1.6543599999999998,1.0,0.0155,2,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.29600000000000004
3,20000229,3.532,3.073,69.52826875,0.099,97.752,39.177,-20.12376667,0.16850224782236511,-33.3427,-1.6646900000000002,1.0,0.0156,2,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.307
4,20000301,2.833,0.95,80.6652125,0.7959999999999999,97.485,42.976000000000006,5.409311875,0.5278817463007184,-26.4295,-1.62132,1.0,0.015700000000000002,3,0.8949999999999999,0.9940000000000001,0.9940000000000001,0.994,0.9940000000000001,0.994,0.9940000000000001,0.994,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.317
5,20000303,2.685,-0.652,78.42062708,0.688,97.417,112.226,49.05631604,0.8888936503902685,14.9826,-1.63887,1.0,0.0159,3,2.4530000000000003,3.2489999999999997,3.447,3.447,3.447,3.447,3.447,3.447,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.322
6,20000304,3.549,0.458,87.22395,2.048,96.49,42.57100000000001,11.10161215,0.3213297882527827,-6.8315100000000015,-1.64901,1.0,0.016,3,2.736,4.501,5.396,5.495,5.495,5.495,5.495,5.495,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.317
7,20000305,2.404,-2.459,74.72743333,0.76,97.202,73.461,3.966183958,0.15656231577570115,11.1443,-1.6588,1.0,0.0161,3,2.8080000000000003,3.4960000000000004,6.057,6.255,6.255,6.255,6.255,6.255,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.317
8,20000306,2.336,-5.534,77.53034583,0.6509999999999999,97.889,62.621,2.50496875,0.16097955351500387,7.52699,-1.65622,0.9875,0.0169875,3,1.411,3.459,5.912000000000001,6.807,6.9060000000000015,6.9060000000000015,6.9060000000000015,6.9060000000000015,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.312
9,20000308,2.572,-0.882,74.35777708,0.675,96.223,90.252,34.21828333,0.7327539740231761,0.8154600000000001,-1.6401599999999998,0.9625,0.0187625,3,5.462999999999999,6.114,8.922,11.375000000000002,12.369000000000002,12.369000000000002,12.369000000000002,12.369000000000002,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.317
10,20000309,1.898,-3.702,94.86242917,3.616,95.62,43.6,18.85535715,0.15163344941580906,0.825133,-1.63703,0.95,0.01965,3,4.291,9.079,10.49,13.226,15.886,15.985,15.985,15.985,265,0,10,33,55,0,0,0,0,0,1,0,0,0,0,0.311
