,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20050202,3.8139999999999996,26.494,22.61729166666667,0.0,94.95700000000001,244.00900000000001,97.24212765959999,0.05262538437303303,43.4346,-1.9816900000000002,0.1,0.0016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.037000000000000005
1,20050203,4.122,26.438000000000002,23.67395833333333,0.0,95.01100000000001,257.19,56.4361875,0.08055058208205289,48.7466,12.8248,0.1,0.001125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.036000000000000004
2,20050204,4.069,25.826999999999998,21.301875,0.0,95.855,266.722,52.7852083333,0.07249899469614443,53.9685,1.8659,0.1,0.0006500000000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.036000000000000004
3,20050205,3.658,24.309,16.186249999999998,0.0,95.165,265.053,54.689166666700004,0.0467083786088717,49.382,1.0947,0.1,0.000175,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.039
4,20050206,3.571,26.54,15.511666666666665,0.0,95.853,264.67900000000003,57.8685,0.10009969717289424,51.0422,3.96363,0.1,-0.00030000000000000003,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.039
5,20050207,4.4,28.389,14.919791666666667,0.0,96.32700000000001,252.834,55.38375,0.07048684601582296,41.5698,5.13436,0.1,-0.0007750000000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.038
6,20050208,3.758,27.81,16.03,0.0,96.069,279.204,58.153375,0.0986765692299912,51.35,4.02341,0.1,-0.00125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.036000000000000004
7,20050209,3.534,25.65,18.2075,0.0,95.448,272.597,58.3920416667,0.11154560688616537,57.9547,0.992031,0.1,-0.0017250000000000002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.035
8,20050210,3.668,25.314,14.391666666666666,0.0,95.194,278.387,59.283375,0.13935755612255055,55.7971,1.53752,0.1,-0.0022,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.045
9,20050211,3.469,26.028000000000002,16.065416666666668,0.0,95.368,274.515,60.671875,0.11360209427364727,54.8158,2.69218,0.1,-0.001625,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.045
10,20050212,4.6610000000000005,25.65,16.01375,0.0,95.447,266.026,64.23225,0.11225438733327336,57.8063,2.18363,0.1,-0.0010500000000000002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.045
11,20050213,3.7769999999999997,20.006,18.930416666666673,0.0,93.95299999999999,223.15200000000002,38.5464583333,0.2397161219780048,60.5412,-4.83734,0.1,-0.000475,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.045
12,20050214,2.7089999999999996,19.167,19.38625,0.0,93.484,249.43400000000003,48.003125,0.3083293798642169,64.9146,-2.36714,0.1,0.0001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.044000000000000004
13,20050215,2.484,22.509,17.074166666666667,0.0,94.32799999999999,252.58599999999998,59.5303541667,0.30476219872999033,61.4167,3.3743,0.1,0.000675,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.045
14,20050216,2.8360000000000003,26.91800000000001,15.945208333333335,0.0,94.98299999999999,254.69799999999998,57.6764791667,0.1405644848329923,58.7744,6.59995,0.1,0.00125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.047
15,20050217,2.6860000000000004,28.2,14.4425,0.0,94.92200000000001,248.453,57.0339375,0.13765709367959278,60.7584,6.35861,0.1,0.001825,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.044000000000000004
16,20050218,3.075,30.061,11.5340625,0.0,94.88799999999999,257.798,55.4120208333,0.211055651659418,63.7071,6.840839999999999,0.1,0.0024,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.038
17,20050219,3.3680000000000003,30.241,11.969395833333332,0.0,94.887,261.053,54.9964583333,0.2595662433411047,68.4868,5.6427,0.1,0.0015625,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.038
18,20050220,2.728,30.846999999999998,12.25875,0.0,94.837,261.059,55.4365,0.2725704191748311,69.2508,6.867960000000001,0.1,0.0007250000000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.035
19,20050221,2.845,31.32,12.218875000000002,0.0,94.839,266.26,55.8288125,0.28693769520592954,69.9853,6.72075,0.1,-0.0001125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0,14,67,18,0,1,0,0,0,0,0,0,0,0,0.035
