,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20100719,1.7890000000000001,30.737,55.43099583333333,0.0,100.84,277.754,129.516826667,5.6962018604420175,41.8445,26.9551,0.95,0.0984,7,0.0,0.0,0.34700000000000003,7.792000000000002,9.186,10.672,12.077,14.249,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.054000000000000006
1,20100720,4.1819999999999995,26.391,76.44005,5.82,100.81200000000001,167.44299999999996,78.36931875,2.950519901851824,18.1004,-31.7133,1.0,0.101,7,5.82,5.82,6.1670000000000025,8.891,15.006000000000002,15.656,17.378,20.069000000000006,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.11599999999999999
2,20100721,4.128,27.659000000000002,73.75631249999998,1.66,100.694,208.74099999999999,110.38881354200001,3.965079609807424,23.1285,-7.23491,1.0375,0.108525,7,7.48,7.48,7.48,7.827000000000001,15.288000000000002,16.771,19.038,21.729,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.267
3,20100722,3.8760000000000003,28.406,68.41100625,0.10099999999999999,100.78200000000001,248.847,127.430394792,4.874663836490504,30.1826,13.7573,1.075,0.11605,7,1.761,7.581,7.581,7.928000000000001,15.373,16.872000000000003,19.139,21.778,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.19699999999999998
4,20100723,4.559,27.666,65.10269791666667,0.0,100.771,278.615,129.107999375,5.424134696773857,37.6392,11.4778,1.1125,0.123575,7,0.10099999999999999,1.761,7.581,7.581,10.652,16.872000000000003,19.139,21.778,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.19
5,20100724,3.1319999999999997,27.89,65.1072375,0.0,100.60700000000001,251.56099999999998,124.84442556200001,4.415347922780909,28.426,19.7846,1.15,0.1311,7,0.0,0.10099999999999999,7.581,7.581,7.928000000000001,16.767000000000003,18.253,21.413,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.09300000000000001
6,20100725,3.595,28.576,66.71776666666666,0.152,100.598,231.24,132.064271875,3.9679475701364817,23.2485,20.7783,1.1875,0.138625,7,0.152,0.152,1.913,7.733,8.08,16.919,17.569000000000006,21.188,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.154
7,20100726,3.285,29.025,67.7959125,0.556,100.76899999999999,252.734,131.34555291700002,4.05920416401581,25.0758,24.6763,1.225,0.14615,7,0.7080000000000001,0.7080000000000001,0.809,8.289,8.289,16.096999999999998,17.58,21.509,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.09300000000000001
8,20100727,3.114,29.086,66.85269166666667,2.8680000000000003,100.652,199.673,96.1975047917,3.6051382196432025,17.6633,10.05,1.2625000000000002,0.153675,7,3.4240000000000004,3.5760000000000005,3.5760000000000005,5.3370000000000015,11.157,18.949,20.448,24.376999999999995,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.17800000000000002
9,20100728,3.2539999999999996,29.834,60.65003541666666,0.484,100.527,279.753,131.270060417,4.6110118719211775,29.4777,26.1804,1.3,0.1612,7,3.3520000000000003,3.908,4.0600000000000005,4.1610000000000005,11.641000000000002,14.712000000000002,20.932,24.861,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.07100000000000001
10,20100729,2.7969999999999997,28.825,66.19056875,5.874,100.62200000000001,227.25,104.268705833,4.024090047034264,20.9543,12.6835,1.3375,0.1705375,7,6.358,9.226,9.934,9.934,17.515,17.862000000000005,26.701,29.592,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.076
11,20100730,2.116,29.517,65.25757083333333,2.5780000000000003,100.68,220.15200000000002,96.39218375,4.2435485888652655,15.1235,15.921,1.375,0.179875,7,8.452,8.936,12.36,12.512,14.273,20.44,29.279,31.651,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.06
12,20100731,2.713,29.774,65.75668958333334,1.653,100.48700000000001,213.235,91.92289757450001,3.820478436880744,13.7634,12.3303,1.4125,0.1892125,7,4.231,10.105,13.457,14.165,14.266000000000002,21.746,29.554,33.30400000000001,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.07100000000000001
13,20100801,3.443,28.295,70.08829166666668,0.0,100.402,268.927,154.87789125,4.2535189460113685,16.0794,-6.52309,1.4500000000000002,0.19855,8,1.653,4.231,10.589,14.013000000000002,14.165,21.746,29.538000000000004,33.30400000000001,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.118
14,20100802,2.972,28.912,76.59777916666667,1.158,100.52600000000001,218.6,120.36853510600001,3.191395049767578,11.5631,6.37477,1.4875,0.2078875,8,1.158,2.8110000000000004,11.263,14.615,15.323,22.904,25.975,34.462,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.069
15,20100803,1.6540000000000001,29.463,71.40572708333333,9.747,100.72,283.293,167.760689778,4.3770400530671765,15.7048,26.4781,1.525,0.217225,8,10.905,10.905,15.136,21.494,25.070000000000004,32.651,32.998000000000005,43.32299999999999,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.104
16,20100804,2.123,28.044,74.05421041666666,3.2060000000000004,100.685,266.606,152.060828958,4.008886953999592,13.8082,-0.0833065,1.5625,0.2265625,8,12.953,14.110999999999999,15.764000000000001,24.215999999999998,28.124000000000002,30.037,36.204,45.69300000000001,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.094
17,20100805,3.305,29.363000000000003,70.993875,0.898,100.61,254.25599999999997,135.470843958,3.9900117416006515,11.3161,6.29397,1.6,0.2359,8,4.104,13.850999999999999,15.009,19.24,28.465999999999998,29.275,36.755,46.04599999999999,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.276
18,20100806,4.504,28.323,69.79927708333334,0.34700000000000003,100.54899999999999,243.81400000000002,119.750864042,3.880316571530165,11.6217,8.81363,1.6375000000000002,0.24645,8,1.245,4.4510000000000005,15.356,17.009,25.945,29.521000000000004,37.102,46.393,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.207
19,20100807,3.9560000000000004,28.063000000000002,68.55381666666666,0.0,100.56700000000001,262.857,126.644433333,4.0277075397399615,12.186,15.6486,1.675,0.257,8,0.34700000000000003,1.245,14.198,15.356,25.461,29.521000000000004,37.102,46.393,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.12300000000000001
20,20100808,2.065,28.397,68.62536666666666,0.0,100.654,258.015,132.049938542,4.003233429061433,11.1863,21.82,1.7125,0.26755,8,0.0,0.34700000000000003,4.4510000000000005,15.356,19.587,29.521000000000004,37.102,46.288000000000004,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.22
21,20100809,1.597,28.165,71.24041041666669,1.8730000000000002,100.63600000000001,260.42,143.01689063799998,3.887460179526636,12.1432,20.1453,1.75,0.2781,8,1.8730000000000002,1.8730000000000002,3.1180000000000003,16.070999999999998,18.882,31.242,33.155,48.161,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.102
22,20100810,1.5030000000000001,26.857,79.85492291666667,6.091,100.734,197.78,98.9946102083,3.231003625010344,9.95293,-8.95774,1.7875,0.28865,8,7.963999999999999,7.963999999999999,8.311,12.415,23.32,36.777,37.586,52.87399999999999,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.276
23,20100811,2.665,28.874000000000002,69.38869999999999,5.928,100.72200000000001,284.445,157.4424625,4.991160315270066,9.03951,7.9363899999999985,1.825,0.2992,8,12.019,13.892,13.892000000000001,15.137,29.248,39.837,43.413,58.786,40,0,5,89,6,0,1,0,0,0,0,0,0,0,0,0.29
