,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,2.971,4.154,85.9668125,20.066,86.699,53.351000000000006,28.817125,0.5547887858001707,-27.2343,-4.3068300000000015,1.7000000000000002,0.05930000000000001,2,20.066,20.066,20.066,20.066,20.066,20.066,20.066,20.066,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.313
1,20000227,3.129,0.698,98.63791667,59.944,85.958,23.21,8.7313125,0.15008625667638778,-14.9652,-3.05773,1.7125,0.05973750000000001,2,80.00999999999998,80.01,80.00999999999998,80.01,80.00999999999998,80.01,80.00999999999998,80.01,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.305
2,20000228,1.8,1.253,95.31425,4.3180000000000005,86.617,124.882,66.23764583,0.3324677902698653,19.4879,-2.80152,1.725,0.06017500000000001,2,64.262,84.32799999999997,84.32799999999997,84.32799999999997,84.32799999999997,84.32799999999997,84.32799999999997,84.32799999999997,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.32899999999999996
3,20000301,1.097,2.36,79.15175,0.0,86.85600000000002,219.522,103.96375,1.1363661131776899,52.7557,-2.88577,1.75,0.06105,3,15.24,19.558,99.56799999999998,99.568,99.56799999999998,99.568,99.56799999999998,99.568,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.257
4,20000302,0.873,1.465,96.90808333,1.778,86.726,35.812,12.99770833,0.07214950828008954,-1.11945,-2.82056,1.7625000000000002,0.0614875,3,1.778,17.018,81.28,101.346,101.346,101.346,101.346,101.346,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.312
5,20000303,1.2919999999999998,5.3729999999999976,83.077875,0.0,86.421,227.708,107.9188542,1.1867770040951673,43.8574,-2.82738,1.775,0.061925,3,1.778,1.778,21.336,101.346,101.346,101.346,101.346,101.346,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.312
6,20000304,1.7009999999999998,5.079,86.7636875,0.0,85.9,172.929,94.460125,0.5692831167244516,38.4976,-2.76708,1.7875,0.0623625,3,0.0,1.778,17.018,81.28,101.346,101.346,101.346,101.346,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.152
7,20000305,1.781,1.128,96.2320625,18.542,84.869,50.655,26.2408125,0.08070372083965756,-10.308,-2.65481,1.8,0.06280000000000001,3,18.542,18.542,20.32,39.878,119.888,119.888,119.888,119.888,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.321
8,20000306,1.225,-0.57,96.62795833,2.794,85.632,78.325,42.03652083,0.27040753378504395,1.76554,-2.51192,1.8125,0.06911250000000001,3,21.336,21.336,23.114,38.354,122.682,122.682,122.682,122.682,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.321
9,20000307,2.094,-0.045,91.65460417,4.3180000000000005,86.155,75.173,38.1059375,0.279966565426319,-2.81697,-2.51571,1.825,0.075425,3,7.112,25.654000000000003,25.654000000000003,27.432,106.934,127.0,127.0,127.0,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.312
10,20000309,3.006,0.056,98.19952083,10.414,86.92200000000004,51.535,26.04029167,0.0019254467301160086,-3.1388,-2.54633,1.85,0.08805,3,19.558,23.876,45.211999999999996,45.212,62.23,146.558,146.558,146.558,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.32299999999999995
11,20000310,1.436,2.9930000000000003,80.783125,0.508,87.35799999999998,202.444,107.6847292,0.8063816943899208,33.1676,-2.55596,1.8625,0.0943625,3,10.922,20.066000000000006,27.178000000000004,45.72000000000001,47.49800000000001,147.066,147.066,147.066,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.321
12,20000311,1.338,5.565,86.0194375,0.762,87.337,184.79,96.80602083,0.7216598752711781,37.1578,-2.4999,1.875,0.100675,3,1.27,11.684,25.146000000000004,46.482,48.26000000000001,147.828,147.828,147.828,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.212
13,20000312,1.4369999999999998,7.318,65.48002083,0.0,86.899,234.414,109.2227083,1.3979422701734063,41.9265,-2.43248,1.8875,0.1069875,3,0.762,1.27,20.828000000000007,27.94,46.482000000000006,127.762,147.828,147.828,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.313
14,20000313,1.48,8.629,65.2305625,0.0,86.98700000000002,238.547,113.90945829999998,1.4031994129320124,45.004,-2.36671,1.9,0.1133,3,0.0,0.762,11.684,25.146,46.482000000000006,67.818,147.828,147.828,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.303
15,20000314,1.507,9.789,63.8693125,0.0,86.949,219.302,106.9313125,1.488006934689727,41.397,-2.24792,1.8875,0.1130625,3,0.0,0.0,1.27,20.828000000000007,46.482000000000006,63.5,147.828,147.828,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.182
16,20000315,1.724,10.306,44.00595833,0.0,86.666,249.567,118.45345829999998,2.33317277533422,53.2455,-1.64329,1.875,0.112825,3,0.0,0.0,0.762,11.684,27.940000000000005,48.26,147.828,147.828,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.24100000000000002
17,20000316,1.891,7.247999999999997,55.61785417,0.0,86.85700000000001,133.679,60.22045833,1.0371039047886088,29.6565,4.23202,1.8625,0.1125875,3,0.0,0.0,0.0,1.27,25.146000000000004,48.26,147.828,147.828,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.29100000000000004
18,20000317,1.329,8.267999999999999,35.48008333,0.0,87.256,254.716,118.94579170000002,1.9169274641473448,60.5837,5.54138,1.85,0.11235,3,0.0,0.0,0.0,0.762,20.828000000000007,46.482,127.762,147.828,1315,0,17,41,40,0,0,0,0,0,1,0,0,0,0,0.118
