,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20041125,2.214,-3.7039999999999997,85.08749999999998,0.0,98.77600000000001,129.704,15.59375,0.7877730838953945,-3.12623,-17.3229,0.4,0.0020625,11,3.6,3.6,3.6,11.5,17.7,20.1,20.1,20.1,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.387
1,20041126,2.4019999999999997,2.6460000000000004,89.64791666666666,9.9,98.54,45.05,14.5958333333,0.9082617791128208,-27.2334,-12.1146,0.4,0.0028250000000000003,11,9.9,13.5,13.5,13.5,27.6,30.0,30.0,30.0,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.377
2,20041127,4.774,5.421,93.51041666666669,17.8,97.71799999999999,5.84,4.60625,1.5593220685168918,-42.7015,1.1895799999999999,0.4,0.0035875,11,27.70000000000001,27.70000000000001,31.300000000000004,31.300000000000004,45.40000000000001,47.8,47.8,47.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.4
3,20041128,2.83,1.994,72.61666666666667,0.0,99.295,94.93799999999999,38.8645833333,1.1358360445049605,28.00800000000001,-20.6417,0.4,0.004350000000000001,11,17.8,27.70000000000001,31.300000000000004,31.300000000000004,39.2,47.8,47.8,47.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.402
4,20041129,1.045,1.4580000000000002,95.3875,0.0,99.904,16.419,8.96041666667,0.37914266893071336,4.30095,-6.39375,0.4,0.0051125,11,0.0,17.8,27.70000000000001,31.300000000000004,31.300000000000004,47.8,47.8,47.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.39
5,20041130,2.6510000000000002,1.483,95.08541666666666,4.0,99.11,15.796,10.15625,0.6733563889735558,-2.35017,-11.9708,0.4,0.005875,11,4.0,4.0,31.70000000000001,35.30000000000001,35.30000000000001,49.40000000000001,51.8,51.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.389
6,20041201,3.429,-2.908,89.68958333333335,0.0,99.16799999999999,138.635,27.3625,0.7710541462664392,-9.50005,-16.7292,0.4,0.0066375,12,4.0,4.0,21.8,31.70000000000001,35.30000000000001,49.40000000000001,51.8,51.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.396
7,20041202,2.113,-1.102,86.23541666666668,1.5,99.179,86.285,11.5604375,0.62884998693405,-7.19793,-11.4292,0.4,0.0074,12,1.5,5.5,5.5,33.2,36.8,50.90000000000001,53.3,53.3,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
8,20041203,2.489,-1.544,80.6604375,0.3,99.066,90.19200000000001,4.74375,0.5766086829514598,0.995526,-14.1208,0.4,0.0077625,12,1.8,1.8,5.8,23.6,37.1,45.0,53.6,53.6,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.324
9,20041204,3.177,2.244,84.16458333333334,4.9,98.572,60.8,11.26875,0.5050109558665464,-15.3399,-8.7875,0.4,0.008125,12,5.2,6.7,10.7,10.7,38.4,42.0,58.5,58.5,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.315
10,20041205,2.528,3.283,90.00208333333332,2.1,99.229,71.454,43.50625,0.6576395931836321,3.3094900000000003,3.1,0.4,0.0084875,12,7.0,7.3,8.8,12.8,40.5,44.1,58.2,60.6,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.324
11,20041206,2.023,6.94,98.10833333333336,3.4,98.46,17.555999999999994,16.54375,0.4197347976015967,-6.9249600000000004,17.0417,0.4,0.00885,12,5.5,10.4,12.2,16.200000000000006,34.0,47.5,61.6,64.0,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.33299999999999996
12,20041207,3.85,7.675,93.74375000000002,21.7,97.902,18.581,13.7354166667,0.8229411092165487,-21.2459,5.08129,0.4,0.0092125,12,25.1,27.2,32.4,33.9,37.9,69.2,83.30000000000003,85.70000000000002,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.33399999999999996
13,20041208,2.6239999999999997,3.523,87.16458333333333,0.0,99.32,35.698,16.3291666667,0.7318329787096265,4.6157900000000005,-10.1541,0.4,0.009575,12,21.7,25.1,32.1,33.9,37.9,69.2,77.10000000000002,85.70000000000002,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.33799999999999997
14,20041209,1.9469999999999998,5.942,90.06666666666668,0.0,98.182,41.637,19.0833333333,0.35435602918207915,3.4725900000000003,2.6125,0.4,0.0099375,12,0.0,21.7,27.2,32.4,37.9,65.60000000000001,69.2,85.70000000000002,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
15,20041210,2.376,5.254,93.65833333333336,0.6,97.977,14.595999999999998,10.11875,0.5818402331786945,-1.0891600000000001,-3.3416699999999997,0.4,0.0103,12,0.6,0.6,25.7,32.7,34.5,66.2,69.8,86.30000000000004,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.368
16,20041211,4.177,0.919,79.14791666666666,0.0,98.57799999999999,12.477,1.89375,1.0872094619297468,-5.985,-26.5104,0.4,0.009775,12,0.6,0.6,22.3,27.8,34.5,56.3,69.8,86.30000000000004,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.3720000000000001
17,20041212,6.954,2.1959999999999997,75.12708333333335,0.0,97.79799999999999,29.105999999999998,13.558333333299998,1.0609889352533215,20.2619,-12.5187,0.4,0.00925,12,0.0,0.6,0.6,25.7,33.0,38.5,69.8,86.30000000000004,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.353
18,20041213,5.952999999999999,-4.408,64.8063125,0.0,99.29899999999999,49.70399999999999,0.316666666667,0.9266832389081824,26.0587,-22.5625,0.4,0.008725,12,0.0,0.0,0.6,22.3,32.7,38.5,69.8,86.30000000000004,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.34
19,20041214,3.017,-7.192,69.87916666666668,0.0,100.663,98.573,10.525,0.4560067149215574,32.5663,-40.1583,0.4,0.0082,12,0.0,0.0,0.6,0.6,27.8,38.5,66.2,86.30000000000004,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.34
20,20041215,4.399,-3.04,68.52502083333333,0.0,100.085,99.881,18.6583333333,0.5054211127866379,29.2473,-25.75,0.4,0.007675,12,0.0,0.0,0.0,0.6,25.7,34.5,66.2,83.9,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.336
21,20041216,4.422,1.129,61.96670833333334,0.0,99.588,83.396,25.60625,0.31515367765997004,12.7755,-7.43125,0.4,0.00715,12,0.0,0.0,0.0,0.6,22.3,34.5,56.3,83.9,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32799999999999996
22,20041217,1.8519999999999999,-3.681,71.3625,0.0,99.866,95.194,19.1666875,0.3021704966608981,32.148,-27.6667,0.4,0.006625000000000001,12,0.0,0.0,0.0,0.0,0.6,33.0,38.5,83.9,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32799999999999996
23,20041218,4.255,-1.065,83.10416666666667,0.0,98.666,35.681,13.214604166700001,0.4589116496203104,0.26910300000000004,-7.11875,0.4,0.0061,12,0.0,0.0,0.0,0.0,0.6,32.7,38.5,77.7,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.324
24,20041219,4.257,-13.529000000000002,60.24375,0.0,99.895,102.12700000000001,2.01666666667,0.5767839658601327,39.4926,-44.6041,0.3875,0.0070125000000000005,12,0.0,0.0,0.0,0.0,0.6,27.8,38.5,69.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.324
25,20041220,5.287000000000001,-6.843999999999999,53.73125000000001,0.0,98.449,57.403999999999996,24.39375,0.8141456995172139,42.3581,-18.4896,0.375,0.007925,12,0.0,0.0,0.0,0.0,0.0,25.7,34.5,69.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.324
26,20041221,4.944,-4.758,69.54377083333334,0.0,98.50399999999999,72.804,18.679166666700002,0.3720433392665975,22.9417,-20.7271,0.3625,0.0088375,12,0.0,0.0,0.0,0.0,0.0,22.3,34.5,69.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.324
27,20041222,3.787,-12.929,65.22916666666667,0.0,99.65899999999999,59.619,15.104166666700001,0.37534182288221424,47.5414,-41.1854,0.35000000000000003,0.00975,12,0.0,0.0,0.0,0.0,0.0,0.6,33.0,69.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32299999999999995
28,20041223,4.711,-12.69,60.993770833333336,0.0,99.762,96.99600000000001,23.5729166667,0.3206963271014108,55.0888,-43.4792,0.3375,0.0106625,12,0.0,0.0,0.0,0.0,0.0,0.6,32.7,69.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.317
29,20041224,2.9389999999999996,-15.644,59.42083333333333,0.0,99.833,100.571,14.5645833333,0.2356159665802401,44.7065,-42.3146,0.325,0.011575,12,0.0,0.0,0.0,0.0,0.0,0.6,27.8,66.2,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.317
30,20041225,2.687,-9.787,76.32708333333333,0.0,99.21799999999999,26.494,6.747916666669999,0.23371087038256444,19.3853,-10.525,0.3125,0.0124875,12,0.0,0.0,0.0,0.0,0.0,0.0,25.7,66.2,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.317
31,20041226,2.205,-8.835,81.68124999999998,0.0,100.182,99.34200000000001,4.55835416667,0.2379717890431262,31.8661,-21.2646,0.30000000000000004,0.0134,12,0.0,0.0,0.0,0.0,0.0,0.0,22.3,56.3,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
32,20041227,2.522,-7.362,78.7104375,0.0,100.802,49.731,13.964604166700001,0.3968853631984143,18.6008,-9.73333,0.30000000000000004,0.012183333333333334,12,0.0,0.0,0.0,0.0,0.0,0.0,0.6,38.5,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
33,20041228,3.2760000000000002,-0.45,74.2854375,0.0,99.541,46.102,16.975,0.2270245593229928,-0.637596,-0.0875,0.30000000000000004,0.010966666666666668,12,0.0,0.0,0.0,0.0,0.0,0.0,0.6,38.5,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
34,20041229,1.25,0.32299999999999995,88.01877083333332,0.0,99.639,82.869,37.7916666667,0.4495455246378262,22.9465,-5.16458,0.30000000000000004,0.00975,12,0.0,0.0,0.0,0.0,0.0,0.0,0.6,38.5,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.32799999999999996
35,20041230,4.2669999999999995,5.89,95.72083333333336,1.3,99.016,11.825,12.7645833333,0.2215710145051125,-21.3991,7.0521,0.30000000000000004,0.008533333333333334,12,1.3,1.3,1.3,1.3,1.3,1.3,1.3,35.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.331
36,20041231,4.843,8.196,72.42708333333333,0.0,99.10799999999999,94.956,28.929166666700002,0.7232405602912757,-20.2598,25.2625,0.30000000000000004,0.0073166666666666675,12,1.3,1.3,1.3,1.3,1.3,1.3,1.3,35.8,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.35100000000000003
37,20050101,3.431,-0.583,80.79791666666667,13.2,100.186,24.627,7.270833333330001,0.2889844493186127,-6.09595,0.07291669999999999,0.30000000000000004,0.0061,1,13.2,14.5,14.5,14.5,14.5,14.5,14.5,47.49999999999999,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.38
38,20050102,2.8739999999999997,4.754,95.80416666666667,4.8,99.87700000000001,23.951999999999998,20.0770833333,0.4947859292677365,-7.99091,19.0208,0.30000000000000004,0.0062375,1,18.0,18.0,19.3,19.3,19.3,19.3,19.3,52.0,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.39299999999999996
39,20050103,3.5839999999999996,0.342,96.11458333333331,8.3,99.93700000000001,11.117,10.7937708333,0.4687752164255687,-10.3019,2.39583,0.30000000000000004,0.0063750000000000005,1,13.1,26.3,27.6,27.6,27.6,27.6,27.6,55.40000000000001,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.39399999999999996
40,20050104,3.784,-0.385,93.44166666666666,0.0,100.037,19.796,16.4125,0.4330515448471617,0.473674,0.5875,0.30000000000000004,0.0065125,1,8.3,13.1,26.3,27.6,27.6,27.6,27.6,53.3,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.402
41,20050105,6.194,-2.542,92.01666666666668,0.0,99.39,23.154,3.0916875,0.3739745661070023,12.856,0.03125,0.30000000000000004,0.0066500000000000005,1,0.0,8.3,26.3,27.6,27.6,27.6,27.6,49.90000000000001,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.39299999999999996
42,20050106,3.03,-6.181,89.95416666666668,0.0,98.74,85.015,-9.2625,0.05702714999620801,3.53979,-0.05833330000000001,0.30000000000000004,0.0067875,1,0.0,0.0,13.1,26.3,27.6,27.6,27.6,28.20000000000001,226.5,1,23,25,51,0,0,0,0,0,0,0,0,0,0,0.389
