,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,0.423,1.495,96.75208333,1.016,89.90899999999998,29.254,19.18035417,0.6727860888122299,2.7465,-3.00579,1.1,0.0363,2,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.27399999999999997
1,20000227,0.907,2.49,95.29375,0.508,89.586,69.80199999999999,32.08647917,0.9443104717547866,-16.4482,-2.4275,1.1125,0.0354625,2,1.524,1.524,1.524,1.524,1.524,1.524,1.524,1.524,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.28400000000000003
2,20000228,2.044,3.022,77.409375,1.27,90.115,67.84,24.1416875,0.8088474073480253,-6.132999999999999,-2.7834,1.125,0.034625,2,1.778,2.794,2.7939999999999996,2.794,2.7939999999999996,2.794,2.7939999999999996,2.794,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.305
3,20000229,1.979,2.333,77.26854167,4.572,90.307,164.361,86.1515625,0.7101924172060561,42.3585,-0.00541667,1.1375,0.033787500000000005,2,5.8420000000000005,6.3500000000000005,7.3660000000000005,7.366,7.3660000000000005,7.366,7.3660000000000005,7.366,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.295
4,20000301,0.5820000000000001,1.531,65.98104167,0.0,90.881,90.313,46.92758333,0.22777997952892856,13.9075,-1.7626,1.15,0.03295,3,4.572,5.8420000000000005,7.3660000000000005,7.366,7.3660000000000005,7.366,7.3660000000000005,7.366,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.28800000000000003
5,20000302,1.476,5.082,73.78564583,0.254,90.996,102.444,60.788875,0.5527788545877863,31.0901,-1.14171,1.1625,0.0321125,3,0.254,4.8260000000000005,6.604,7.619999999999999,7.619999999999999,7.619999999999999,7.619999999999999,7.619999999999999,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.28400000000000003
6,20000303,1.198,5.01,70.9175,0.0,90.871,135.211,79.06191667,0.3233407950392229,42.6799,-0.323063,1.175,0.031275000000000004,3,0.254,0.254,6.096,7.619999999999999,7.619999999999999,7.619999999999999,7.619999999999999,7.619999999999999,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.28400000000000003
7,20000304,1.757,5.3279999999999985,68.96189583,0.0,89.79799999999999,65.199,32.26145833,0.3104456242631985,19.2005,-2.41963,1.1875,0.030437500000000006,3,0.0,0.254,4.8260000000000005,6.604,7.619999999999999,7.619999999999999,7.619999999999999,7.619999999999999,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.28400000000000003
8,20000305,0.93,-0.268,80.213125,0.0,89.557,46.452,18.49545833,0.4294682315832111,5.67264,-3.03635,1.2000000000000002,0.0296,3,0.0,0.0,0.254,6.096,7.619999999999999,7.619999999999999,7.619999999999999,7.619999999999999,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.295
9,20000306,2.02,0.8270000000000001,61.65291667,2.286,89.736,185.555,91.8816875,0.7159671393734002,107.374,0.251354,1.1875,0.0317375,3,2.286,2.286,2.54,7.112,9.906,9.906,9.906,9.906,922,0,9,71,19,0,0,0,0,0,1,0,0,0,0,0.281
