,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,14.694,-9.705,50.03210417,0.0,69.89699999999999,221.773,96.01041667,1.1894053543422312,119.491,-0.792542,1.1,0.0253,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.235
1,20000227,3.611,-0.475,42.59460417,0.0,70.124,192.956,51.84375,0.3212643714535345,39.6922,-0.967042,1.1,0.0249625,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.235
2,20000228,5.704,0.48,38.564375,0.0,69.462,218.11900000000003,80.80208333,0.4383649775994069,67.2458,-1.01681,1.1,0.024625,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.24100000000000002
3,20000229,5.6670000000000025,-4.144,45.76189583,0.0,69.52,228.4,80.96875,0.4946735012143973,76.4701,-0.902958,1.1,0.0242875,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.249
4,20000301,2.018,-2.459,36.9260625,0.0,70.06,153.33100000000005,52.01666667,0.15915173549652847,46.4087,-0.850542,1.1,0.023950000000000003,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.244
5,20000302,2.71,-4.912,85.10520833,0.508,70.035,71.779,27.46458333,0.4415835406824631,12.9676,-0.899083,1.1,0.0236125,3,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.242
6,20000303,2.624,-1.695,53.25191667,0.0,70.237,231.031,78.14166667,0.4775913615447882,52.1336,-0.884021,1.1,0.023275,3,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.237
7,20000304,4.384,2.893,21.243125,0.0,69.95,238.694,68.56666667,0.4738834637278153,44.4655,-0.882417,1.1,0.0229375,3,0.0,0.508,0.508,0.508,0.508,0.508,0.508,0.508,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.249
8,20000305,5.725,0.616,48.56416667,2.54,69.053,152.74200000000005,46.18125,0.7485643696378087,49.1816,-0.807481,1.1,0.0226,3,2.54,2.54,3.048,3.048,3.048,3.048,3.048,3.048,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.256
9,20000306,7.92,-1.028,48.78460417,0.0,69.289,213.525,79.99583333,0.9522782349597892,59.3335,-0.673958,1.1,0.0225875,3,2.54,2.54,3.048,3.048,3.048,3.048,3.048,3.048,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.257
10,20000307,4.848,-0.983,65.54689583,3.302,69.07600000000001,112.873,42.17708333,1.2341901659314112,18.4346,-0.568854,1.1,0.022575,3,3.302,5.8420000000000005,5.8420000000000005,6.3500000000000005,6.3500000000000005,6.35,6.35,6.35,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.253
11,20000308,10.061,-6.624,61.72314583,1.778,69.485,198.801,102.0895833,1.4177443685152016,74.6271,-0.505417,1.1,0.022562500000000003,3,5.08,5.08,7.62,8.128,8.128,8.128,8.128,8.128,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.253
12,20000309,5.499,-7.047999999999999,72.77460417,1.016,69.648,116.081,50.32083333,1.2111327715424085,27.1901,-0.572958,1.1,0.02255,3,2.7939999999999996,6.096,8.636000000000001,8.636000000000001,9.143999999999998,9.144,9.144,9.144,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.245
13,20000310,6.827000000000001,-8.665,55.42272917,0.0,70.059,233.444,100.075,0.4864005337277362,76.8049,-0.738208,1.1,0.0225375,3,1.016,2.794,6.096,8.636000000000001,9.143999999999998,9.144,9.144,9.144,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.243
14,20000311,9.324,-6.727,62.02272917,0.762,70.123,204.471,90.70833333,1.0452301703386373,59.3491,-0.922563,1.1,0.022525,3,0.762,1.778,6.8580000000000005,9.398,9.906,9.906,9.906,9.906,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.243
15,20000312,5.761,-6.445,74.19604167,2.032,70.086,158.162,79.33752083,1.9289381698336605,16.4426,-1.07104,1.1,0.0225125,3,2.7939999999999996,2.794,5.587999999999999,8.89,11.43,11.937999999999999,11.937999999999999,11.938,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.243
16,20000313,9.227,-3.645,48.82041667,0.0,70.142,262.061,102.3354167,0.8052303587047103,84.0016,-1.09583,1.1,0.022500000000000003,3,2.032,2.794,3.81,8.89,11.43,11.937999999999999,11.937999999999999,11.938,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.243
17,20000314,11.027,-2.632,55.84479167,0.508,69.96,255.231,113.3166667,0.9929093082402748,95.0858,-1.07021,1.1,0.0241,3,0.508,2.54,3.302,6.096,11.938,12.445999999999998,12.446000000000002,12.446000000000002,3050,0,11,61,26,0,0,0,0,0,1,0,0,0,0,0.24100000000000002
